EIA_ID,plant,state,bal_auth,bus,capacity
809,American Falls,ID,IPCO,743131,92.4
810,Bliss,ID,IPCO,742611,75.0
811,Brownlee,ID,IPCO,742521,675.0
812,C J Strike,ID,IPCO,743071,82.8
813,Cascade,ID,IPCO,135441,12.4
814,Clear Lake,ID,IPCO,743331,2.5
815,Lower Malad,ID,IPCO,741991,13.5
816,Lower Salmon,ID,IPCO,741991,60.0
818,Shoshone Falls,ID,IPCO,743221,11.5
819,Swan Falls,ID,IPCO,742281,25.0
821,Twin Falls,ID,IPCO,743221,52.7
822,Upper Salmon A,ID,IPCO,743321,18.0
827,Grace,ID,PACE,743171,33.0
829,Oneida,ID,PACE,742841,30.0
831,Soda,ID,PACE,743181,14.5
833,Cabinet Gorge,ID,AVA,742361,265.2
835,Post Falls,ID,AVA,742121,14.5
850,Palisades,ID,BPAT,741961,176.4
917,Quincy Chute,WA,GCPD,109011,9.4
2181,Black Eagle,MT,NWMT,772001,24.0
2182,Cochrane,MT,NWMT,772671,60.4
2186,Holter,MT,NWMT,772701,38.4
2188,Séliš Ksanka QÍispé,MT,NWMT,772361,207.6
2191,Morony,MT,NWMT,772941,63.0
2194,Ryan,MT,NWMT,772911,52.8
2195,Thompson Falls,MT,NWMT,772521,98.1
2199,Noxon Rapids,MT,AVA,772741,569.5
2204,Yellowtail,MT,WAUW,772161,268.8
3013,Hells Canyon,OR,IPCO,135971,391.5
3014,Oxbow_OR,OR,IPCO,135431,190.0
3020,Clearwater 1,OR,PACW,136031,15.0
3021,Clearwater 2,OR,PACW,136591,26.0
3024,Eagle Point,OR,PACW,136321,2.8
3025,East Side,OR,PACW,135221,3.2
3026,Fish Creek,OR,PACW,136001,11.0
3028,John C Boyle,OR,PACW,134601,98.7
3029,Lemolo 1,OR,PACW,136331,32.0
3032,Prospect 1,OR,PACW,136121,3.8
3033,Prospect 2,OR,PACW,136121,32.0
3034,Prospect 3,OR,PACW,136121,7.2
3035,Prospect 4,OR,PACW,136121,1.0
3036,Slide Creek,OR,PACW,136001,18.0
3037,Soda Springs,OR,PACW,136001,11.0
3040,Toketee,OR,PACW,136801,42.6
3045,Faraday,OR,PGE,135931,19.2
3047,North Fork,OR,PGE,135931,40.8
3048,Pelton,OR,PGE,136631,109.8
3049,River Mill,OR,PGE,135931,18.8
3050,Round Butte,OR,PGE,135261,372.5
3053,Sullivan,OR,PGE,110501,15.4
3067,Carmen Smith,OR,BPAT,134541,114.3
3068,Leaburg,OR,BPAT,135861,15.9
3071,Walterville,OR,BPAT,135631,8.0
3646,Cutler,UT,PACE,503791,30.0
3847,Merwin,WA,PACW,109551,136.0
3850,Swift 1,WA,PACW,107421,240.0
3852,Yale,WA,PACW,108131,134.0
3854,Electron,WA,PSEI,108361,22.8
3855,Lower Baker,WA,PSEI,107581,111.2
3861,Upper Baker,WA,PSEI,110371,104.8
3866,Little Falls,WA,AVA,110541,43.2
3867,Long Lake,WA,AVA,109721,70.0
3868,Meyers Falls,WA,AVA,108181,1.6
3869,Nine Mile,WA,AVA,108691,37.6
3891,Box Canyon,WA,AVA,109931,90.0
3913,Alder,WA,TPWR,109981,50.0
3914,Cushman 1,WA,TPWR,110081,43.2
3915,Cushman 2,WA,TPWR,107311,84.6
3916,LaGrande,WA,TPWR,108421,64.0
3917,Mayfield,WA,TPWR,107571,162.0
3918,Mossyrock,WA,TPWR,108641,300.0
3929,Packwood,WA,BPAT,109661,27.5
4176,Fremont Canyon,WY,WAUW,701111,66.8
4177,Glendo,WY,WAUW,701721,38.0
4178,Guernsey,WY,WAUW,701721,6.4
4180,Kortes,WY,WAUW,701821,36.0
4182,Seminoe,WY,WAUW,701821,51.6
4183,Shoshone_WY,WY,WAUW,772131,3.0
4185,Fontenelle,WY,WAUW,701881,10.0
4213,Portland No. 1,OR,PGE,136651,23.7
4214,Portland No. 2,OR,PGE,136651,11.8
4263,Echo Dam,UT,PACE,504121,4.4
6158,New Melones,CA,WALC,234531,300.0
6159,Crystal,CO,WACM,607651,28.0
6172,Libby,MT,BPAT,771871,525.0
6202,Ross,WA,SCL,109191,450.0
6395,Anderson Ranch,ID,BPAT,742981,40.0
6396,Black Canyon,ID,BPAT,743281,10.2
6397,Boise R Diversion,ID,IPCO,742201,3.3
6398,Minidoka,ID,BPAT,742481,27.7
6400,Canyon Ferry,MT,WAUW,772281,49.8
6402,Elephant Butte,NM,WACM,533001,27.9
6403,Green Springs,OR,BPAT,204151,17.2
6405,Flaming Gorge,UT,WAUW,504581,151.8
6406,Chandler,WA,BPAT,108111,12.0
6407,Roza,WA,BPAT,107461,12.9
6408,Heart Mountain,WY,WAUW,772131,5.0
6409,Alcova,WY,WAUW,701661,41.4
6421,Lemolo 2,OR,PACW,136591,38.5
6424,Chelan,WA,CHPD,108731,59.2
6430,Cedar Falls,WA,SCL,108671,30.0
6431,Gorge,WA,SCL,107711,207.3
6432,Diablo,WA,SCL,108061,182.4
6433,Boundary,WA,SCL,110411,1118.6
6484,Bend,OR,PACW,135281,1.1
6505,Oak Grove,OR,PGE,135771,51.0
6506,Moyie Springs,ID,BPAT,742661,3.9
6612,Union Valley,CA,BANC,203471,38.6
7072,Mojave Siphon,CA,CISO,288961,32.7
7079,Upper Salmon B,ID,IPCO,743321,16.5
7113,Potholes East Canal Headworks,WA,GCPD,107271,6.6
7127,Wynoochee,WA,TPWR,110091,12.8
7151,Stony Gorge,CA,CISO,202991,5.0
7179,Headgate Rock,AZ,WALC,289921,19.5
7189,Whiskeytown,CA,WALC,204831,3.5
7190,Milner Hydro,ID,IPCO,743241,59.5
7233,Tesla,CO,WACM,607631,26.6
7317,Buffalo Bill,WY,WAUW,772131,18.0
7372,McPhee,CO,WACM,607351,1.2
7373,Towaoc,CO,WACM,532151,11.4
7427,Cowlitz Falls,WA,BPAT,106941,70.0
7508,Stone Creek,OR,PGE,135781,12.0
7511,McNary Fish,WA,BPAT,134751,10.0
7541,Spirit Mountain,WY,WAUW,772131,4.5
7588,Jackson,WA,BPAT,107281,111.8
7593,El Vado Dam,NM,WACM,532241,8.0
7789,Abiquiu Dam,NM,WACM,532481,15.6
7907,Pine Flat,CA,CISO,234361,165.0
8902,Hoover Dam (AZ),AZ,WALC,304511,1039.4
9095,Monroe Street,WA,AVA,107781,14.8
9096,Upper Falls,WA,AVA,107781,10.0
10014,Lucky Peak,ID,IPCO,742201,101.2
10070,Foothills Hydro Plant,CO,WACM,608411,3.1
10081,Strontia Springs Hydro Plant,CO,PSCO,608411,1.0
10421,Dillon Hydro Plant,CO,PSCO,607991,1.8
10422,Williams Fork Hydro Plant,CO,WACM,607981,3.5
10458,Muck Valley Hydroelectric,CA,CISO,205261,29.9
10707,Cove Hydroelectric,CA,CISO,203701,5.0
10735,Barber Dam,ID,IPCO,742201,4.1
10740,Magic Dam Hydroelectric Project,ID,IPCO,742001,9.0
10882,Hatchet Creek Project,CA,CISO,203701,6.8
50179,Lake Siskiyou,CA,PACW,205361,5.0
50180,Olsen,CA,CISO,203711,5.0
50322,Madera Canal (Site 980 65),CA,CISO,234951,2.1
50360,Michell Butte Power Project,OR,IPCO,743291,1.8
50380,Upriver Dam Hydro Plant,WA,AVA,108721,17.6
50755,New Hogan,CA,CISO,232781,3.0
50827,Twin Falls Hydro,WA,PSEI,108021,24.0
50895,Bypass,ID,IPCO,743241,9.9
50896,S E Hazelton A,ID,IPCO,743241,8.4
50980,Central Oregon Siphon,OR,PACW,135281,5.4
54249,Smith Creek,ID,BPAT,742661,38.1
54267,Koma Kulshan,WA,PSEI,110371,12.0
54306,Wilson Lake Hydroelectric Project,ID,IPCO,743221,8.4
54514,Blind Canyon Hydro,ID,IPCO,743331,1.3
54524,Horseshoe Bend Hydro Partners,ID,IPCO,742201,9.4
54554,Spicer Meadow Project,CA,CISO,232721,5.9
54555,Collierville Powerhouse,CA,CISO,234231,253.0
54558,Hazelton B Hydro,ID,IPCO,743241,7.6
54721,Reregulating,OR,PACW,136631,19.6
56498,Mora Drop Hydroelectric Project,ID,IPCO,742281,1.7
56499,Tiber,MT,WAUW,772941,7.5
56694,Russell D Smith,WA,BPAT,108111,6.1
56695,Summer Falls Power Plant,WA,AVA,109021,92.0
56696,Eltopia Branch Canal 4.6,WA,BPAT,108111,2.2
56697,Potholes East Canal 66.0,WA,BPAT,108111,2.3
56698,Dry Falls Dam (Main Canal Headworks),WA,AVA,110471,26.8
57496,Tieton,WA,PACW,109661,13.8
840,Dworshak,ID,BPAT,742761,465.0
851,Albeni Falls,ID,BPAT,743011,42.0
2203,Hungry Horse,MT,BPAT,772231,428.0
3074,Big Cliff,OR,BPAT,134881,18.0
3075,Bonneville,OR,BPAT,136691,1162.0
3076,Cougar,OR,BPAT,135331,26.0
3077,Detroit,OR,BPAT,134881,100.0
3078,Dexter,OR,BPAT,135831,15.0
3080,Green Peter,OR,BPAT,136501,80.0
3081,Hills Creek,OR,BPAT,135131,30.0
3082,John Day,OR,BPAT,134991,2160.0
3083,Lookout Point,OR,BPAT,135831,120.0
3084,McNary,OR,BPAT,134751,990.5
3883,Rocky Reach,WA,CHPD,107101,1299.6
3886,Wells,WA,DOPD,110771,774.0
3887,Priest Rapids,WA,BPAT,106831,955.6
3888,Wanapum,WA,GCPD,109081,1098.0
3895,The Dalles,OR,BPAT,136251,1819.7
3921,Chief Joseph,WA,BPAT,107501,2456.2
3925,Ice Harbor,WA,BPAT,108471,603.0
3926,Little Goose,WA,BPAT,108791,810.0
3927,Lower Monumental,WA,BPAT,109441,810.0
6163,Grand Coulee,WA,BPAT,110141,6809.0
6174,Lost Creek,OR,PACW,136551,49.0
6175,Lower Granite,WA,BPAT,108291,810.0
6200,Rock Island,WA,CHPD,107221,629.4
6552,Foster,OR,BPAT,136531,20.0
