,plant
195,Portland No. 2
196,Echo Dam
197,New Melones
198,Crystal
199,Libby
200,W E Warne
201,Ross
202,Swift 2
203,Anderson Ranch
204,Black Canyon
205,Boise R Diversion
206,Minidoka
207,Canyon Ferry
208,Elephant Butte
209,Green Springs
210,Flaming Gorge
211,Chandler
212,Roza
213,Heart Mountain
214,Alcova
215,Lemolo 2
216,Chelan
217,Cedar Falls
218,Gorge
219,Diablo
220,Boundary
221,San Francisquito 1
222,San Francisquito 2
223,Bend
224,Oak Grove
225,Moyie Springs
226,Union Valley
227,Fort Peck
228,Mojave Siphon
229,Upper Salmon B
230,Potholes East Canal Headworks
231,Wynoochee
232,Stony Gorge
233,Headgate Rock
234,Whiskeytown
235,Milner Hydro
236,Tesla
237,Buffalo Bill
238,McPhee
239,Towaoc
240,Cowlitz Falls
241,Stone Creek
242,McNary Fish
243,Spirit Mountain
244,Jackson
245,El Vado Dam
246,Abiquiu Dam
247,Pine Flat
248,Hoover Dam (AZ)
249,Monroe Street
250,Upper Falls
251,Lucky Peak
252,Foothills Hydro Plant
253,Strontia Springs Hydro Plant
254,Dillon Hydro Plant
255,Williams Fork Hydro Plant
256,Muck Valley Hydroelectric
257,Cove Hydroelectric
258,Barber Dam
259,Magic Dam Hydroelectric Project
260,Hatchet Creek Project
261,Lake Siskiyou
262,Olsen
263,Madera Canal (Site 980 65)
264,Michell Butte Power Project
265,Upriver Dam Hydro Plant
266,New Hogan
267,Twin Falls Hydro
268,Bypass
269,S E Hazelton A
270,Central Oregon Siphon
271,Smith Creek
272,Koma Kulshan
273,Wilson Lake Hydroelectric Project
274,Blind Canyon Hydro
275,Horseshoe Bend Hydro Partners
276,Spicer Meadow Project
277,Collierville Powerhouse
278,Hazelton B Hydro
279,Reregulating
280,Mora Drop Hydroelectric Project
281,Tiber
282,Russell D Smith
283,Summer Falls Power Plant
284,Eltopia Branch Canal 4.6
285,Potholes East Canal 66.0
286,Dry Falls Dam (Main Canal Headworks)
287,Tieton
288,Dworshak
289,Albeni Falls
290,Hungry Horse
291,Big Cliff
292,Bonneville
293,Cougar
294,Detroit
295,Dexter
296,Green Peter
297,Hills Creek
298,John Day
299,Lookout Point
300,McNary
301,Rocky Reach
302,Wells
303,Priest Rapids
304,Wanapum
305,The Dalles
306,Chief Joseph
307,Ice Harbor
308,Little Goose
309,Lower Monumental
310,Grand Coulee
311,Lost Creek
312,Lower Granite
313,Rock Island
314,Foster
