ResourceID,Generating_Unit_Name/Description,Net_Dependable_Capacity_(MW),Unit_Type,Nameplate_Capacity_(MW)
BGCRK87UNIT2,Big Creek PH 8 Unit 2,45,HYDRO,45
MAMMTH7UNIT1,Big Creek - Mammoth Pool Unit 1,95,HYDRO,95
MAMMTH7UNIT2,Big Creek - Mammoth Pool Unit 2,95,HYDRO,95
GRSCRK6BGCKWW,BIG CREEK WATER WORKS,5,HYDRO,5
BISHOP1ALAMO,"BISHOP CREEK PLANTS 2, 5 & 6 (AGGREGATE)",13.4,HYDRO,14.18
BISHOP1UNITS,BISHOP CREEK PLANTS 3 & 4 (AGGREGATE),15.8,HYDRO,15.9
BLM2UNITS,"BLM Units 7, 8, and 9",72,STEAM,99.9
BLME2UNIT7,BLM East Unit 7,24,STEAM,33.3
BLME2UNIT8,BLM East Unit 8,24,STEAM,33.3
BLMW2UNIT9,BLM West Unit 9,24,STEAM,33.3
BORDEN2QF,BORDEN AREA LUMPED QF UNITS,2,HYDRO,2
BORDER6UNITA1,BORDER,51.25,COMBUSTION TURBINE,49.96
MONLTH6BOREL,BOREL HYDRO PLANT (AGGREGATE),11,HYDRO,12
HINSON6CARBGN,BP WILMINGTON CALCINER,30,STEAM,35.8
BUCKCK7PL1X2,BUCKS CREEK PH (AGGREGATE),59,HYDRO,59
BUCKCK7UNIT1,Bucks Creek Unit #1,33,HYDRO,33
BUCKCK7UNIT2,Bucks Creek Unit #2,32.5,HYDRO,32.5
WNDMAS2UNIT1,"BUENA VISTA ENERGY, LLC",38,WIND,38
BURNYF2UNIT1,BURNEY FOREST PRODUCTS,35.7,STEAM,35.7
VALLEY7BADLND,Badlands Landfill Gas to Energy Facility,1.3,RECIPROCATING ENGINE,1.2
BRDGVL7BAKER,Baker Station Hydro,1.49,HYDRO,1.5
BKRFLD2SOLAR1,Bakersfield 111,1.38,PHOTO VOLTAIC,1.4
BALCHS7UNIT1,Balch 1,33,HYDRO,34
BALCHS7UNIT2,Balch 2,52.5,HYDRO,52.5
BALCHS7UNIT3,Balch 3,54.6,HYDRO,54.6
BARRE6PEAKER,Barre Peaker,47,COMBUSTION TURBINE,49
TKOPWR6HYDRO,Bear Creek Hydroelectric Project,2.83,HYDRO,3.2
LOCKFD1BEARCK,Bear Creek Solar,1.5,PHOTO VOLTAIC,1.5
BEARDS7UNIT1,Beardsley Hydro,11.5,HYDRO,11.5
BELDEN7UNIT1,Belden PH,119,HYDRO,119
TENGEN2PL1X2,Berry Cogen 42,40.2,COMBUSTION TURBINE,43.52
TENGEN6UNIT1,Berry Cogen 42 Unit 1,22.7,COMBUSTION TURBINE,21.76
TENGEN6UNIT2,Berry Cogen 42 Unit 2,17.5,COMBUSTION TURBINE,21.76
OLDRIV6BIOGAS,Bidart Old River 1,2,RECIPROCATING ENGINE,2
BIGCRK7DAM7,Big Creek Dam 7 FWG,0.3,HYDRO,0.3
BIGSKY2SOLAR7,Big Sky Solar 1,50,PHOTO VOLTAIC,50
BIGSKY2SOLAR5,Big Sky Solar 2,5,PHOTO VOLTAIC,5
BIGSKY2SOLAR2,Big Sky Solar 4,40,PHOTO VOLTAIC,40
BLCKBT2STONEY,Black Butte Hydro,6.2,HYDRO,6.2
OLINDA7BLKSND,Blacksand Generating Facility,8,COMBUSTION TURBINE,8
BLCKWL6SOLAR1,Blackwell Solar,12,PHOTO VOLTAIC,12
BUCKBL2PL1X3,Blythe Energy Project,493.63,COMBINED CYCLE,537
BUCKBL2CTG11,Blythe CTG 11,182,COMBUSTION TURBINE,176
BUCKBL2CTG12,Blythe CTG 12,182,COMBUSTION TURBINE,176
BUCKBL2STG10,Blythe STG,227,STEAM,185
BLYTHE1SOLAR1,Blythe Solar 1 Project,21,PHOTO VOLTAIC,21
GEYS172BOTRCK,Bottle Rock Geo Steam,17,STEAM,55
SANTGO2LNDFL1,Bowerman Power,19.6,RECIPROCATING ENGINE,20
OLINDA2LNDFL2,Brea Power II,28.1,COMBINED CYCLE,28.1
BRDWAY7UNIT3,Broadway 3,65,STEAM,65
DTCHWD2BT3WND,Brookfield Tehachapi 3,4.5,WIND,4.5
DTCHWD2BT4WND,Brookfield Tehachapi 4,6.52,WIND,7.1
JAKVAL6UNITG1,Buena Vista Biomass,17.84,STEAM,20
SPBURN2UNIT1,Burney Biomass,22,STEAM,20
BUTTVL7UNIT1,Butt Valley PH,40,HYDRO,41
CONTRL1OXBOW,"CAITHNESS DIXIE VALLEY, LLC",64.7,STEAM,49.8
VESTAL2UNIT1,CALGREN-PIXLEY,11.2,COMBUSTION TURBINE,5
BASICE2UNITS,CALPINE AMERICAN I COGEN (Aggregate),135,COMBINED CYCLE,135
CAMCHE1PL1X3,CAMANCHE PH (AGGREGATE),9.99,HYDRO,9.99
CAMCHE1UNIT1,Camanche Unit 1,3.3,HYDRO,3.33
CAMCHE1UNIT2,Camanche Unit 2,3.3,HYDRO,3.33
CAMCHE1UNIT3,Camanche Unit 3,3.7,HYDRO,3.33
CURTIS1CANLCK,CANAL CREEK POWER PLANT,0.9,HYDRO,0.9
CAPMAD1UNIT1,CAPCO MADERA Power Plant,24,STEAM,28.5
CARBOU7PL2X3,CARIBOU UNITS 2 & 3 (AGGREGATE),49,HYDRO,48
CARBOU7UNIT2,Caribou PH 1 Unit 2,25,HYDRO,25
CARBOU7UNIT3,Caribou PH 1 Unit 3,25,HYDRO,25
CARBOU7PL4X5,CARIBOU UNITS 4 & 5 (AGGREGATE),122,HYDRO,122
CARBOU7UNIT4,Caribou PH 2 Unit 4,61,HYDRO,61
CARBOU7UNIT5,Caribou PH 2 Unit 5,61,HYDRO,61
LGHTHP6ICEGEN,CARSON COGENERATION COMPANY,48,COMBUSTION TURBINE,48.9
INTKEP2UNITS,CCSF Hetch_Hetchy Hydro Aggregate,405,HYDRO,405
INTKEP2HOLM1,Holm Unit 1,83,HYDRO,85
INTKEP2HOLM2,Holm Unit 2,83,HYDRO,85
INTKEP2KIRKW1,Kirkwood Unit 1,45,HYDRO,43.13
INTKEP2KIRKW2,Kirkwood Unit 2,45,HYDRO,43.13
INTKEP2KIRKW3,Kirkwood Unit 3,45,HYDRO,43.13
MOCCPH7UNIT1,Moccasin Unit 1,52,HYDRO,57.5
MOCCPH7UNIT2,Moccasin Unit 2,52,HYDRO,57.5
MIDWD7CORAMB,CELLC 7.5 MW Tehachapi Project,7.5,WIND,7.5
CENTER2QF,CENTER AREA LUMPED UNITS,31,,31.01
CNTRVL6UNIT,CENTERVILLE,6.4,HYDRO,5.9
LAROA22UNITA1,CENTRAL LA ROSITA II COMBINED CYCLE (AGGREGATE),322,COMBINED CYCLE,336.5
LAROA22CTG2S,CENTRAL LA ROSITA II COMBUSTION TURBINE,181.5,COMBUSTION TURBINE,181.5
LAROA22STG2C,CENTRAL LA ROSITA II STEAM TURBINE,155,STEAM,155
CENTRY6PL1X4,CENTURY (AGGREGATE),41.4,COMBUSTION TURBINE,43
CENTRY6GEN1,Century Unit 1,10.8,COMBUSTION TURBINE,10.75
CENTRY6GEN2,Century Unit 2,10.8,COMBUSTION TURBINE,10.75
CENTRY6GEN3,Century Unit 3,10.8,COMBUSTION TURBINE,10.75
CENTRY6GEN4,Century Unit 4,10.8,COMBUSTION TURBINE,10.75
CHALK1UNIT,CHALK CLIFF LIMITED,47.49,COMBUSTION TURBINE,58.48
STOILS1UNITS,CHEVRON RICHMOND REFINERY,113.9,,155
STOILS1UNIT1,CHEVRON RICHMOND REFINERY UNIT 1,62.5,COMBUSTION TURBINE,125
STOILS1UNIT2,CHEVRON RICHMOND REFINERY UNIT 2,62.5,STEAM,30
CHEVCO6UNIT1,CHEVRON USA (COALINGA),19,COMBUSTION TURBINE,19
CHEVCY1UNIT,CHEVRON USA (CYMRIC),24.3,COMBUSTION TURBINE,24.3
DISCOV1CHEVRN,CHEVRON USA (EASTRIDGE),56.2,COMBUSTION TURBINE,56.2
CHEVCD6UNIT,CHEVRON USA (TAFT/CADET),11.5,COMBUSTION TURBINE,11.5
PLACVL1CHILIB,CHILI BAR,8.4,HYDRO,7
CHINO2QF,CHINO AREA LUMPED UNITS,21.8,,21.8
CHWCHL1UNIT,CHOW 2 PEAKER PLANT,48.6,RECIPROCATING ENGINE,48.6
LAROA12UNITA1,CICLO COMBINADO MEXICALI,180,COMBUSTION TURBINE,181.5
CORCAN1SOLAR1,CID Solar,20,PHOTO VOLTAIC,20
HINSON6SERRGN,CITY OF LONG BEACH,38.91,STEAM,38.91
CLRMTK1QF,CLAIRMONT AREA LUMPED QF UNITS,1.25,,1.25
COPMTN2CM10,CM10,10,PHOTO VOLTAIC,10
COPMTN2SOLAR1,CM48,48,PHOTO VOLTAIC,48
COPMT22SOLAR2,CMS2,155,PHOTO VOLTAIC,124
COLGA16SHELLW,COALINGA COGENERATION,52.9,COMBUSTION TURBINE,45
COLEMN2UNIT,COLEMAN,13,HYDRO,13
COLVIL7PL1X2,COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE,246.86,HYDRO,252.5
COLVIL7UNIT1,COLLIERVILLE HYDRO UNIT 1,126.5,HYDRO,126.5
COLVIL7UNIT2,COLLIERVILLE HYDRO UNIT 2,126,HYDRO,126
UNCHEM1UNIT,CONTRA COSTA CARBON PLANT,19,STEAM,20
CONTRL1QF,CONTROL AREA LUMPED UNITS,31.4,,37.84
MIRLOM6DELGEN,"CORONA ENERGY PARTNERS, LTD.",50.05,COMBUSTION TURBINE,35
CALGEN1UNITS,COSO FINANCE PARTNERS (NAVY I) (Aggregate),92.2,STEAM,92.2
CALGEN1UNIT1,COSO FINANCE PARTNERS UNIT 1,,STEAM,24
CALGEN1UNIT2,COSO FINANCE PARTNERS UNIT 2,,STEAM,24
CALGEN1UNIT3,COSO FINANCE PARTNERS UNIT 3,,STEAM,27
NAVYII2UNITS,COSO POWER DEVELOPERS (NAVY II) (Aggregate),99,STEAM,67.5
NAVYII2UNIT4,COSO POWER DEVELOPERS UNIT 4,35,STEAM,22.5
NAVYII2UNIT5,COSO POWER DEVELOPERS UNIT 5,32,STEAM,22.5
NAVYII2UNIT6,COSO POWER DEVELOPERS UNIT 6,32,STEAM,22.5
CTNWDP1QF,COTTONWOOD AREA (BURNEY) LUMPED QF UNITS,0.5,HYDRO,0.5
SAUGUS6PTCHGN,COUNTY OF LOS ANGELES (PITCHESS HONOR RANCH),29.8,COMBINED CYCLE,28.71
COVERD2QFUNTS,COVE ROAD AREA LUMPED UNITS,20.26,HYDRO,20.26
COWCRK2UNIT,COW CREEK,2,HYDRO,2
SAMPSN6KELCO1,CP Kelco Cogeneration Facility,25,COMBUSTION TURBINE,26.95
ALTA3A2CPCE4,CPC East - Alta Wind IV,102,WIND,102
ALTA3A2CPCE5,CPC East - Alta Wind V,168,WIND,168
ALTA3A2CPCE8,CPC East - Alta Wind VIII,150,WIND,150
ALT6DS2WIND9,CPC East Alta Wind IX,132,WIND,132
ALTA4B2CPCW6,CPC West - Alta Wind 6,150,WIND,150
ALTA4A2CPCW1,CPC West - Alta Wind I,150,WIND,150
ALTA4B2CPCW2,CPC West - Alta Wind II,150,WIND,150
ALTA4B2CPCW3,CPC West - Alta Wind III,150,WIND,150
SENTNL2CTG1,CPV Sentinel Unit 1,92.09,COMBUSTION TURBINE,106.5
SENTNL2CTG2,CPV Sentinel Unit 2,92.4,COMBUSTION TURBINE,106.5
SENTNL2CTG3,CPV Sentinel Unit 3,92.36,COMBUSTION TURBINE,106.5
SENTNL2CTG4,CPV Sentinel Unit 4,91.98,COMBUSTION TURBINE,106.5
SENTNL2CTG5,CPV Sentinel Unit 5,91.83,COMBUSTION TURBINE,106.5
SENTNL2CTG6,CPV Sentinel Unit 6,92.16,COMBUSTION TURBINE,106.5
SENTNL2CTG7,CPV Sentinel Unit 7,91.84,COMBUSTION TURBINE,106.5
SENTNL2CTG8,CPV Sentinel Unit 8,91.56,COMBUSTION TURBINE,106.5
CRNEVL6CRNVA,CRANE VALLEY,0.9,HYDRO,0.9
LMBEPK2UNITA2,CREED ENERGY CENTER,48,COMBUSTION TURBINE,49.9
CRESTA7PL1X2,CRESTA PH (AGGREGATE),70.4,HYDRO,70.4
CRESTA7UNIT1,Cresta Unit #1,35.2,HYDRO,35.2
CRESTA7UNIT2,Cresta Unit #2,35.2,HYDRO,35.2
CROKET7UNIT,CROCKETT COGEN,240,COMBINED CYCLE,240
CASTVL2FCELL,CSUEB Fuel Cell Station,1.4,COMBUSTION TURBINE,1.55
CABZON1WINDA1,Cabazon Wind Project,41,WIND,41
MENBIO6RENEW1,CalRENEW-1(A),5,PHOTO VOLTAIC,5
MOORPK2CALABS,Calabasas,6.96,COMBUSTION TURBINE,13.8
VISTA2FCELL,"California State University, San Bernardino Fuel Cell",1.4,FUEL CELL,1.44
CAVLSR2RSOLAR,California Valley Solar Ranch-Phase A,210,PHOTO VOLTAIC,210
CAVLSR2BSOLAR,California Valley Solar Ranch-Phase B,40,PHOTO VOLTAIC,40
CALPSS6SOLAR1,Calipatria Solar Farm,19.9,PHOTO VOLTAIC,19.99
SANTFG7UNITS,Calistoga Power Plant,92.1,STEAM,92.1
SANTFG7UNIT1,"GEYSERS POWER COMPANY, LLC. UNIT 1",46,STEAM,46
SANTFG7UNIT2,"GEYSERS POWER COMPANY, LLC. UNIT 2",46,STEAM,46
SMUDGO7UNIT1,Calpine Geothermal (formerly a SMUD unit),53,STEAM,78
CAMLOT2SOLAR1,Camelot,45,PHOTO VOLTAIC,45
CAMLOT2SOLAR2,Camelot 2,15,PHOTO VOLTAIC,15
ENWIND2WIND1,Cameron Ridge,47.1,WIND,47.12
FLOWD2WIND1,Cameron Ridge 2,11.9,WIND,11.9
CAMPFW7FARWST,Camp Far West,8,HYDRO,7.9
CPVERD2SOLAR,Campo Verde Solar,139,PHOTO VOLTAIC,150
CANTUA1SOLAR,Cantua Solar station,20,PHOTO VOLTAIC,20
ANAHM2CANYN1,Canyon Power Plant Unit 1,49.4,COMBUSTION TURBINE,49.4
ANAHM2CANYN2,Canyon Power Plant Unit 2,49.4,COMBUSTION TURBINE,49.4
ANAHM2CANYN3,Canyon Power Plant Unit 3,49.4,COMBUSTION TURBINE,49.4
ANAHM2CANYN4,Canyon Power Plant Unit 4,49.4,COMBUSTION TURBINE,49.4
CARBOU7UNIT1,Caribou PH 1 Unit 1,24,HYDRO,24
DEVERS1SOLAR,Cascade Solar,18.5,PHOTO VOLTAIC,18.5
TX-ELK6SOLAR1,Castor Solar Project,1.5,PHOTO VOLTAIC,1.5
CSTRVL7QFUNTS,Castroville QF Aggregate,2,VARIOUS,2
CATLNA2SOLAR,Catalina Solar - Phases 1 and 2,110,PHOTO VOLTAIC,110
CATLNA2SOLAR2,Catalina Solar 2,18,PHOTO VOLTAIC,20
CENTER6PEAKER,Center Peaker,47,COMBUSTION TURBINE,49
CNTNLA2SOLAR2,Centinela Solar Energy 2,45.6,PHOTO VOLTAIC,45.6
CNTNLA2SOLAR1,Centinela Solar Energy Facility (Phase I),125,PHOTO VOLTAIC,127
PLAINV6SOLARC,Central Antelope Dry Ranch C,20,PHOTO VOLTAIC,20
SNMALF6UNITS,Central Disposal Site LFG Power Plant,7.5,RECIPROCATING ENGINE,8
ETIWND2CHMPNE,Champagne,1,PHOTO VOLTAIC,1
CHEVMN2UNITS,Chevron CIC,124.87,COMBINED CYCLE,170.7
CHEVMN2UNIT1,CHEVRON U.S.A. UNIT 1,85.31,COMBUSTION TURBINE,49
CHEVMN2UNIT2,CHEVRON U.S.A. UNIT 2,38,STEAM,38
CHICPK7UNIT1,Chicago Park PH,42,HYDRO,39
CHINO2SOLAR,Chino Roof Top Solar Project,1,PHOTO VOLTAIC,1
SAUGUS7CHIQCN,Chiquita Canyon Landfill Generating Facility,8,RECIPROCATING ENGINE,9.2
CHWCHL1BIOMAS,Chow II Biomass to Energy,10.8,STEAM,12.5
OTAY6PL1X2,Chula Vista Energy Center,35.5,COMBUSTION TURBINE,44.02
MNDOTA1SOLAR2,Citizen Solar B,5,PHOTO VOLTAIC,5
CORONS6CLRWTR,Clearwater Power Plant,28,COMBINED CYCLE,32.27
CORONS6CLRCTG,Clearwater Power Plant CT Unit 1,23.8,COMBUSTION TURBINE,23.8
CORONS6CLRSTG,Clearwater Power Plant ST Unit 2,8.5,STEAM,8.47
CLOVER2UNIT,Clover Creek,0.99,HYDRO,0.99
CSTOGA6LNDFIL,Clover Flat Land Fill Gas,0.85,INTERNAL COMBUSTION,0.85
CLOVDL1SOLAR,Cloverdale Solar I,1.5,PHOTO VOLTAIC,1.5
SANLOB1LNDFIL,Cold Canyon,1.5,RECIPROCATING ENGINE,1.5
VLCNTR6VCSLR,Cole Grade,2.33,PHOTO VOLTAIC,2.33
COLGAT7UNIT1,Colgate PH Unit 1,176.72,HYDRO,157.5
COLGAT7UNIT2,Colgate PH Unit 2,175.67,HYDRO,157.5
GLDTWN6COLUM3,Columbia 3,10,PHOTO VOLTAIC,10
CUMBIA1SOLAR,Columbia Solar Energy II,19,PHOTO VOLTAIC,19
COLUSA2PL1X3,Colusa Generating Station,641,COMBUSTION TURBINE,709
COLUSA2CTG1,Colusa Generating Station CTG1,213.5,COMBUSTION TURBINE,213.5
COLUSA2CTG2,Colusa Generating Station CTG2,213.5,COMBUSTION TURBINE,213.5
COLUSA2STG,Colusa Generating Station STG,411,STEAM,411
HIGGNS1COMBIE,Combie South Powerhouse,1.5,HYDRO,1.5
PALALT7COBUG,Cooperatively Owned Back Up Generator,4.5,COMBUSTION TURBINE,4.8
COPMT42SOLAR4,Copper Mountain Solar 4,92,PHOTO VOLTAIC,92
BRODIE2WIND,Coram Brodie Wind Project,102,WIND,102
BRODIE2WIND1,Coram Brodie Wind Project Cameron Ridge,78,WIND,78
BRODIE2WIND2,Coram Brodie Wind Project Section 15,24,WIND,24
MIDWD2WIND2,Coram Energy,3,WIND,3
WAUKNA1SOLAR2,Corcoran 2,19.75,PHOTO VOLTAIC,19.75
CORCAN1SOLAR2,Corcoran City,11,PHOTO VOLTAIC,11
WAUKNA1SOLAR,Corcoran Solar,20,PHOTO VOLTAIC,20
TWISSL6SOLAR1,Coronal Lost Hills,20,PHOTO VOLTAIC,20
PANDOL6UNIT,"Covanta Delano, Inc.",49,STEAM,58
PANDOL6UNIT1,"Covanta Delano, Inc. Unit 1",32,STEAM,32
PANDOL6UNIT2,"Covanta Delano, Inc. Unit 2",26,STEAM,26
STNRES1UNIT,"Covanta Stanislaus, Inc.",19.9,STEAM,24.5
SANTGO6COYOTE,Coyote Canyon,9.99,STEAM,17.1
CRWCKS1SOLAR1,Crow Creek Solar 1,20,PHOTO VOLTAIC,20
ELCAJN6UNITA1,Cuyamaca Peak Energy Plant,45.42,COMBUSTION TURBINE,47.3
DSABLA7UNIT,DE SABLA,18.5,HYDRO,18.5
DEADCK1UNIT,"DEADWOOD CREEK (HYDRO SIERRA ENERGY, LLC)",2,HYDRO,2
DEERCR6UNIT1,DEER CREEK,7,HYDRO,7
DELTA2PL1X4,DELTA ENERGY CENTER (AGGREGATE),880,COMBINED CYCLE,943.5
DELTA2CTG1,Delta Energy Center Unit 1,212.5,COMBUSTION TURBINE,212.5
DELTA2CTG2,Delta Energy Center Unit 2,212.5,COMBUSTION TURBINE,212.5
DELTA2CTG3,Delta Energy Center Unit 3,212.5,COMBUSTION TURBINE,212.5
DELTA2STG,Delta Energy Center Unit 4,306,STEAM,306
DEVERS1QF,DEVERS AREA LUMPED UNITS,155,WIND,155
BUCKWD1QF,San Gorgonio Buckwind,16.5,WIND,16.5
PANSEA1PANARO,Mesa Wind Project,30,WIND,30
RENWD1QF,San Gorgonio Renwind,10,WIND,10.5
SANWD1QF,San Gorgonio Farms Wind Farm,31,WIND,31
TRNSWD1QF,FPL Energy C Wind,38.97,WIND,39
DVLCYN1UNITS,DEVIL CANYON (AGGREGATE),236.8,HYDRO,280
DVLCYN1UNIT1,Devil Canyon Unit 1,60,HYDRO,60
DVLCYN1UNIT2,Devil Canyon Unit 2,60,HYDRO,60
DVLCYN1UNIT3,Devil Canyon Unit 3,80,HYDRO,80
DVLCYN1UNIT4,Devil Canyon Unit 4,80,HYDRO,80
FLOWD22FPLWND,DIABLO WINDS,18.6,WIND,18
DMDVLY1UNITS,DIAMOND VALLEY P-G PLANT (AGGREGATE),21,PUMPED STORAGE,39.6
DMDVLY1GEN1,Diamond Valley Unit 1,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN10,Diamond Valley Unit 10,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN11,Diamond Valley Unit 11,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN12,Diamond Valley Unit 12,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN2,Diamond Valley Unit 2,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN3,Diamond Valley Unit 3,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN4,Diamond Valley Unit 4,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN5,Diamond Valley Unit 5,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN6,Diamond Valley Unit 6,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN7,Diamond Valley Unit 7,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN8,Diamond Valley Unit 8,3.3,PUMPED STORAGE,3.3
DMDVLY1GEN9,Diamond Valley Unit 9,3.3,PUMPED STORAGE,3.3
DIVSON6NSQF,DIVISON NAVAL STATION COGEN,47,COMBINED CYCLE,48.6
DUANE1PL1X3,DONALD VON RAESFELD POWER PLANT,147.8,COMBINED CYCLE,154.4
DUANE7CTG1,DONALD VON RAESFELD CTG1 UNIT,50.4,COMBUSTION TURBINE,50.4
DUANE7CTG2,DONALD VON RAESFELD CTG2 UNIT,50.4,COMBUSTION TURBINE,50.4
