PLANT,unitid,fipscode,state,facilityname,CO2rate,NOXrate,SO2rate
422,"GT3",37,"CA","Glenarm",1.30019,.323768,.0065653
422,"GT4",37,"CA","Glenarm",1.152183,.3271125,.0058185
422,"GT5",37,"CA","Glenarm",1.0351,.0771572,.0049529
7266,"1",99,"CA","Woodland Generation Station",1.038187,.0931299,.0052432
7266,"2",99,"CA","Woodland Generation Station",.9939146,.0550187,.0050185
7307,"5",89,"CA","Redding Power Plant",1.053329,.0885435,.0053188
7307,"6",89,"CA","Redding Power Plant",1.006042,.0902951,.0050793
7315,"1",99,"CA","Almond Power Plant",1.128949,.1452036,.0057001
7315,"2",99,"CA","Almond Power Plant",1.135998,.0928109,.0057356
7315,"3",99,"CA","Almond Power Plant",1.194694,.091318,.006032
7315,"4",99,"CA","Almond Power Plant",1.144568,.0918801,.0057786
7449,"NA1",77,"CA","NCPA Combustion Turbine Project #2",.9283832,.2544597,.0046857
7527,"1",67,"CA","Carson Cogeneration",1.051853,.0614825,.0053991
7527,"2",67,"CA","Carson Cogeneration",1.098206,.1634679,.0055454
7551,"1A",67,"CA","SCA Cogen II",1.005467,.0677873,.0050769
7551,"1B",67,"CA","SCA Cogen II",1.078661,.0695129,.0054463
7551,"1C",67,"CA","SCA Cogen II",1.051076,.0903103,.0053073
7552,"1",67,"CA","Sacramento Power Authority Cogen",.8704422,.1071072,.0043944
7693,"1",59,"CA","Anaheim Combustion Turbine",1.09812,.2596201,.0055436
10034,"S-100",85,"CA","Calpine Gilroy Cogen, LP",.9505191,.3405398,.0047984
10156,"GEN1",19,"CA","Fresno Cogeneration Partners, LP",1.608689,.2527693,.0081236
10169,"D1",37,"CA","Carson Cogeneration Company",1.081572,5.74304,.0054619
10294,"2",53,"CA","King City Power Plant",.9452528,.1214955,.0047698
10294,"GTG",53,"CA","King City Power Plant",1.187305,.6628753,.0059956
10349,"2",101,"CA","Yuba City Energy Center",1.144182,.9379165,.0057795
10350,"1",101,"CA","Greenleaf One",1.118774,1.658721,.0056501
10405,"1",19,"CA","Kingsburg Cogen Facility",1.550224,.27934,.0078297
10649,"GT1",29,"CA","Bear Mountain Limited",.9964654,9.789285,.0050297
10650,"GT1",29,"CA","Badger Creek Limited",1.068279,8.739692,.0054028
10812,"CT1",73,"CA","North Island",,,
50131,"1",19,"CA","Coalinga Cogeneration Facility",,,
50612,"GT1",29,"CA","McKittrick Limited",.9526592,10.84916,.0047996
50864,"1",53,"CA","Sargent Canyon Cogen Facility",,,
50865,"1",53,"CA","Salinas River Cogeneration Facility",1.583943,.1290424,.0079972
54238,"BIOMS1",77,"CA","DTE Stockton",3.07265,.5524397,.0036251
54749,"1",73,"CA","Goal Line",.9436475,.1578654,.0047656
54768,"GT1",29,"CA","Live Oak Limited",.9410932,9.254732,.0047418
55112,"CT01",101,"CA","Calpine Sutter Energy Center",.7986382,.090689,.0040318
55112,"CT02",101,"CA","Calpine Sutter Energy Center",.8057845,.4220318,.0040666
55151,"CTG-1",29,"CA","La Paloma Generating Plant",.9228193,.1755615,.0046589
55151,"CTG-2",29,"CA","La Paloma Generating Plant",.9230369,.1811889,.0046599
55151,"CTG-3",29,"CA","La Paloma Generating Plant",.9553025,.2094215,.0048227
55151,"CTG-4",29,"CA","La Paloma Generating Plant",.9542767,.2015564,.0048176
55182,"CTG1",29,"CA","Sunrise Power Company",.8283276,.0614974,.0041817
55182,"CTG2",29,"CA","Sunrise Power Company",.7984249,.0435139,.0040307
55217,"X724",13,"CA","Los Medanos Energy Center, LLC",.7999933,.0567528,.0040387
55217,"X725",13,"CA","Los Medanos Energy Center, LLC",.8044344,.0522766,.004061
55295,"1",65,"CA","Blythe Energy",1.316332,.1004982,.0066453
55295,"2",65,"CA","Blythe Energy",1.324998,.1024861,.0066892
55333,"1",13,"CA","Delta Energy Center, LLC",.8281217,.080119,.0041805
55333,"2",13,"CA","Delta Energy Center, LLC",.8365675,.0777369,.0042232
55333,"3",13,"CA","Delta Energy Center, LLC",.8625395,.0851945,.0043545
55345,"CTG-1",73,"CA","Otay Mesa Energy Center, LLC",.8613061,.0857816,.0043483
55345,"CTG-2",73,"CA","Otay Mesa Energy Center, LLC",.9203624,.123049,.0046462
55393,"1",85,"CA","Metcalf Energy Center",.8787188,.085669,.0044362
55393,"2",85,"CA","Metcalf Energy Center",.882838,.0915176,.0044571
55499,"GT-1",95,"CA","CalPeak Power - Vaca Dixon",.897038,.0738655,.0046233
55499,"GT-2",95,"CA","CalPeak Power - Vaca Dixon",,,
55508,"GT-1",19,"CA","CalPeak Power - Panoche",.9079179,.0807182,.004641
55508,"GT-2",19,"CA","CalPeak Power - Panoche",,,
55510,"GT-1",73,"CA","CalPeak Power - Border",.8869247,.0950863,.0045302
55510,"GT-2",73,"CA","CalPeak Power - Border",,,
55512,"GT-1",73,"CA","Cuyamaca Peak Energy",1.03088,.113808,.005285
55512,"GT-2",73,"CA","Cuyamaca Peak Energy",,,
55513,"GT-1",73,"CA","CalPeak Power - Enterprise",.8537874,.1132619,.004377
55513,"GT-2",73,"CA","CalPeak Power - Enterprise",,,
55518,"CTG1",71,"CA","High Desert Power Project",1.072712,.1251002,.0054154
55518,"CTG2",71,"CA","High Desert Power Project",1.062811,.1138474,.0053655
55518,"CTG3",71,"CA","High Desert Power Project",1.07591,.1419958,.0054315
55538,"CT1A",73,"CA","Escondido Energy Center, LLC",,,
55538,"CT1B",73,"CA","Escondido Energy Center, LLC",,,
55538,"CTG1",73,"CA","Escondido Energy Center, LLC",.9556487,.078559,.004825
55540,"1A",73,"CA","Chula Vista Energy Center",2.148204,.3449607,.0108503
55540,"1B",73,"CA","Chula Vista Energy Center",2.152354,.3451732,.0108677
55541,"1",65,"CA","Indigo Generation Facility",.8729284,.1767252,.0044073
55541,"2",65,"CA","Indigo Generation Facility",.8202341,.2119294,.0041396
55541,"3",65,"CA","Indigo Generation Facility",.8283814,.2086528,.0041822
55542,"1",73,"CA","Larkspur Energy Faciity",.8429591,.2105569,.0042557
55542,"2",73,"CA","Larkspur Energy Faciity",.8143735,.2186922,.0041123
55625,"UNIT1",95,"CA","Creed Energy Center",1.033142,.2512115,.0052148
55626,"UNIT1",95,"CA","Lambie Energy Center",1.05678,.2533111,.0053353
55627,"UNIT1",95,"CA","Goose Haven Energy Center",1.043692,.271559,.0052686
55656,"CT001",29,"CA","Pastoria Energy Facility",.8647251,.0741516,.0043655
55656,"CT002",29,"CA","Pastoria Energy Facility",.826278,.0679554,.0041713
55656,"CT004",29,"CA","Pastoria Energy Facility",.8809892,.0903334,.0044475
55698,"HEP1",31,"CA","Hanford Energy Park Peaker",.9839389,.1690018,.0049687
55698,"HEP2",31,"CA","Hanford Energy Park Peaker",.9618531,1.510177,.0048562
55748,"CTG1",85,"CA","Los Esteros Critical Energy Facility",.9107987,.0898493,.0045985
55748,"CTG2",85,"CA","Los Esteros Critical Energy Facility",.8495643,.0630177,.0042894
55748,"CTG3",85,"CA","Los Esteros Critical Energy Facility",.904503,.070849,.0045673
55748,"CTG4",85,"CA","Los Esteros Critical Energy Facility",.9212071,.0706475,.0046511
55807,"HPP1",31,"CA","Henrietta Peaker Plant",.9373226,.134643,.0047322
55807,"HPP2",31,"CA","Henrietta Peaker Plant",.9064509,.1403787,.0045776
55810,"S-3",85,"CA","Gilroy Energy Center, LLC",1.077048,.3790535,.005435
55810,"S-4",85,"CA","Gilroy Energy Center, LLC",1.347272,.5874551,.0068057
55810,"S-5",85,"CA","Gilroy Energy Center, LLC",1.029633,.4736562,.0051978
55847,"UNIT1",101,"CA","Feather River Energy Center",1.151371,1.513447,.005814
55853,"1",65,"CA","Inland Empire Energy Center",.8982142,.1329158,.0045343
55853,"2",65,"CA","Inland Empire Energy Center",,,
55855,"UNIT1",95,"CA","Wolfskill Energy Center",1.0587,.2501796,.0053458
55875,"GT1",19,"CA","Wellhead Power Gates, LLC",,,
55933,"TPP1",77,"CA","Tracy Combined Cycle Power Plant",.9265198,.145797,.0046775
55933,"TPP2",77,"CA","Tracy Combined Cycle Power Plant",.9194953,.122206,.0046422
55951,"AMP-1",71,"CA","Agua Mansa Power",1.047485,.2065605,.005278
55963,"1",13,"CA","Riverview Energy Center",1.022474,.2438309,.0051626
55970,"2",67,"CA","Cosumnes Power Plant",.8607292,.075943,.0043619
55970,"3",67,"CA","Cosumnes Power Plant",.8448395,.0541922,.0042823
55985,"CTG1",73,"CA","Palomar Energy Center",.8569118,.0867732,.0043261
55985,"CTG2",73,"CA","Palomar Energy Center",.8520118,.0871295,.0043012
56026,"PCT1",85,"CA","Donald Von Raesfeld",.9083686,.0644482,.0045864
56026,"PCT2",85,"CA","Donald Von Raesfeld",.9167376,.0634909,.0046285
56041,"M1",37,"CA","Malburg Generating Station",.9513083,.0655769,.0048034
56041,"M2",37,"CA","Malburg Generating Station",.9500054,.0628705,.0047971
56046,"1",37,"CA","Magnolia",.845577,.0470066,.0043459
56078,"1",99,"CA","Walnut Energy Center",.9661072,.0594121,.0048775
56078,"2",99,"CA","Walnut Energy Center",.9650384,.067068,.0048721
56135,"1",99,"CA","Ripon Generation Station",1.232885,.1089134,.0062253
56135,"2",99,"CA","Ripon Generation Station",1.252605,.1103908,.0063256
56143,"1",65,"CA","Riverside Energy Resource Center",.9081274,.0989334,.0045875
56143,"2",65,"CA","Riverside Energy Resource Center",.9143529,.0979472,.0046189
56143,"3",65,"CA","Riverside Energy Resource Center",.8755061,.0937259,.0044212
56143,"4",65,"CA","Riverside Energy Resource Center",.8731037,.0849834,.0044093
56232,"1",73,"CA","Miramar Energy Facility",.9343557,.1682353,.0047177
56232,"2",73,"CA","Miramar Energy Facility",.9265033,.1625339,.0046797
56239,"GT-1",19,"CA","Malaga Power",.9829742,.1699781,.0049587
56239,"GT-2",19,"CA","Malaga Power",.9451465,.162464,.0047708
56298,"CT001",61,"CA","Roseville Energy Park",.9599311,.0736597,.0048466
56298,"CT002",61,"CA","Roseville Energy Park",.9967191,.0738599,.0050324
56467,"CT1",1,"CA","Russell City Energy Company LLC",.8723868,.1010829,.0044045
56467,"CT2",1,"CA","Russell City Energy Company LLC",.8602123,.09337,.0043423
56471,"CT1",111,"CA","McGrath Generating Station",.9154236,.1063345,.0046216
56472,"CT1",71,"CA","Grapeland Generating Station",1.115409,.142476,.0056304
56473,"CT1",71,"CA","Mira Loma Generating Station",.8825333,.127287,.0044553
56474,"CT1",59,"CA","Barre Generating Station",.912993,.1094631,.0046093
56475,"CT1",37,"CA","Center Generating Station",1.107216,.1423798,.005591
56476,"GT1",13,"CA","Gateway Generating Station",.8791545,.1089861,.0044381
56476,"GT2",13,"CA","Gateway Generating Station",.8928472,.1211833,.0045074
