ORISPL,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA
58761,,,,
58762,,,,
58763,,,,
50270,,,,
58261,,,,
10052,3.007,0.508,133.703,0.189
296,,,,
61365,,,,
6512,,,,
59203,,,,
55847,0.913,0.007,"1,464.839",0.003
59523,,,,
57498,,,,
62575,,,,
441,,,,
61698,,,,
332,,,,
396,0.000,0.000,0.000,0.000
6645,,,,
59799,,,,
417,,,,
59651,,,,
50350,,,,
10342,1.825,0.019,692.907,0.001
57791,,,,
61442,,,,
61066,,,,
58102,,,,
58112,,,,
58101,,,,
62654,,,,
57792,,,,
61443,,,,
58114,,,,
58113,,,,
61444,,,,
61067,,,,
57626,,,,
58104,,,,
58105,,,,
55845,,,,
57201,,,,
62287,,,,
50219,,,,
397,0.000,0.000,0.000,0.000
57809,,,,0.002
60183,,,,
424,,,,
10156,0.022,0.001,271.491,0.002
60083,,,,
50393,,,,
10110,2.207,0.023,823.956,0.002
62275,,,,
60039,,,,
57506,,,,
58083,1.777,0.018,667.674,0.001
58320,0.000,0.350,0.000,0.000
57133,0.000,0.361,0.000,0.000
56909,,,,
58528,,,,
57302,,,,
50492,32.614,0.048,0.000,0.002
55875,,,,
57892,,,,
56476,0.047,0.004,874.837,0.002
61993,,,,
50623,,,,
57566,,,,
60844,,,,
60231,,,,
57394,,,,
54038,,,,
10763,0.000,0.935,160.340,
7368,0.003,0.001,237.303,
7369,0.003,0.001,237.303,
286,0.003,0.001,237.303,
7231,4.531,0.047,"1,709.504",0.003
57521,,,,
59522,,,,
55810,0.366,0.007,"1,404.614",0.003
422,0.137,0.004,869.306,0.002
60974,,,,
54749,0.108,0.004,879.319,0.002
59328,,,,
60590,,,,
61222,,,,
60049,,,,
57796,,,,
57797,,,,
55627,0.246,0.008,"1,440.299",0.003
10128,,,,
50552,,,,
60516,,,,
56472,0.178,0.008,"1,523.797",0.003
58217,,,,
58204,,,,
377,0.000,0.000,"1,480.109",0.003
59940,,,,
57849,,,,
57850,,,,
61339,,,,
61215,,,,
61216,,,,
55396,,,,
10350,0.758,0.004,808.908,0.002
6643,,,,
58370,,,,
58371,,,,
7338,,,,
10115,1.759,0.018,668.294,0.001
10392,,,,
10388,,,,
62690,,,,
57891,,,,
56039,4.269,0.044,"1,612.595",0.003
240,,,,
398,,,,
241,,,,
242,,,,
59300,,,,
55698,3.122,0.008,"1,388.850",0.003
50541,,,,
399,0.416,0.010,"1,729.548",0.003
243,,,,
244,,,,
10882,,,,
56654,,,,
400,0.052,0.004,864.493,0.002
10253,,,,
59009,,,,
54689,0.000,0.000,0.000,
58398,,,,
61722,,,,
61723,,,,
61721,,,,
59315,,,,
59316,,,,
59317,,,,
62889,,,,
57831,,,,
62689,,,,
56955,,,,
6100,0.000,0.000,0.000,0.000
56275,,,,
52165,,,,
60641,,,,
55807,0.139,0.007,"1,246.032",0.002
58975,,,,
59182,,,,
162,,,,
55518,0.064,0.004,889.743,0.002
57977,16.653,0.020,734.865,0.001
50495,2.824,0.029,"1,072.779",0.002
56075,,,,
10777,1.393,0.348,2.098,0.129
62655,,,,
58223,22.977,0.027,996.835,0.002
59268,,,,
58300,,,,0.002
58452,,,,
58432,24.784,0.030,"1,081.153",0.002
58211,,,,
246,23.255,0.028,"1,027.007",0.002
50049,3.798,0.627,10.098,0.232
247,,,,
57523,,,,
62515,,,,
60960,4.619,0.059,210.956,0.002
58028,,,,
57490,,,,
57491,,,,
59657,,,,
58062,,,,
56917,,,,
57895,,,,
50129,,,,
55541,0.237,0.007,"1,274.928",0.002
57860,,,,
58609,,,,
52115,4.314,0.045,"1,638.926",0.003
55853,0.045,0.004,864.590,0.002
248,,,,
58086,,,,
58954,,,,
61152,,,,
60224,,,,0.002
297,,,,
58513,,,,
10139,,,,
57841,,,,
57840,,,,
58307,,,,
57074,0.020,0.001,218.533,0.000
57073,0.020,0.001,217.090,0.000
57075,0.015,0.001,163.844,0.000
61692,,,,
104,,,,
57101,,,,
58216,,,,
60947,,,,
249,,,,
431,,,,
57475,0.000,0.935,160.340,
534,,,,
442,,,,
58301,,,,0.002
62699,,,,
58128,,,,0.002
62698,,,,
62701,,,,
58132,,,,0.002
62700,,,,
54653,,,,
10718,,,,
337,,,,
336,,,,
338,,,,
10042,5.036,0.055,"2,023.432",0.004
303,,,,
62441,,,,
54654,,,,
59280,,,,0.002
418,,,,
250,,,,
682,,,,
7911,,,,
50494,3.205,0.033,"1,217.491",0.002
58100,4.407,0.045,"1,651.391",0.003
340,,,,
339,,,,
10496,1.806,0.019,679.649,0.001
52107,1.544,0.016,583.424,0.001
52094,,,,
52092,,,,
52095,,,,
443,,,,
59098,,,,
59099,,,,
57921,,,,
59633,,,,
58510,,,,
55766,0.000,0.456,0.000,0.000
253,,,,
61628,,,,
55811,3.470,0.036,"1,312.986",0.002
10294,0.003,0.000,27.643,0.002
59868,,,,
60091,,,,
6518,39.941,3.587,"2,021.285",0.016
254,,,,
10405,0.188,0.007,"1,165.394",0.002
58304,,,,
61802,,,,
57009,,,,
56295,,,,
10720,31.210,0.037,"1,366.683",0.003
57836,,,,
440,,,,
58118,,,,
55151,0.059,0.005,895.003,0.002
58960,20.655,0.032,115.143,0.001
7987,0.205,0.007,"1,345.028",0.002
57729,0.000,0.000,0.000,0.000
6644,,,,
7489,,,,
60973,,,,
55626,0.239,0.008,"1,449.056",0.003
62056,,,,
58634,,,,
58750,,,,
59262,,,,
59167,,,,
59169,,,,
59739,,,,
55542,0.191,0.006,"1,229.520",0.002
58963,,,,
57312,,,,
61792,,,,
60142,,,,
62274,,,,
59279,,,,0.002
58302,,,,0.002
255,,,,
57988,0.000,0.383,0.000,0.000
60060,,,,
60984,,,,
50148,,,,
58308,,,,
62463,,,,
62464,,,,
62465,,,,
59870,,,,
59885,,,,
60026,,,,
54768,12.148,0.004,841.886,0.002
57808,,,,0.002
7451,4.958,0.051,"1,881.773",0.004
57978,0.042,0.004,843.476,0.002
10206,1.912,0.019,705.354,0.001
60988,,,,
58417,,,,
59237,,,,
341,0.570,0.011,"2,101.408",0.004
60485,,,,
432,,,,
57730,,,,
57314,,,,
54451,0.678,0.002,617.246,0.001
55748,0.050,0.005,998.641,0.002
55217,0.047,0.004,786.743,0.001
10708,,,,
52077,2.069,0.021,778.372,0.001
58711,,,,
365,0.000,0.000,0.000,0.000
342,,,,
58451,,,,
57308,,,,
59409,,,,
61421,,,,
58522,,,,
375,,,,
56046,0.039,0.005,874.620,0.002
56239,0.168,0.007,"1,250.123",0.002
56041,0.066,0.005,985.457,0.002
62688,,,,
10480,0.000,0.000,0.000,
10481,0.000,0.000,0.000,
344,,,,
345,,,,
61115,,,,
57484,,,,
56676,,,,
57005,,,,
59607,,,,
61013,,,,
10748,0.000,0.355,0.000,0.000
57483,0.134,0.007,"1,281.877",0.002
57267,0.083,0.007,"1,397.799",0.003
54912,1.437,0.016,716.905,0.001
52063,,,,0.000
62178,,,,
59802,,,,0.002
58914,1.804,0.018,659.071,0.001
535,3.959,0.040,"1,474.933",0.003
151,10.929,4.743,"2,546.421",0.014
58462,,,,
56471,0.116,0.006,"1,192.463",0.002
52076,3.559,0.037,"1,345.454",0.003
50612,10.573,0.003,732.773,0.002
410,,,,
61420,,,,
258,,,,
59265,,,,
57982,,,,
50535,,,,
50363,,,,
57154,,,,
55393,0.055,0.004,872.505,0.002
57313,,,,
62459,,,,0.000
425,,,,
401,,,,
10501,,,,
56639,0.212,0.007,"1,348.989",0.002
60336,,,,
60237,,,,
60315,,,,
52169,1.584,0.016,598.754,0.001
7147,,,,
58056,17.120,0.042,646.474,0.002
60760,0.000,0.000,0.000,0.000
58698,,,,
60661,,,,
56473,0.148,0.006,"1,209.555",0.002
305,,,,
56232,0.191,0.006,"1,200.197",0.002
62697,,,,
60650,,,,
59267,,,,
59411,,,,
55161,0.000,0.335,0.000,0.000
55094,0.000,0.271,0.000,0.000
55602,0.000,0.352,0.000,0.000
55160,0.000,0.432,0.000,0.000
54015,0.000,0.000,0.000,0.000
54567,0.000,0.346,0.000,0.000
6212,,,,
381,,,,
751,,,,
50821,,,,
50823,,,,
52143,,,,
52142,,,,
52144,,,,
7072,,,,
57331,,,,
54951,14.509,0.022,288.686,0.001
58633,,,,
57701,,,,
55009,,,,
7646,,,,
60007,,,,
59942,,,,
260,0.060,0.004,821.061,0.002
61353,,,,
61202,,,,
55719,,,,
56112,,,,
57459,,,,
358,0.092,0.004,864.292,0.002
54626,1.076,0.381,17.149,0.141
10458,,,,
50674,29.580,0.035,"1,292.883",0.002
60412,,,,
261,,,,
57833,,,,
62015,,,,
50352,,,,
455,,,,
262,,,,
61894,,,,
58610,,,,
57764,,,,
50963,2.083,0.021,776.233,0.001
306,,,,
10811,3.187,0.033,"1,217.875",0.002
6707,,,,
7449,0.154,0.005,"1,024.717",0.002
60826,,,,
50223,,,,
50755,,,,
6158,,,,
58226,,,,
632,,,,
10427,1.779,0.018,672.329,0.001
60981,,,,
58034,,,,
59600,,,,
56569,0.063,0.006,"1,119.738",0.002
444,,,,
59652,,,,
58748,,,,
56832,0.000,0.000,0.000,
60571,0.000,0.385,0.000,0.000
60192,,,,
57854,,,,
307,,,,
10812,3.111,0.033,"1,188.828",0.002
59962,,,,
52078,,,,
57743,,,,
57722,,,,
59879,,,,
58154,,,,
58713,,,,
50831,0.000,0.881,0.001,0.000
54337,15.746,0.019,698.226,0.001
56939,,,,
57455,,,,
59528,,,,
10810,3.190,0.033,"1,218.882",0.002
58448,,,,
50754,,,,
626,,,,
57552,,,,
58376,,,,
56302,,,,
57311,,,,
57514,,,,
10648,,,,
6013,,,,
10884,1.741,0.018,656.413,0.001
50850,2.101,0.022,793.694,0.001
50180,,,,
58581,,,,
58582,,,,
58607,12.900,0.018,653.718,0.001
61419,,,,
446,0.000,0.000,0.000,0.000
62497,,,,
62499,,,,
56914,0.126,0.007,"1,324.638",0.002
61372,,,,
58718,,,,
58721,,,,
50766,0.000,0.000,0.000,
50764,,,,
50762,,,,
54724,0.000,0.000,0.000,
350,0.090,0.007,"1,386.517",0.003
62801,,,,
59915,,,,
54477,14.772,0.018,642.209,0.001
60567,0.000,0.000,0.000,0.000
52204,0.000,0.401,0.000,0.000
55345,0.074,0.005,899.200,0.002
58612,,,,
60953,,,,
426,,,,
50464,2.054,0.021,770.461,0.001
57585,1.761,0.018,654.402,0.001
50224,26.055,0.038,171.909,0.002
59456,2.055,0.021,774.543,0.001
57309,,,,
61989,,,,
61027,4.509,0.045,"1,647.006",0.003
59447,58.973,0.090,0.000,0.003
61795,,,,
57757,,,,
50560,2.877,0.400,0.000,0.148
50533,,,,
62729,,,,
60566,0.000,0.000,0.000,0.000
57773,,,,
55985,0.047,0.004,859.439,0.002
10473,,,,
56803,0.103,0.006,"1,112.414",0.002
57340,,,,
58058,,,,
376,,,,
59539,,,,
428,,,,
447,,,,
58198,1.802,0.019,681.201,0.001
55656,0.045,0.004,851.502,0.002
56213,,,,
50849,1.747,0.018,662.566,0.001
61167,,,,
6704,32.368,2.859,"1,664.091",0.014
481,,,,
62611,,,,
50388,0.000,0.000,"2,058.619",0.000
50119,0.806,0.002,625.391,0.001
264,,,,
55339,,,,
58248,,,,
388,,,,
7907,,,,
57306,,,,
56433,,,,
57834,,,,
57837,,,,
57555,0.125,0.006,"1,182.324",0.002
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
10478,2.994,0.031,"1,130.103",0.002
59803,,,,0.002
50696,36.613,0.057,134.745,0.002
52099,35.341,0.055,105.292,0.002
402,,,,
10479,0.000,0.000,0.000,
272,,,,
61390,,,,
10709,,,,
353,,,,
61319,,,,
354,,,,
60309,,,,
60310,,,,
60311,,,,
59219,,,,
58309,,,,
6524,,,,
59952,0.000,0.360,0.000,0.000
274,,,,
57696,2.928,0.039,0.000,0.001
58611,,,,
58085,,,,
62578,,,,
55601,0.000,0.377,0.000,0.000
10472,0.000,0.000,0.000,0.000
59322,,,,
59550,,,,
60790,,,,
59457,1.685,0.017,635.298,0.001
59339,,,,
382,,,,
50147,,,,
58354,,,,
58355,,,,
427,,,,
58909,,,,
58911,,,,
60995,,,,
59540,,,,
56615,,,,
529,,,,
60226,,,,
62458,,,,0.004
60426,,,,
55820,,,,
58984,,,,
59976,,,,
59977,,,,
60389,,,,
57783,,,,
57784,,,,
57785,,,,
58983,,,,
58990,,,,
57777,,,,
57779,,,,
57781,,,,
57806,,,,
60233,,,,
60386,,,,
61445,,,,
61446,,,,
61447,,,,
61448,,,,
61449,,,,
57778,,,,
57780,,,,
57782,,,,
58985,,,,
58148,,,,
58991,,,,
57816,,,,
57817,,,,
57818,,,,
57819,,,,
57820,,,,
57821,,,,
59150,,,,
58986,,,,
59939,,,,
58202,,,,
56184,28.027,0.033,"1,207.212",0.002
484,,,,
58831,,,,
7307,0.051,0.005,990.193,0.002
60490,,,,
56134,50.760,0.102,264.006,0.003
57650,,,,
62545,,,,
54936,,,,
52109,1.246,0.014,603.310,0.001
52105,,,,
54931,,,,
10597,,,,
10767,0.908,0.376,13.273,0.139
50037,,,,
10772,1.547,0.384,12.604,0.142
59249,,,,
59250,,,,
58500,,,,
482,,,,
56135,0.121,0.006,"1,361.405",0.003
57621,,,,
59235,,,,
59236,,,,
56143,0.112,0.007,"1,295.239",0.002
59877,,,,0.002
55963,0.222,0.007,"1,372.368",0.003
10881,,,,
433,,,,
57579,,,,
275,,,,
56822,,,,
50892,,,,
