,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE
124,HARBGN_7_UNITS,ngcc,SCE,109.01,10.65,10.91,11.17,44,110,4,4,2,50.18450185,7630.7,HARBOR COGEN COMBINED CYCLE PLANT,Harbor Generating Station,399
102,HENRTA_6_UNITA1,ngct,PGE_valley,49.98,7.41,7.47,7.54,18,50,1,1,3.17,21.09589041,3498.6,Henrietta Peaker Plant Unit 1,Henrietta Peaker Plant,55807
103,HENRTA_6_UNITA2,ngct,PGE_valley,49.42,7.41,7.47,7.54,18,50,1,1,3.17,20.82191781,3459.4,Henrietta Peaker Plant Unit 2,Henrietta Peaker Plant,55807
125,HIDSRT_2_UNITS,ngcc,SCE,830,7.29,7.56,7.82,332,830,4,4,2,381.5498155,58100,HIGH DESERT POWER PROJECT (AGGREGATE),High Desert Power Project,55518
77,PLMSSR_6_HISIER,ngct,PGE_valley,6,8.66,8.73,8.79,3,6,1,1,3.17,2.465753425,420,High Sierra Cogeneration Aggregate,High Sierra Cogeneration Plant,57977
73,SIERRA_1_UNITS,ngct,PGE_valley,52.43,8.85,8.91,8.98,19,53,1,1,3.17,22.19178082,3670.1,HIGH SIERRA LIMITED,High Sierra Limited,50495
190,SNCLRA_2_HOWLNG,ngct,SCE,13,8.66,8.73,8.79,5,13,1,1,3.17,5.479452055,910,"Houweling Nurseries Oxnard, Inc",Houweling Nurseries,58432
106,HUMBPP_6_UNITS,ngct,PGE_valley,97.62,7.19,7.26,7.32,35,98,1,1,3.17,41.09589041,6833.4,Humboldt Bay Generating Station 1,Humboldt Bay,246
107,HUMBPP_1_UNITS3,ngct,PGE_valley,65.08,7.19,7.26,7.32,23,66,1,1,3.17,27.39726027,4555.6,Humboldt Bay Generating Station 3,Humboldt Bay,246
216,HNTGBH_7_UNIT1,ngst,SCE,225.75,11.19,11.89,12.6,91,226,6,6,2,46.87116564,15802.5,Huntington Beach 1,AES Huntington Beach,335
217,HNTGBH_7_UNIT2,ngst,SCE,225.8,11.19,11.89,12.6,91,226,6,6,2,46.87116564,15806,Huntington Beach 2,AES Huntington Beach,335
174,INDIGO_1_UNIT1,ngct,SCE,44,11.9,11.97,12.03,16,44,1,1,3.17,18.63013699,3080,Indigo Energy 1,Indigo Generation Facility,55541
175,INDIGO_1_UNIT2,ngct,SCE,44.53,11.9,11.97,12.03,16,45,1,1,3.17,18.90410959,3117.1,Indigo Energy 2,Indigo Generation Facility,55541
176,INDIGO_1_UNIT3,ngct,SCE,43.69,11.9,11.97,12.03,16,44,1,1,3.17,18.35616438,3058.3,Indigo Energy 3,Indigo Generation Facility,55541
132,INLDEM_5_UNIT2,ngcc,SCE,366.32,5.62,5.88,6.14,147,367,1,1,2,168.2656827,25642.4,"Inland Empire Energy Center, L.L.C. Unit 2",Inland Empire Energy Center,55853
131,INLDEM_5_UNIT1,ngcc,SCE,376.2,5.62,5.88,6.14,151,377,2,2,2,172.6937269,26334,"Inland Empire Energy Center, Unit 1",Inland Empire Energy Center,55853
76,KERNFT_1_UNITS,ngct,PGE_valley,52.4,8.67,8.73,8.8,19,53,1,1,3.17,22.19178082,3668,KERN FRONT LIMITED,Kern Front Limited,50494
68,KNGCTY_6_UNITA1,ngct,PGE_valley,44.6,9.43,9.49,9.56,16,45,1,1,3.17,18.90410959,3122,King City Energy Center,King City Power Plant,10294
53,LAPLMA_2_UNIT1,ngcc,PGE_valley,259.8,6,6.26,6.52,104,260,3,3,2,119.5571956,18186,LA PALOMA UNIT 1,La Paloma Generating Plant,55151
54,LAPLMA_2_UNIT2,ngcc,PGE_valley,260.2,6,6.26,6.52,105,261,3,3,2,119.5571956,18214,LA PALOMA UNIT 2,La Paloma Generating Plant,55151
55,LAPLMA_2_UNIT3,ngcc,PGE_valley,256.15,6,6.26,6.52,103,257,3,3,2,117.7121771,17930.5,LA PALOMA UNIT 3,La Paloma Generating Plant,55151
56,LAPLMA_2_UNIT4,ngcc,PGE_valley,259.54,6,6.26,6.52,104,260,2,2,2,119.1881919,18167.8,LA PALOMA UNIT 4,La Paloma Generating Plant,55151
65,LMBEPK_2_UNITA1,ngct,PGE_valley,48,9.58,9.65,9.71,17,48,1,1,3.17,20.2739726,3360,LAMBIE ENERGY CENTER,Lambie Energy Center,55626
243,LARKSP_6_UNIT1,ngct,SDGE,46.1,11.9,11.97,12.03,22,47,1,1,3.17,19.45205479,3227,Larkspur 1,Larkspur Energy Faciity,55542
244,LARKSP_6_UNIT2,ngct,SDGE,47.98,11.9,11.97,12.03,18,48,1,1,3.17,20.2739726,3358.6,Larkspur 2,Larkspur Energy Faciity,55542
99,LIVOAK_1_UNIT1,ngct,PGE_valley,47.49,7.51,7.57,7.64,17,48,1,1,3.17,20,3324.3,LIVE OAK LIMITED,Live Oak Limited,54768
57,LODIEC_2_PL1X2,ngcc,PGE_valley,302.58,5.6,5.87,6.13,122,303,1,1,2,139.1143911,21180.6,Lodi Energy Center,Lodi Energy Center,57978
59,LODI25_2_UNIT1,ngct,PGE_valley,25.3,13.94,14.01,14.07,9,26,1,1,3.17,10.68493151,1771,LODI GAS TURBINE,Lodi,7451
67,STIGCT_2_LODI,ngct,PGE_valley,49.9,9.47,9.53,9.6,18,50,1,1,3.17,21.09589041,3493,Lodi Steam Injected Gas Turbine,Lodi Energy Center,57978
160,HINSON_6_LBECH1,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,Long Beach - Unit 1,Long Beach Generating Station,341
161,HINSON_6_LBECH2,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,Long Beach - Unit 2,Long Beach Generating Station,341
162,HINSON_6_LBECH3,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,Long Beach - Unit 3,Long Beach Generating Station,341
163,HINSON_6_LBECH4,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,Long Beach - Unit 4,Long Beach Generating Station,341
29,LECEF_1_UNITS,ngct,PGE_bay,294,11.9,11.96,12.03,103,294,1,1,3.17,123.9452055,20580,LOS ESTEROS ENERGY FACILITY (AGGREGATE),Los Esteros Critical Energy Facility,55748
