ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,NetCap,PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost
94800,Participating Unit,No,No,CCRITA_7_RPPCHF,Rancho Penasquitos Hydro Facility,5.25,SDGE,San Diego County Water Authority,WATER,HYDRO,HYDRO,SP15,SDG1,1/23/2007,,4.65,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
57400,Participating Unit,Yes,Yes,MSSION_2_QF,MISSION AREA LUMPED UNITS,50,SDGE,VARIOUS,WATER,HYDRO,VARIOUS,SP15,SDG1,1/1/1980,,19.03,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
102300,Participating Unit,No,No,LAKHDG_6_UNIT 1,Lake Hodges Pump Station 1 - Unit 1,20,SDGE,San Diego County Water Authority,WATER,PUMPED STORAGE,HYDRO,SP15,SDG1,9/8/2011,,20,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
105500,Participating Unit,No,No,LAKHDG_6_UNIT 2,Lake Hodges Pumped Storage-Unit2,20.15,SDGE,San Diego County Water Authority,WATER,PUMPED STORAGE,HYDRO,SP15,SDG1,8/27/2012,,20,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
124200,Participating Unit,No,No,ENERSJ_2_WIND,ESJ Wind Energy,155.1,SDGE,"Energia Sierra Juarez, S. de R.L. de C.V.",WIND,WIND,WIND,SP15,SDG1,,,155.1,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
92600,Participating Unit,No,No,CRSTWD_6_KUMYAY,KUMEYAAY WIND FARM,50,SDGE,Kumeyaay Wind LLC,WIND,WIND,WIND,SP15,SDG1,12/21/2005,,50,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
112500,Participating Unit,No,No,OCTILO_5_WIND,Ocotillo Wind Energy Facility,265,SDGE,Ocotillo Express LLC,WIND,WIND,WIND,SP15,SDG1,7/30/2013,,265.4,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
104800,Participating Unit,No,No,ROSMDW_2_WIND1,Pacific Wind - Phase 1,140,SDGE,"Pacific Wind, LLC",WIND,WIND,WIND,SP15,SDG1,,,140,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.91478322,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.75467476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.69147405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.83051561,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.69568743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57771277,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.64556494,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.62962913,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.83187139,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7223235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.65490941,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7223235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.3228487,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.2994965,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1881792,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1881792,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.10565175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1966605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.70746677,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4293316,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9991487,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3848397,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4444739,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.69369205,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.70403395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.99712379,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1966605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6517848,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.570994,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4701829,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.53016594,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61807375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.54184648,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75414226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.89081766,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23978884,
