a1,a2,a3,a4,Resource_ID,Name_Description,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
99200,Participating Unit,No,Yes,OGROVE_6_PL1X2,Orange Grove Energy Center,96,SDGE,"Orange Grove Energy, L.P.",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/17/2010,,100,A,,13.8123968
9900,Participating Unit,No,No,ENCINA_7_EA1,Encina Unit 1,106,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1954,,106.25,A,,13.74349525
10000,Participating Unit,No,No,ENCINA_7_EA2,Encina Unit 2,104,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1956,,110.25,A,,13.74349525
10100,Participating Unit,No,No,ENCINA_7_EA3,Encina Unit 3,110,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1958,,110.25,A,,13.74349525
10200,Participating Unit,No,No,ENCINA_7_EA4,Encina Unit 4,300,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1973,,306,A,,13.74349525
10300,Participating Unit,No,No,ENCINA_7_EA5,Encina Unit 5,330,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1978,,345.6,A,,13.74349525
93000,Participating Unit,No,Yes,PALOMR_2_PL1X3,PALOMAR ENERGY CENTER,575,SDGE,San Diego Gas & Electric,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,3/31/2006,,595,A,,11.08579554
98000,Participating Unit,No,No,OTMESA_2_PL1X3,Otay Mesa Energy Center,603.68,SDGE,"Otay Mesa Energy Center, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,10/3/2009,,669,A,,11.00844857
60500,Participating Unit,Yes,No,PTLOMA_6_NTCQF,NTC/MCRD COGENERATION,22.3,SDGE,SDG&E Exempt,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1989,,22.3,A,,10.53767547
99100,Participating Unit,No,No,ELCAJN_6_LM6K,El Cajon Energy Center,48.1,SDGE,"El Cajon Energy, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/16/2010,,49.9,A,,10.04497407
43900,Participating Unit,Yes,Yes,SAMPSN_6_KELCO1,CP Kelco Cogeneration Facility,25,SDGE,"CP Kelco U.S., Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,3/5/2014,,26.95,A,,9.929203496
89600,Participating Unit,Yes,No,NGILAA_5_SDGDYN,NORTH GILA INTERCHANGE SCHEDULE (YUMA COGENERATION ASSOCIATION),57,SDGE,San Diego Gas and Electric Company,NATURAL GAS,COMBUSTION TURBINE,DYNAMIC SCHEDULED,SP15,SDG1,3/15/1994,,56.5,C,,9.929203496
97700,Participating Unit,No,No,MRGT_6_MEF2,Miramar Energy Facility II,47.9,SDGE,SDG&E,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,8/7/2009,,49.5,A,,9.809685334
92100,Participating Unit,No,No,MRGT_6_MMAREF,MIRAMAR ENERGY FACILITY,48,SDGE,San Diego Gas & Electric,NATURAL GAS,PEAKER,PEAKER,SP15,SDG1,7/27/2005,,46.7,A,,9.809685334
137200,Participating Unit,No,No,PIOPIC_2_CTG1,Pio Pico Unit 1,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659
137300,Participating Unit,No,No,PIOPIC_2_CTG2,Pio Pico Unit 2,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659
137400,Participating Unit,No,No,PIOPIC_2_CTG3,Pio Pico Unit 3,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659
60100,Participating Unit,Yes,No,NIMTG_6_NIQF,NORTH ISLAND COGENERATION,42.7,SDGE,SDG&E Exempt,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1989,,34.5,A,,9.552117161
135400,Participating Unit,No,No,VESTAL_2_UNIT1,CALGREN-PIXLEY,11.2,SDGE,GFP Ethanol LLC,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,6/30/2016,,5,A,,9.54176644
84000,Participating Unit,No,No,LAROA1_2_UNITA1,CICLO COMBINADO MEXICALI,180,SDGE,Energia Azteca X,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,7/20/2003,,181.5,A,,9.54176644
94900,Participating Unit,No,Yes,ESCNDO_6_PL1X2,Escondido Energy Center,48.71,SDGE,"Escondido Energy Center, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,6/7/2006,,49.5,A,,9.54176644
83900,Participating Unit,No,Yes,LAROA2_2_UNITA1,CENTRAL LA ROSITA II COMBINED CYCLE (AGGREGATE),322,SDGE,Energia de Baja California,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,7/22/2003,,336.5,A,,9.248566127
84300,Participating Unit,No,Yes,TERMEX_2_PL1X3,TERMOELCTRICA DE MEXICALI (Aggregate),625,SDGE,Termoelectrica De Mexicali,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SDG1,7/30/2003,,668,A,,9.248566127
48200,Participating Unit,Yes,No,ESCO_6_GLMQF,Goal Line Cogen,49.9,SDGE,"Goal Line, L.P.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SDG1,1/1/1994,,52.2,A,,8.881998014
44800,Participating Unit,Yes,Yes,DIVSON_6_NSQF,DIVISON NAVAL STATION COGEN,47,SDGE,SDG&E Exempt,NATURAL GAS,COMBINED CYCLE,COGENERATION,SP15,SDG1,1/1/1989,,48.6,A,,8.02602874
60300,Participating Unit,Yes,No,NIMTG_6_NICOGN,NORTH ISLAND STEAM TURBINE,4.05,SDGE,SDG&E Exempt,HEAT RECOVERY,STEAM,COGENERATION,SP15,SDG1,1/1/1989,,4.05,A,,
60600,Participating Unit,Yes,No,PTLOMA_6_NTCCGN,AEI MCRD STEAM TURBINE,2.58,SDGE,SDG&E Exempt,HEAT RECOVERY,STEAM,COGENERATION,SP15,SDG1,1/1/1989,,2.58,A,,
101400,Participating Unit,No,No,CHILLS_1_SYCENG,Sycamore Energy 1,1.5,SDGE,Sycamore Energy 1 LLC,LANDFILL GAS,COMBUSTION TURBINE,BIOMASS,SP15,SDG1,5/19/2011,,1.9,A,0.308,
57300,Participating Unit,Yes,No,MSHGTS_6_MMARLF,MIRAMAR LANDFILL,5,SDGE,"MM San Diego, LLC (Formerly QFID 450)",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,5/21/2003,,6.5,A,,
94500,Participating Unit,No,Yes,OTAY_7_UNITC1,Otay 3 Landfill Generation Facility,3.3,SDGE,"Otay Landfill Gas, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,3/8/2007,,3.75,A,0.779,
117600,Participating Unit,Yes,No,OTAY_6_LNDFL5,Otay 5,1.5,SDGE,"Otay Landfill Gas, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,3/14/2014,,1.5,A,0.779,
117700,Participating Unit,Yes,No,OTAY_6_LNDFL6,Otay 6,1.5,SDGE,"Otay Landfill Gas, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,3/14/2014,,1.5,A,0.779,
62000,Participating Unit,Yes,Yes,OTAY_6_UNITB1,OTAY LANDFILL UNITS AGGREGATE,3,SDGE,"Otay Landfill Gas, LLC",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,1/1/1987,,3,A,0.779,
63800,Participating Unit,Yes,Yes,CBRLLO_6_PLSTP1,POINT LOMA WASTEWATER TREATMENT PLANT,4.83,SDGE,City of San Diego (Formerly QFID 464),LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,1/1/1985,,7.12,A,,
63600,Participating Unit,Yes,No,CPSTNO_7_PRMADS,PRIMA DESHECHA LANDFILL,6.1,SDGE,"MM Biogas Power, LLC (Formerly QF ID 448)",LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,1/1/1999,,6.1,A,0.802,
101500,Participating Unit,No,No,SMRCOS_6_LNDFIL,San Marcos Energy,1.5,SDGE,San Marcos Energy LLC,LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,5/20/2011,,1.6,A,,
90600,Participating Unit,No,No,CHILLS_7_UNITA1,SYCAMORE CANYON LANDFILL PLANT B,2,SDGE,Gas Recovery Systems,LANDFILL GAS,RECIPROCATING ENGINE,BIOMASS,SP15,SDG1,7/14/2004,,3,A,,
131600,Participating Unit,No,No,CALPSS_6_SOLAR1,Calipatria Solar Farm,19.9,SDGE,Imperial Irrigation District,SUN,PHOTO VOLTAIC,DYNAMIC SCHEDULED,SP15,IID,2/12/2016,,19.99,C,,
128700,Participating Unit,No,No,ALHMBR_1_ALHSLR,SG Alhambra,50,SDGE,Imperial Irrigation District,SUN,PHOTO VOLTAIC,DYNAMIC SCHEDULED,SP15,SDG1,8/29/2015,,50,C,,
128800,Participating Unit,No,No,ARKANS_1_ARKSLR,SG Arkansas,50,SDGE,Imperial Irrigation District,SUN,PHOTO VOLTAIC,DYNAMIC SCHEDULED,SP15,SDG1,8/29/2015,,50,C,,
128900,Participating Unit,No,No,SNORA_2_SNRSLR,SG Sorrento,50,SDGE,Imperial Irrigation District,SUN,PHOTO VOLTAIC,DYNAMIC SCHEDULED,SP15,SDG1,8/29/2015,,50,C,,
110500,Participating Unit,No,No,ARLVAL_5_SOLAR,Arlington Valley Solar Energy II,127,SDGE,"Arlington Valley Solar Energy II, LLC",SUN,PHOTO VOLTAIC,PSEUDO TIE,SP15,SDG1,10/28/2013,,127,C,,
107700,Participating Unit,No,No,BREGGO_6_SOLAR,NRG Borrego Solar One,26,SDGE,NRG Solar Borrego I LLC,SUN,PHOTO VOLTAIC,SOLAR,ZP26,SDG1,2/12/2013,,26,A,,
103500,Participating Unit,No,No,AGUCAL_5_SOLAR1,Agua Caliente Solar,290,SDGE,"Agua Caliente Solar, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,PGE3,6/10/2014,,290,A,,
110000,Participating Unit,No,No,CPVERD_2_SOLAR,Campo Verde Solar,139,SDGE,"Campo Verde Solar, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,10/22/2013,,150,A,,
119600,Participating Unit,No,No,CNTNLA_2_SOLAR2,Centinela Solar Energy 2,45.6,SDGE,"Centinela Solar Energy, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,8/15/2014,,45.6,A,,
110100,Participating Unit,No,No,CNTNLA_2_SOLAR1,Centinela Solar Energy Facility (Phase I),125,SDGE,"Centinela Solar Energy, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,7/30/2014,,127,A,,
138400,Participating Unit,No,No,VLCNTR_6_VCSLR,Cole Grade,2.33,SDGE,"NLP Valley Center Solar, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/7/2016,,2.33,A,,
121000,Participating Unit,No,No,BREGGO_6_DEGRSL,Desert Green Solar Farm,6.3,SDGE,"Desert Green Solar Farm, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,11/26/2014,,6.5,A,,
127000,Participating Unit,No,No,IVWEST_2_SOLAR1,Imperial Solar Energy Center West,150,SDGE,"CSolar IV West, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,1/21/2016,,153.6,A,,
109800,Participating Unit,No,No,CSLR4S_2_SOLAR,Imperial Valley (Csolar IV),130,SDGE,"CSOLAR IV South, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,10/11/2013,,130,A,,
136400,Participating Unit,No,No,LILIAC_6_SOLAR,Mesa Crest,3,SDGE,"NLP Granger A82, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,9/17/2016,,3,A,,
138100,Participating Unit,No,No,MSOLAR_2_SOLAR3,"Mesquite Solar 3, LLC",152,SDGE,"Mesquite Solar 3, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,,,152,A,,
115600,Participating Unit,No,No,CRELMN_6_RAMON1,Ramona 1,2,SDGE,"Sol Orchard San Diego 20, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,2,A,,
115700,Participating Unit,No,No,CRELMN_6_RAMON2,Ramona 2,5,SDGE,"Sol Orchard San Diego 21, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,5,A,,
130900,Participating Unit,No,No,ANZA_6_SOLAR1,Seville Solar One,20,SDGE,Seville Solar One LLC,SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/30/2015,,20,C,,
110200,Participating Unit,No,No,IVSLRP_2_SOLAR1,Silver Ridge Mount Signal,200,SDGE,Silver Ridge Mount Signal,SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,3/4/2014,,200,A,,
115400,Participating Unit,No,No,VLCNTR_6_VCSLR1,Valley Center 1,2.5,SDGE,"Sol Orchard San Diego 22, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,2.5,A,,
115500,Participating Unit,No,No,VLCNTR_6_VCSLR2,Valley Center 2,5,SDGE,"Sol Orchard San Diego 23, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,5,A,,
94800,Participating Unit,No,No,CCRITA_7_RPPCHF,Rancho Penasquitos Hydro Facility,5.25,SDGE,San Diego County Water Authority,WATER,HYDRO,HYDRO,SP15,SDG1,1/23/2007,,4.65,A,,
102300,Participating Unit,No,No,LAKHDG_6_UNIT 1,Lake Hodges Pump Station 1 - Unit 1,20,SDGE,San Diego County Water Authority,WATER,PUMPED STORAGE,HYDRO,SP15,SDG1,9/8/2011,,20,A,,
105500,Participating Unit,No,No,LAKHDG_6_UNIT 2,Lake Hodges Pumped Storage-Unit2,20.15,SDGE,San Diego County Water Authority,WATER,PUMPED STORAGE,HYDRO,SP15,SDG1,8/27/2012,,20,A,,
57400,Participating Unit,Yes,Yes,MSSION_2_QF,MISSION AREA LUMPED UNITS,50,SDGE,VARIOUS,WATER,VARIOUS,VARIOUS,SP15,SDG1,1/1/1980,,19.03,A,,
