ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Capacity (MW),PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost
92500,Participating Unit,No,Yes,VERNON_6_MALBRG,Malburg Generating Station,134,SCE,City of Vernon,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,VRN1,10/17/2005,,134,A,,9.248566127,7.860247574,8.121193313,8.382139053,54,134,3,3,2,166.8749274,9380
92400,Participating Unit,No,Yes,SBERDO_2_PSP3,MOUNTAINVIEW POWER PLANT POWER BLOCK 3,525,SCE,Monutainview Power Company. LLC,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,12/10/2005,,543,A,,7.217212349,5.828893795,6.089839535,6.350785275,210,525,2,2,2,653.8010214,36750
92700,Participating Unit,No,Yes,SBERDO_2_PSP4,MOUNTAINVIEW POWER PLANT POWER BLOCK 4,525,SCE,Mountainview Power Company,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,1/19/2006,,543,A,,7.217212349,5.828893795,6.089839535,6.350785275,210,525,2,2,2,653.8010214,36750
97600,Participating Unit,No,No,INLDEM_5_UNIT 1,"Inland Empire Energy Center, Unit 1",376.2,SCE,"Inland Empire Energy Center, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/29/2009,,405,A,,7.009784741,5.621466188,5.882411928,6.143357667,151,377,2,2,2,468.4951319,26334
99000,Participating Unit,No,No,INLDEM_5_UNIT 2,"Inland Empire Energy Center, L.L.C. Unit 2",366.32,SCE,"Inland Empire Energy Center, L.L.C.",NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/8/2010,,405,A,,7.009784741,5.621466188,5.882411928,6.143357667,147,367,1,1,2,456.1912194,25642.4
98900,Participating Unit,No,Yes,BUCKBL_2_PL1X3,Blythe Energy Project,493.63,SCE,"Blythe Energy, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/11/2010,,537,A,,11.29797621,9.909657655,10.1706034,10.43154913,198,494,1,1,2,614.7348537,34554.1
105700,Participating Unit,No,Yes,MRCHNT_2_PL1X3,Desert Star Energy Center,494.58,SCE,Desert Start Energy Center,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/18/2012,,506,A,,7.2271825,5.838863946,6.099809686,6.360755426,198,495,1,1,2,615.9179223,34620.6
111600,Participating Unit,No,Yes,ELSEGN_2_UN1011,El Segundo Energy Center 5/6,263,SCE,El Segundo Energy Center LLC,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/29/2013,,348,A,,10.67876999,9.290451436,9.551397175,9.812342915,106,263,1,1,2,327.5231784,18410
111400,Participating Unit,No,No,ELSEGN_2_UN2021,El Segundo Energy Center 7/8,263.68,SCE,El Segundo Energy Center LLC,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/29/2013,,348,A,,10.67876999,9.290451436,9.551397175,9.812342915,106,264,1,1,2,328.3700063,18457.6
45900,Participating Unit,Yes,No,GOLETA_6_EXGEN,"EXXON COMPANY, USA",48.2,SCE,Southern California Edison Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,8/19/1993,,49,A,,11.5,9.589111935,9.654136697,9.719161459,17,49,1,1,3.17,74.17488336,3374
96700,Participating Unit,No,No,RVSIDE_6_RERCU1,Riverside Energy Res. Ctr Unit 1,48.35,SCE,City of Riverside (MSSA),NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,RVD1,6/1/2006,,48.5,A,,10.40108807,8.490200008,8.55522477,8.620249532,17,49,1,1,3.17,74.40571806,3384.5
96800,Participating Unit,No,No,RVSIDE_6_RERCU2,Riverside Energy Res. Ctr Unit 2,48.5,SCE,City of Riverside (MSSA),NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,RVD1,6/1/2006,,48.5,A,,10.40108807,8.490200008,8.55522477,8.620249532,17,49,1,1,3.17,74.63655276,3395
42500,Participating Unit,Yes,No,MIRLOM_6_DELGEN,"CORONA ENERGY PARTNERS, LTD.",50.05,SCE,Southern California Edison Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,5/21/1988,,35,A,,10.00069727,8.089809208,8.15483397,8.219858732,18,51,1,1,3.17,77.02184465,3503.5
72200,Participating Unit,Yes,No,HOLGAT_1_BORAX,U.S. BORAX AND CHEMICAL CORP. (#1),48.2,SCE,Southern California Edison Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,6/1/1984,,22,A,,9.973782559,8.062894493,8.127919255,8.192944018,17,49,1,1,3.17,74.17488336,3374
65600,Participating Unit,Yes,No,CHINO_6_SMPPAP,AltaGas Pomona Energy Inc.,44,SCE,AltaGas Pomona Energy Inc.,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,11/18/1985,,44,A,,9.929203496,8.018315431,8.083340193,8.148364955,16,44,1,1,3.17,67.71151178,3080
38700,Participating Unit,Yes,No,LGHTHP_6_ICEGEN,CARSON COGENERATION COMPANY,48,SCE,CARSON COGENERATION COMPANY,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,12/22/1989,,48.9,A,,9.929203496,8.018315431,8.083340193,8.148364955,17,48,1,1,3.17,73.86710377,3360
45801,Participating Unit,Yes,No,ETIWND_2_UNIT1,"New-Indy Ontario, LLC",33.6,SCE,"New-Indy Ontario, LLC",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,9/1/1985,,36.6,A,,9.929203496,8.018315431,8.083340193,8.148364955,12,34,1,1,3.17,51.70697264,2352
75100,Participating Unit,Yes,No,SNCLRA_2_UNIT1,New-Indy Oxnard LLC,27.8,SCE,New-Indy Oxnard LLC,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,3/14/1986,,27.8,A,,9.929203496,8.018315431,8.083340193,8.148364955,10,28,1,1,3.17,42.78136426,1946
63700,Participating Unit,Yes,No,SNCLRA_6_PROCGN,PROCTER & GAMBLE PAPER PROD. (OXNARD II),49.5,SCE,Southern California Edison Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,11/17/1998,,46.1,A,,9.929203496,8.018315431,8.083340193,8.148364955,18,50,1,1,3.17,76.17545076,3465
52901,Participating Unit,No,No,OMAR_2_UNIT 1,KERN RIVER COGENERATION UNIT 1,78,SCE,"Chevron Power Holdings, Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,5/1/1985,,85,A,,9.345463603,7.434575538,7.4996003,7.564625062,28,78,1,1,3.17,120.0340436,5460
52902,Participating Unit,No,No,OMAR_2_UNIT 2,KERN RIVER COGENERATION UNIT 2,78.11,SCE,"Chevron Power Holdings, Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,5/1/1985,,85,A,,9.345463603,7.434575538,7.4996003,7.564625062,28,79,1,1,3.17,120.2033224,5467.7
52903,Participating Unit,No,No,OMAR_2_UNIT 3,KERN RIVER COGENERATION UNIT 3,81.41,SCE,"Chevron Power Holdings, Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,5/1/1985,,85,A,,9.345463603,7.434575538,7.4996003,7.564625062,29,82,1,1,3.17,125.2816858,5698.7
52904,Participating Unit,No,No,OMAR_2_UNIT 4,KERN RIVER COGENERATION UNIT 4,81.44,SCE,"Chevron Power Holdings, Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,5/1/1985,,85,A,,9.345463603,7.434575538,7.4996003,7.564625062,29,82,1,1,3.17,125.3278527,5700.8
70401,Participating Unit,No,No,SYCAMR_2_UNIT 1,SYCAMORE COGENERATION UNIT 1,85,SCE,"Chevron Power Holdings, Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,1/1/1987,,90,A,,9.241184963,7.330296897,7.395321659,7.460346421,30,85,1,1,3.17,130.8063296,5950
70402,Participating Unit,No,No,SYCAMR_2_UNIT 2,SYCAMORE COGENERATION UNIT 2,85,SCE,"Chevron Power Holdings, Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,1/1/1987,,90,A,,9.241184963,7.330296897,7.395321659,7.460346421,30,85,1,1,3.17,130.8063296,5950
70403,Participating Unit,No,No,SYCAMR_2_UNIT 3,SYCAMORE COGENERATION UNIT 3,85,SCE,"Chevron Power Holdings, Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,1/1/1987,,90,A,,9.241184963,7.330296897,7.395321659,7.460346421,30,85,1,1,3.17,130.8063296,5950
70404,Participating Unit,No,No,SYCAMR_2_UNIT 4,SYCAMORE COGENERATION UNIT 4,85,SCE,"Chevron Power Holdings, Inc.",NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,1/1/1987,,90,A,,9.241184963,7.330296897,7.395321659,7.460346421,30,85,1,1,3.17,130.8063296,5950
98600,Participating Unit,Yes,Yes,TENGEN_2_PL1X2,Berry Cogen 42,40.2,SCE,Berry Petroleum Co,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,3/6/1990,,43.52,A,,9.166630918,7.255742853,7.320767615,7.385792377,15,41,1,1,3.17,61.8636994,2814
45100,Participating Unit,Yes,No,SNCLRA_6_OXGEN,"E. F. OXNARD, INCORPORATED",48.9,SCE,Southern California Edison Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,4/13/1990,,47.7,A,,9.138368149,7.227480083,7.292504845,7.357529607,18,49,1,1,3.17,75.25211196,3423
60900,Participating Unit,Yes,No,CHINO_6_CIMGEN,O.L.S. ENERGY COMPANY- CHINO-MENS INST.,31.6,SCE,Southern California Edison Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,12/24/1987,,27.6,A,,8.845058893,6.934170827,6.999195589,7.064220351,12,32,1,1,3.17,48.62917665,2212
12200,Participating Unit,Yes,Yes,GOLETA_6_GAVOTA,GAVIOTA OIL HEATING FACILITY,9.9,SCE,POINT ARGUELLO PIPELINE COMPANY,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,SP15,SCE1,1/1/1987,,10.5,A,,7.630406579,5.719518513,5.784543275,5.849568038,4,10,1,1,3.17,15.23509015,693
20800,Participating Unit,No,No,MNDALY_7_UNIT 3,Mandalay 3 GT,130,SCE,"RRI Energy Mandalay, Inc.",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,,,130,A,,30.24225083,28.33136277,28.39638753,28.46141229,46,130,1,1,3.17,200.0567394,9100
95000,Participating Unit,No,No,HINSON_6_LBECH1,Long Beach - Unit 1,65,SCE,Long Beach Generation LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/1/2007,,70,A,,16.67333813,14.76245006,14.82747482,14.89249959,23,65,1,1,3.17,100.0283697,4550
95100,Participating Unit,No,No,HINSON_6_LBECH2,Long Beach - Unit 2,65,SCE,Long Beach Generation LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/1/2007,,70,A,,16.67333813,14.76245006,14.82747482,14.89249959,23,65,1,1,3.17,100.0283697,4550
95200,Participating Unit,No,No,HINSON_6_LBECH3,Long Beach - Unit 3,65,SCE,Long Beach Generation LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/1/2007,,70,A,,16.67333813,14.76245006,14.82747482,14.89249959,23,65,1,1,3.17,100.0283697,4550
95300,Participating Unit,No,No,HINSON_6_LBECH4,Long Beach - Unit 4,65,SCE,Long Beach Generation LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/1/2007,,70,A,,16.67333813,14.76245006,14.82747482,14.89249959,23,65,1,1,3.17,100.0283697,4550
8400,Participating Unit,No,Yes,DREWS_6_PL1X4,DREWS (AGGREGATE),41.4,SCE,"Colton Power, LP",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,8/14/2001,,43,A,,15.58430718,13.67341911,13.73844388,13.80346864,15,42,1,1,3.17,63.710377,2898
4900,Participating Unit,No,Yes,CENTRY_6_PL1X4,CENTURY (AGGREGATE),41.4,SCE,"Colton Power, LP",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/17/2001,,43,A,,15.07254902,13.16166095,13.22668572,13.29171048,15,42,1,1,3.17,63.710377,2898
88800,Participating Unit,No,No,VERNON_6_GONZL1,H. GONZALES GAS TURBINE 1,5.75,SCE,City of Vernon,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,VRN1,,,5.75,A,,14.61401952,12.70313146,12.76815622,12.83318098,3,6,1,1,3.17,8.848663472,402.5
88900,Participating Unit,No,No,VERNON_6_GONZL2,H. GONZALES GAS TURBINE 2,5.75,SCE,City of Vernon,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,VRN1,,,5.75,A,,14.61401952,12.70313146,12.76815622,12.83318098,3,6,1,1,3.17,8.848663472,402.5
80700,Participating Unit,No,Yes,RVSIDE_6_SPRING,Springs Generation Project,36,SCE,City of Riverside (MSSA),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,6/13/2002,,38,A,,14.19217082,12.28128275,12.34630752,12.41133228,13,36,1,1,3.17,55.40032782,2520
83400,Participating Unit,No,No,COLTON_6_AGUAM1,AGUA MANSA GENERATING FACILITY,43,SCE,City of Colton,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,6/27/2003,,43,A,,13.8123968,11.90150874,11.9665335,12.03155826,16,43,1,1,3.17,66.17261379,3010
1500,Participating Unit,No,No,ANAHM_7_CT,ANAHEIM COMBUSTION TURBINE,42.81,SCE,City of Anaheim (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,ANA1,1/1/1990,,49.2,A,,13.8123968,11.90150874,11.9665335,12.03155826,15,43,1,1,3.17,65.88022317,2996.7
95500,Participating Unit,No,Yes,BARRE_6_PEAKER,Barre Peaker,47,SCE,SCE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/20/2007,,49,A,,13.8123968,11.90150874,11.9665335,12.03155826,17,47,1,1,3.17,72.32820577,3290
95700,Participating Unit,No,No,CENTER_6_PEAKER,Center Peaker,47,SCE,SCE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/20/2007,,49,A,,13.8123968,11.90150874,11.9665335,12.03155826,17,47,1,1,3.17,72.32820577,3290
95400,Participating Unit,No,No,ETIWND_6_GRPLND,Grapeland Peaker,46,SCE,SCE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/20/2007,,49,A,,13.8123968,11.90150874,11.9665335,12.03155826,17,46,1,1,3.17,70.78930777,3220
17000,Participating Unit,No,No,INDIGO_1_UNIT 1,Indigo Energy 1,44,SCE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/19/2001,,45,A,,13.8123968,11.90150874,11.9665335,12.03155826,16,44,1,1,3.17,67.71151178,3080
17100,Participating Unit,No,No,INDIGO_1_UNIT 2,Indigo Energy 2,44.53,SCE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/19/2001,,45,A,,13.8123968,11.90150874,11.9665335,12.03155826,16,45,1,1,3.17,68.52712772,3117.1
17200,Participating Unit,No,No,INDIGO_1_UNIT 3,Indigo Energy 3,43.69,SCE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/19/2001,,45,A,,13.8123968,11.90150874,11.9665335,12.03155826,16,44,1,1,3.17,67.23445341,3058.3
106700,Participating Unit,No,No,MNDALY_6_MCGRTH,McGrath Beach Peaker,47.2,SCE,Southern California edison,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,11/1/2012,,47.2,A,,13.8123968,11.90150874,11.9665335,12.03155826,17,48,1,1,3.17,72.63598537,3304
9700,Participating Unit,No,No,GOLETA_6_ELLWOD,Ellwood Generating Station,54,SCE,"RRI Energy Coolwater, Inc.",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,,,56,A,,13.4427907,11.53190263,11.59692739,11.66195216,19,54,1,1,3.17,83.10049174,3780
101000,Participating Unit,No,No,RVSIDE_2_RERCU3,Riverside Energy Resource Center (RERC) Unit 3,49,SCE,City of Riverside (MSSA),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,RVD1,4/1/2011,,48.5,A,,10.40108807,8.490200008,8.55522477,8.620249532,18,49,1,1,3.17,75.40600176,3430
101100,Participating Unit,No,No,RVSIDE_2_RERCU4,Riverside Energy Resource Center (RERC) Unit 4,49,SCE,City of Riverside (MSSA),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,RVD1,4/1/2011,,48.5,A,,10.40108807,8.490200008,8.55522477,8.620249532,18,49,1,1,3.17,75.40600176,3430
102500,Participating Unit,No,No,ANAHM_2_CANYN1,Canyon Power Plant Unit 1,49.4,SCE,City of Anaheim (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/16/2011,,49.4,A,,10.2605625,8.349674434,8.414699196,8.479723958,18,50,1,1,3.17,76.02156096,3458
102600,Participating Unit,No,No,ANAHM_2_CANYN2,Canyon Power Plant Unit 2,49.4,SCE,City of Anaheim (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/16/2011,,49.4,A,,10.2605625,8.349674434,8.414699196,8.479723958,18,50,1,1,3.17,76.02156096,3458
101900,Participating Unit,No,No,ANAHM_2_CANYN3,Canyon Power Plant Unit 3,49.4,SCE,City of Anaheim (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,ANA1,7/30/2011,,49.4,A,,10.2605625,8.349674434,8.414699196,8.479723958,18,50,1,1,3.17,76.02156096,3458
102000,Participating Unit,No,No,ANAHM_2_CANYN4,Canyon Power Plant Unit 4,49.4,SCE,City of Anaheim (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,ANA1,7/30/2011,,49.4,A,,10.2605625,8.349674434,8.414699196,8.479723958,18,50,1,1,3.17,76.02156096,3458
14100,Participating Unit,No,No,GLNARM_7_UNIT 1,Glen Arm Power Plant 1,22.07,SCE,City of Pasadena,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,PAS1,1/1/1976,,30.58,A,,9.973454697,8.062566632,8.127591394,8.192616156,8,23,1,1,3.17,33.96347875,1544.9
14200,Participating Unit,No,No,GLNARM_7_UNIT 2,Glen Arm Power Plant 2,22.3,SCE,City of Pasadena,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,PAS1,1/1/1976,,30.58,A,,9.973454697,8.062566632,8.127591394,8.192616156,8,23,1,1,3.17,34.31742529,1561
89000,Participating Unit,No,No,GLNARM_7_UNIT 3,Glen Arm Power Plant 3,44.83,SCE,City of Pasadena,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,PAS1,1/8/2004,,47.3,A,,9.973454697,8.062566632,8.127591394,8.192616156,16,45,1,1,3.17,68.98879712,3138.1
89300,Participating Unit,No,No,GLNARM_7_UNIT 4,Glen Arm Power Plant 4,42.42,SCE,City of Pasadena,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,PAS1,1/8/2004,,47.3,A,,9.973454697,8.062566632,8.127591394,8.192616156,15,43,1,1,3.17,65.28005295,2969.4
95600,Participating Unit,No,Yes,MIRLOM_6_PEAKER,Mira Loma Peaker,46,SCE,SCE,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SCE1,9/20/2007,,49,A,,9.509785862,7.598897797,7.663922559,7.728947321,17,46,1,1,3.17,70.78930777,3220
119700,Participating Unit,Yes,No,SNCLRA_2_HOWLNG,"Houweling Nurseries Oxnard, Inc",13,SCE,"Houweling Nurseries Oxnard, Inc",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,6/14/2013,,13.2,A,,10.575,8.664111935,8.729136697,8.794161459,5,13,1,1,3.17,20.00567394,910
109201,Participating Unit,No,No,SENTNL_2_CTG1,CPV Sentinel Unit 1,92.09,SCE,"CPV Sentinel, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,5/6/2013,,106.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,33,93,1,1,3.17,141.7171164,6446.3
109202,Participating Unit,No,No,SENTNL_2_CTG2,CPV Sentinel Unit 2,92.4,SCE,"CPV Sentinel, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,5/6/2013,,106.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,33,93,1,1,3.17,142.1941747,6468
109203,Participating Unit,No,No,SENTNL_2_CTG3,CPV Sentinel Unit 3,92.36,SCE,"CPV Sentinel, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,5/6/2013,,106.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,33,93,1,1,3.17,142.1326188,6465.2
109204,Participating Unit,No,No,SENTNL_2_CTG4,CPV Sentinel Unit 4,91.98,SCE,"CPV Sentinel, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,5/6/2013,,106.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,33,92,1,1,3.17,141.5478376,6438.6
109205,Participating Unit,No,No,SENTNL_2_CTG5,CPV Sentinel Unit 5,91.83,SCE,"CPV Sentinel, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,5/6/2013,,106.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,33,92,1,1,3.17,141.3170029,6428.1
109206,Participating Unit,No,No,SENTNL_2_CTG6,CPV Sentinel Unit 6,92.16,SCE,"CPV Sentinel, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,5/6/2013,,106.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,33,93,1,1,3.17,141.8248392,6451.2
109207,Participating Unit,No,No,SENTNL_2_CTG7,CPV Sentinel Unit 7,91.84,SCE,"CPV Sentinel, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,5/6/2013,,106.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,33,92,1,1,3.17,141.3323919,6428.8
109208,Participating Unit,No,No,SENTNL_2_CTG8,CPV Sentinel Unit 8,91.56,SCE,"CPV Sentinel, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,5/6/2013,,106.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,33,92,1,1,3.17,140.9015004,6409.2
107600,Participating Unit,No,No,VESTAL_2_WELLHD,Wellhead Power Delano,49,SCE,"Wellhead Power Delano, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,1/16/2013,,49,A,,9.54176644,7.630878375,7.695903137,7.760927899,18,49,1,1,3.17,75.40600176,3430
108600,Participating Unit,No,No,WALCRK_2_CTG1,Walnut Creek Energy Park Unit 1,96.43,SCE,"Walnut Creek Energy, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,3/21/2013,,100.1,A,,9.285044686,7.37415662,7.439181382,7.504206145,34,97,1,1,3.17,148.3959337,6750.1
108700,Participating Unit,No,No,WALCRK_2_CTG2,Walnut Creek Energy Park Unit 2,96.91,SCE,"Walnut Creek Energy, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,3/21/2013,,100.1,A,,9.285044686,7.37415662,7.439181382,7.504206145,34,97,1,1,3.17,149.1346047,6783.7
