,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
62,8054,ID,Chester Diversion Hydroelectric Project,56893,3,0,OP,HY,WAT,1.2,0.211,2221,1082.333,Distributed from 923 Generation And Fuel,2014,,BPAT,Fall River Rural Elec Coop Inc,44.018333,-111.583611,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
63,8055,ID,City Power Plant,841,3,0,OP,HY,WAT,8,0.63,44131,21505,Distributed from 923 Generation And Fuel,1982,,PACE,City of Idaho Falls - (ID),43.491398,-112.04541,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
64,8056,ID,Clear Lake,814,1,0,OP,HY,WAT,2.5,0.755,16538,8059,Distributed from 923 Generation And Fuel,1937,,IPCO,Idaho Power Co,42.66701,-114.78012,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
65,8059,ID,Clearwater Paper IPP Lewiston,50637,GEN3,2,OP,ST,BLQ,28.8,0.85,214567,70571,EIA-923 Generator File,1981,,AVA,Avista Corp,46.423056,-116.976389,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8
66,8060,ID,Clearwater Paper IPP Lewiston,50637,GEN4,2,OP,ST,BLQ,65,0.355,202344,82816,EIA-923 Generator File,1991,,AVA,Avista Corp,46.423056,-116.976389,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
67,8061,ID,Cold Springs Windfarm,57431,1,0,OP,WT,WND,23,0.266,53616,17933,Distributed from 923 Generation And Fuel,2012,,IPCO,Idaho Power Co,43.028056,-115.400469,Idaho,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
68,8063,ID,Crystal Springs,10806,GEN1,0,OP,HY,WAT,2.3,0.546,11001,5361,Distributed from 923 Generation And Fuel,1988,,IPCO,Idaho Power Co,42.622513,-114.50093,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0
69,8064,ID,Desert Meadow Windfarm,57430,1,0,OP,WT,WND,23,0.307,61814,20675,Distributed from 923 Generation And Fuel,2012,,IPCO,Idaho Power Co,43.056622,-115.452025,Idaho,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
70,8065,ID,Dietrich Drop,10807,GEN1,0,OP,HY,WAT,4.8,0.332,13946,6796,Distributed from 923 Generation And Fuel,1990,,IPCO,Idaho Power Co,42.836046,-114.267952,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0
71,8066,ID,Double A Digester,57425,1,0,OP,IC,OBG,1.5,0.652,8565,3596,Distributed from 923 Generation And Fuel,2011,,IPCO,Idaho Power Co,42.853942,-114.471911,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
72,8067,ID,Double A Digester,57425,2,0,OP,IC,OBG,1.5,0.652,8565,3596,Distributed from 923 Generation And Fuel,2012,,IPCO,Idaho Power Co,42.853942,-114.471911,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
73,8068,ID,Double A Digester,57425,3,0,OP,IC,OBG,1.5,0.652,8565,3596,Distributed from 923 Generation And Fuel,2012,,IPCO,Idaho Power Co,42.853942,-114.471911,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
74,8069,ID,Dry Creek Project,54394,GEN1,0,OP,HY,WAT,3.6,0.354,11163,5440,Distributed from 923 Generation And Fuel,1987,,PACE,PacifiCorp,44.027444,-112.719439,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
75,8071,ID,Dworshak,840,2,0,OP,HY,WAT,90,0.483,381079.35,223503.075,Distributed from 923 Generation And Fuel,1975,,BPAT,Bonneville Power Administration,46.5143,-116.2977,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0
76,8073,ID,El Dorado Hydro Elk Creek,50891,GEN1,0,OP,HY,WAT,2.6,0.095,2159,1052,Distributed from 923 Generation And Fuel,1986,,IPCO,Idaho Power Co,45.217784,-116.31577,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0
77,8074,ID,Evander Andrews Power Complex,7953,1,0,OP,GT,NG,179.1,0.083,130971.09,72543.103,Distributed from 923 Generation And Fuel,2008,,IPCO,Idaho Power Co,43.179176,-115.734315,Idaho,0.0,179.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,8075,ID,Evander Andrews Power Complex,7953,2,0,OP,GT,NG,45.9,0.083,33565.455,18591.449,Distributed from 923 Generation And Fuel,2001,,IPCO,Idaho Power Co,43.179176,-115.734315,Idaho,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,8076,ID,Evander Andrews Power Complex,7953,3,0,OP,GT,NG,45.9,0.083,33565.455,18591.449,Distributed from 923 Generation And Fuel,2001,,IPCO,Idaho Power Co,43.179176,-115.734315,Idaho,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,8077,ID,Falls River Hydro,54668,1,0,OP,HY,WAT,4.5,0.479,18875.5,9198,Distributed from 923 Generation And Fuel,1993,,BPAT,Fall River Rural Elec Coop Inc,44.0597,-111.3535,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
81,8078,ID,Falls River Hydro,54668,2,0,OP,HY,WAT,4.5,0.479,18875.5,9198,Distributed from 923 Generation And Fuel,1993,,BPAT,Fall River Rural Elec Coop Inc,44.0597,-111.3535,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
82,8079,ID,Fargo Drop,58384,GEN1,0,OP,HY,WAT,1.1,0.503,4847,2362,Distributed from 923 Generation And Fuel,2013,,IPCO,Idaho Power Co,43.625,-116.899722,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0
83,8080,ID,Felt,6359,1,0,OP,HY,WAT,2.8,0.419,10277.623,5008.348,Distributed from 923 Generation And Fuel,1986,,PACE,PacifiCorp,43.913476,-111.283319,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0
84,8081,ID,Felt,6359,2,0,OP,HY,WAT,2.8,0.419,10277.623,5008.348,Distributed from 923 Generation And Fuel,1986,,PACE,PacifiCorp,43.913476,-111.283319,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0
85,8082,ID,Felt,6359,4,0,OP,HY,WAT,0.6,0.419,2202.348,1073.217,Distributed from 923 Generation And Fuel,1946,,PACE,PacifiCorp,43.913476,-111.283319,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
