,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
207,1524,AZ,Red Hawk,55455,CT1B,0,OP,CT,NG,181.6,0.515,819313,407646,EIA-923 Generator File,2002,,SRP,Salt River Project,33.334562,-112.840641,Arizona,181.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,1525,AZ,Red Hawk,55455,CT2A,0,OP,CT,NG,181.6,0.479,762627,390311,EIA-923 Generator File,2002,,SRP,Salt River Project,33.334562,-112.840641,Arizona,181.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,1526,AZ,Red Hawk,55455,CT2B,0,OP,CT,NG,181.6,0.489,777971,380800,EIA-923 Generator File,2002,,SRP,Salt River Project,33.334562,-112.840641,Arizona,181.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,1527,AZ,Red Hawk,55455,ST1,2,OP,CA,NG,204,0.566,1010640,500825,EIA-923 Generator File,2002,,SRP,Salt River Project,33.334562,-112.840641,Arizona,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,1528,AZ,Red Hawk,55455,ST2,2,OP,CA,NG,204,0.543,970298,490024,EIA-923 Generator File,2002,,SRP,Salt River Project,33.334562,-112.840641,Arizona,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,1529,AZ,Red Horse 2,58833,RH2S,0,OP,PV,SUN,51,0.345,154324,74155,Distributed from 923 Generation And Fuel,2015,,TEPC,Tucson Electric Power Co,32.286111,-110.088056,Arizona,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
213,1530,AZ,Red Horse 2,58833,RH2W,0,OP,WT,WND,30,0.25,65784,21439,Distributed from 923 Generation And Fuel,2015,,TEPC,Tucson Electric Power Co,32.286111,-110.088056,Arizona,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
214,1531,AZ,Red Horse III,60285,RH3,0,OP,PV,SUN,30,0.146,38278,22299,Distributed from 923 Generation And Fuel,2016,,TEPC,Tucson Electric Power Co,32.13597,-110.05129,Arizona,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
215,1533,AZ,Rio Rico Solar,59044,RRSF,0,OP,PV,SUN,6,0.227,11951,5893,Distributed from 923 Generation And Fuel,2014,,TEPC,"UNS Electric, Inc",31.5,-111.008056,Arizona,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
216,1534,AZ,Roger Road WWTP,57524,1,0,OP,PV,SUN,1.1,0.188,1810,893,Distributed from 923 Generation And Fuel,2010,,TEPC,Tucson Electric Power Co,32.2894,-111.0331,Arizona,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0
