Name,Bus ID,Bus Name,Long Name,ServiceStatus,Commission Date,Retirement Date,DevStatus,Area Name,Region Name,State
MoyieSprings4,1000,Bus1000,Moyie Springs-4,#FALSE#,#1982-02-01#,#2050-12-31#,Existing,PNM,SW_PNM,ID
Nooksack,1000,Bus1000,Nooksack-1,#FALSE#,#1905-12-01#,#2030-04-15#,Existing,PNM,SW_PNM,WA
OutbackChristms,1000,Bus1000,Outback Solar At Christmas Valley-PV1,#FALSE#,#2012-10-12#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Port_Townsend4,1000,Bus1000,Port Townsend Paper-GEN4,#FALSE#,#1929-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Port_Townsend6,1000,Bus1000,Port Townsend Paper-GEN6,#FALSE#,#1986-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
PortTownsend,1000,Bus1000,Port Townsend Paper-HDRO,#FALSE#,#1982-08-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Radar_Ridge,1000,Bus1000,Radar Ridge-WT(1),#FALSE#,#2017-12-31#,#2050-12-31#,Future-Planned,PNM,SW_PNM,WA
ReardanTwin,1000,Bus1000,Reardan Twin Buttes-1,#FALSE#,#2016-12-01#,#2030-04-15#,Pre-Const Reg Approval-Review,PNM,SW_PNM,WA
Riverbend_LF1,1000,Bus1000,Riverbend Landfill-GEN1,#FALSE#,#2010-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Riverbend_LF2,1000,Bus1000,Riverbend Landfill-GEN2,#FALSE#,#2010-01-02#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Riverbend_LF3,1000,Bus1000,Riverbend Landfill-GEN3,#FALSE#,#2010-01-03#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Riverbend_LF4,1000,Bus1000,Riverbend Landfill-GEN4,#FALSE#,#2010-01-04#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Riverbend_LF5,1000,Bus1000,Riverbend Landfill-GEN5,#FALSE#,#2010-01-05#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Riverbend_LF6,1000,Bus1000,Riverbend Landfill-GEN6,#FALSE#,#2010-01-06#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Rocky_Brook,1000,Bus1000,Rocky Brook Hydroelectric-GEN1,#FALSE#,#1985-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Roseburg_Forest,1000,Bus1000,Roseburg Forest Products-1,#FALSE#,#2012-07-01#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,OR
School_Section,1000,Bus1000,School Section-WT (1),#FALSE#,#2014-12-01#,#2050-04-15#,Future-Planned,PNM,SW_PNM,WA
Sheep_Creek1,1000,Bus1000,Sheep Creek Hydro-TB1,#FALSE#,#1984-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Skookumchuck1,1000,Bus1000,Skookumchuck-1,#FALSE#,#1990-09-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
SmithCreek,1000,Bus1000,Smith Creek,#FALSE#,#2010-04-15#,#2050-12-31#,Existing,PNM,SW_PNM,WA
SwaukValleyRanchWind,1000,Bus1000,Swauk Valley Ranch Wind,#FALSE#,#2013-03-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
SygitowiczCreek,1000,Bus1000,Sygitowicz Creek,#FALSE#,#1986-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
TesoroICs,1000,Bus1000,Tesoro ICs,#FALSE#,#2002-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Weeks_Falls,1000,Bus1000,Weeks Falls-GEN1,#FALSE#,#1990-06-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Wilkins_Wind,1000,Bus1000,Wilkins Wind-WT (10 x 2.5),#FALSE#,#2016-12-01#,#2050-04-15#,Pre-Const Reg Approval-Review,PNM,SW_PNM,WA
YakamaDrop2,1000,Bus1000,Yakama Drop 2-1,#FALSE#,#1942-08-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
YakamaDrop3-1,1000,Bus1000,Yakama Drop 3-1,#FALSE#,#1931-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
