,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,num
101,CHALK_1_UNIT,ngct,PGE_valley,47.49,7.41,7.48,7.54,17,48,1,1,3.17,20,3324.3,CHALK CLIFF LIMITED,15
121,CHEVMN_2_UNITS,ngcc,SCE,124.87,6.64,6.9,7.16,50,125,5,5,2,57.56457565,8740.9,Chevron CIC,16
8,STOILS_1_UNITS,ngcc,PGE_bay,113.9,7.12,7.38,7.64,46,114,5,5,2,52.32472325,7973,CHEVRON RICHMOND REFINERY,17
79,CHEVCO_6_UNIT1,ngct,PGE_valley,19,8.02,8.08,8.15,7,19,1,1,3.17,7.945205479,1330,CHEVRON USA (COALINGA),18
80,CHEVCY_1_UNIT,ngct,PGE_valley,24.3,8.02,8.08,8.15,9,25,1,1,3.17,10.1369863,1701,CHEVRON USA (CYMRIC),19
81,DISCOV_1_CHEVRN,ngct,PGE_valley,56.2,8.02,8.08,8.15,20,57,1,1,3.17,23.56164384,3934,CHEVRON USA (EASTRIDGE),20
82,CHEVCD_6_UNIT,ngct,PGE_valley,11.5,8.02,8.08,8.15,5,12,1,1,3.17,4.931506849,805,CHEVRON USA (TAFT/CADET),21
74,CHWCHL_1_UNIT,ngct,PGE_valley,48.6,8.71,8.77,8.84,18,49,1,1,3.17,20.54794521,3402,CHOW 2 PEAKER PLANT,22
253,LAROA1_2_UNITA1,ngct,SDGE,180,7.63,7.7,7.76,17,180,1,1,3.17,75.89041096,12600,CICLO COMBINADO MEXICALI,23
48,CLRMTK_1_QF,ngcc,PGE_valley,1.25,7.12,7.38,7.64,1,2,6,6,2,0.73800738,87.5,CLAIRMONT AREA LUMPED QF UNITS,24
126,CORONS_6_CLRWTR,ngcc,SCE,28,7.49,7.75,8.02,12,28,4,4,2,12.91512915,1960,Clearwater Power Plant,25
112,COLGA1_6_SHELLW,ngct,PGE_valley,52.9,6.23,6.29,6.36,19,53,1,1,3.17,22.19178082,3703,COALINGA COGENERATION,26
30,PALALT_7_COBUG,ngct,PGE_bay,4.5,11.9,11.96,12.03,2,5,1,1,3.17,1.890410959,315,Cooperatively Owned Back Up Generator,27
140,MIRLOM_6_DELGEN,ngct,SCE,50.05,8.09,8.15,8.22,18,51,1,1,3.17,21.09589041,3503.5,"CORONA ENERGY PARTNERS, LTD.",28
122,SAUGUS_6_PTCHGN,ngcc,SCE,29.8,8.12,8.38,8.64,12,30,5,5,2,13.65313653,2086,COUNTY OF LOS ANGELES (PITCHESS HONOR RANCH),29
232,SAMPSN_6_KELCO1,ngct,SDGE,25,8.02,8.08,8.15,202,25,1,1,3.17,10.4109589,1750,CP Kelco Cogeneration Facility,30
2,CROKET_7_UNIT,ngcc,PGE_bay,240,4.36,4.62,4.88,96,240,5,5,2,110.2583026,16800,CROCKETT COGEN,31
110,CASTVL_2_FCELL,ngct,PGE_valley,1.4,6.49,6.55,6.62,1,2,1,1,3.17,0.547945205,98,CSUEB Fuel Cell Station,32
134,MRCHNT_2_PL1X3,ngcc,SCE,494.58,5.84,6.1,6.36,198,495,1,1,2,227.3062731,34620.6,Desert Star Energy Center,33
226,DIVSON_6_NSQF,ngcc,SDGE,47,6.64,6.9,7.16,19,47,6,6,2,21.77121771,3290,DIVISON NAVAL STATION COGEN,34
75,DOUBLC_1_UNITS,ngct,PGE_valley,52.23,8.68,8.75,8.81,19,53,1,1,3.17,21.91780822,3656.1,DOUBLE C LIMITED,35
164,DREWS_6_PL1X4,ngct,SCE,41.4,13.67,13.74,13.8,15,42,1,1,3.17,17.53424658,2898,DREWS (AGGREGATE),36
156,SNCLRA_6_OXGEN,ngct,SCE,48.9,7.23,7.29,7.36,18,49,1,1,3.17,20.54794521,3423,"E. F. OXNARD, INCORPORATED",37
236,ELCAJN_7_GT1,ngct,SDGE,16.36,17.15,17.22,17.28,9,17,1,1,3.17,6.849315068,1145.2,El Cajon GT,38
43,ELKHIL_2_PL1X3,ngcc,PGE_valley,551.7,8.77,9.03,9.3,221,552,2,2,2,253.5055351,38619,ELK HILLS GENERATING PROJECT (AGGREGATE),39
178,GOLETA_6_ELLWOD,ngct,SCE,54,11.53,11.6,11.66,19,54,1,1,3.17,22.73972603,3780,Ellwood Generating Station,40
237,ENCINA_7_GT1,ngct,SDGE,14.5,16.27,16.34,16.4,15,15,1,1,3.17,6.02739726,1015,Encina GT 1,41
255,ENCINA_7_EA1,ngst,SDGE,106,11.93,12.64,13.34,43,106,6,6,2,21.96319018,7420,Encina Unit 1,42
256,ENCINA_7_EA2,ngst,SDGE,104,11.93,12.64,13.34,42,104,6,6,2,21.59509202,7280,Encina Unit 2,43
257,ENCINA_7_EA3,ngst,SDGE,110,11.93,12.64,13.34,44,110,6,6,2,22.82208589,7700,Encina Unit 3,44
258,ENCINA_7_EA4,ngst,SDGE,300,11.93,12.64,13.34,120,300,6,6,2,62.33128834,21000,Encina Unit 4,45
259,ENCINA_7_EA5,ngst,SDGE,330,11.93,12.64,13.34,132,330,6,6,2,68.46625767,23100,Encina Unit 5,46
242,ESCNDO_6_UNITB1,ngct,SDGE,48.04,11.9,11.97,12.03,13,49,1,1,3.17,20.2739726,3362.8,Enterprise,47
137,GOLETA_6_EXGEN,ngct,SCE,48.2,9.59,9.65,9.72,17,49,1,1,3.17,20.2739726,3374,"EXXON COMPANY, USA",48
63,FELLOW_7_QFUNTS,ngct,PGE_valley,10.5,11.09,11.15,11.22,4,11,1,1,3.17,4.383561644,735,FELLOW QF UNIT AGGREGATE,49
117,LAPAC_6_UNIT,ngst,PGE_valley,20,13.79,14.49,15.2,7,20,1,1,3.17,4.171779141,1400,Freshwater Tissue Company,50
113,FRITO_1_LAY,ngct,PGE_valley,6,5.86,5.93,5.99,3,6,1,1,3.17,2.465753425,420,FRITO-LAY,51
158,GOLETA_6_GAVOTA,ngct,SCE,9.9,5.72,5.78,5.85,4,10,1,1,3.17,4.109589041,693,GAVIOTA OIL HEATING FACILITY,52
32,CSCGNR_1_UNIT_1,ngct,PGE_bay,24.75,30.84,30.91,30.97,9,25,1,1,3.17,10.4109589,1732.5,Gianera GT 1,53
33,CSCGNR_1_UNIT_2,ngct,PGE_bay,24.75,30.84,30.91,30.97,9,25,1,1,3.17,10.4109589,1732.5,Gianera GT 2,54
5,GILROY_1_UNIT,ngcc,PGE_bay,120,6.63,6.89,7.15,48,120,6,6,2,55.12915129,8400,GILROY COGEN,55
28,GILRPP_1_PL1X2,ngct,PGE_bay,95.4,11.9,11.96,12.03,34,96,1,1,3.17,40.21917808,6678,GILROY ENERGY CENTER UNITS 1 & 2 (AGGREGATE),56
7,CONTAN_1_UNIT,ngcc,PGE_bay,27.7,6.63,6.89,7.15,12,28,1,1,2,12.69372694,1939,Graphic Packaging Cogen,57
60,GWFPWR_1_UNITS,ngct,PGE_valley,98.46,11.9,11.97,12.03,35,99,1,1,3.17,41.64383562,6892.2,GWF HEP PEAKER PLANT (AGGREGATE),58
166,VERNON_6_GONZL1,ngct,SCE,5.75,12.7,12.77,12.83,3,6,1,1,3.17,2.465753425,402.5,H. GONZALES GAS TURBINE 1,59
167,VERNON_6_GONZL2,ngct,SCE,5.75,12.7,12.77,12.83,3,6,1,1,3.17,2.465753425,402.5,H. GONZALES GAS TURBINE 2,60
77,PLMSSR_6_HISIER,ngct,PGE_valley,6,8.66,8.73,8.79,3,6,1,1,3.17,2.465753425,420,High Sierra Cogeneration Aggregate,61
73,SIERRA_1_UNITS,ngct,PGE_valley,52.43,8.85,8.91,8.98,19,53,1,1,3.17,22.19178082,3670.1,HIGH SIERRA LIMITED,62
190,SNCLRA_2_HOWLNG,ngct,SCE,13,8.66,8.73,8.79,5,13,1,1,3.17,5.479452055,910,"Houweling Nurseries Oxnard, Inc",63
239,KEARNY_7_KY3,ngct,SDGE,61,14.23,14.3,14.36,13,61,1,1,3.17,25.75342466,4270,KEARNY KY3 (AGGREGATE),64
76,KERNFT_1_UNITS,ngct,PGE_valley,52.4,8.67,8.73,8.8,19,53,1,1,3.17,22.19178082,3668,KERN FRONT LIMITED,65
147,OMAR_2_UNIT1,ngct,SCE,78,7.43,7.5,7.56,28,78,1,1,3.17,32.87671233,5460,KERN RIVER COGENERATION UNIT 1,66
148,OMAR_2_UNIT2,ngct,SCE,78.11,7.43,7.5,7.56,28,79,1,1,3.17,32.87671233,5467.7,KERN RIVER COGENERATION UNIT 2,67
149,OMAR_2_UNIT3,ngct,SCE,81.41,7.43,7.5,7.56,29,82,1,1,3.17,34.24657534,5698.7,KERN RIVER COGENERATION UNIT 3,68
150,OMAR_2_UNIT4,ngct,SCE,81.44,7.43,7.5,7.56,29,82,1,1,3.17,34.24657534,5700.8,KERN RIVER COGENERATION UNIT 4,69
99,LIVOAK_1_UNIT1,ngct,PGE_valley,47.49,7.51,7.57,7.64,17,48,1,1,3.17,20,3324.3,LIVE OAK LIMITED,70
57,LODIEC_2_PL1X2,ngcc,PGE_valley,302.58,5.6,5.87,6.13,122,303,1,1,2,139.1143911,21180.6,Lodi Energy Center,71
59,LODI25_2_UNIT1,ngct,PGE_valley,25.3,13.94,14.01,14.07,9,26,1,1,3.17,10.68493151,1771,LODI GAS TURBINE,72
6,TIDWTR_2_UNITS,ngcc,PGE_bay,114.8,6.63,6.89,7.15,46,115,6,6,2,52.73062731,8036,Martinez Cogen Limited Partnership,73
11,SHELRF_1_UNITS,ngcc,PGE_bay,100,8.87,9.13,9.39,40,100,5,5,2,45.94095941,7000,Martinez Refining Company (Aggregate),74
111,TXMCKT_6_UNIT,ngct,PGE_valley,11.2,6.41,6.48,6.54,4,12,1,1,3.17,4.657534247,784,McKittrick Cogen,75
104,MKTRCK_1_UNIT1,ngct,PGE_valley,47.49,7.34,7.41,7.47,17,48,1,1,3.17,20,3324.3,MCKITTRICK LIMITED,76
108,MIDSET_1_UNIT1,ngct,PGE_valley,52.9,7.15,7.22,7.28,19,53,1,1,3.17,22.19178082,3703,MIDSET COGENERATION,77
96,SUNSET_2_UNITS,ngct,PGE_valley,248,7.6,7.66,7.73,87,248,1,1,3.17,104.6575342,17360,Midway Sunset Cogeneration Company,78
247,MRGT_6_MEF2,ngct,SDGE,47.9,7.9,7.96,8.03,17,48,1,1,3.17,20.2739726,3353,Miramar Energy Facility II,79
238,MRGT_7_UNITS,ngct,SDGE,36,15.31,15.38,15.44,18,36,1,1,3.17,15.06849315,2520,MIRAMAR GT PLANT (AGGREGATE),80
47,MISSIX_1_QF,ngcc,PGE_valley,1,7.12,7.38,7.64,1,1,6,6,2,0.36900369,70,MISSIX AREA (SAB FRABCUSCI) LUMPED QF UNITS,81
118,MOORPK_6_QF,ngcc,SCE,34.8,7.12,7.38,7.64,14,35,6,6,2,15.86715867,2436,MOORE PARK AREA LUMPED UNITS,82
41,MOSSLD_2_PSP1,ngcc,PGE_valley,510,9.36,9.62,9.88,204,510,3,3,2,234.3173432,35700,Moss Landing CC Plant 1 (Aggregate),83
42,MOSSLD_2_PSP2,ngcc,PGE_valley,510,9.36,9.62,9.88,204,510,3,3,2,234.3173432,35700,Moss Landing CC Plant 2 (Aggregate),84
144,ETIWND_2_UNIT1,ngct,SCE,33.6,8.02,8.08,8.15,12,34,1,1,3.17,14.24657534,2352,"New-Indy Ontario, LLC",85
145,SNCLRA_2_UNIT1,ngct,SCE,27.8,8.02,8.08,8.15,10,28,1,1,3.17,11.78082192,1946,New-Indy Oxnard LLC,86
231,PTLOMA_6_NTCQF,ngct,SDGE,22.3,8.63,8.69,8.76,17,23,1,1,3.17,9.315068493,1561,NTC/MCRD COGENERATION,87
157,CHINO_6_CIMGEN,ngct,SCE,31.6,6.93,7,7.06,12,32,1,1,3.17,13.42465753,2212,O.L.S. ENERGY COMPANY- CHINO-MENS INST.,88
37,OAK_C_7_UNIT_1,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850,Oakland GT #1,89
38,OAK_C_7_UNIT_2,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850,Oakland GT #2,90
39,OAK_C_7_UNIT_3,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850,Oakland GT #3,91
91,OILDAL_1_UNIT1,ngct,PGE_valley,40,7.96,8.02,8.09,14,40,1,1,3.17,16.98630137,2800,OILDALE ENERGY,92
58,OROVIL_6_UNIT,ngct,PGE_valley,7.5,15.36,15.42,15.49,3,8,1,1,3.17,3.287671233,525,OROVILLE COGEN,93
90,GRZZLY_1_BERKLY,ngct,PGE_valley,32.5,7.98,8.05,8.11,12,33,1,1,3.17,13.69863014,2275,"PE - BERKELEY, INC.",94
14,UNOCAL_1_UNITS,ngct,PGE_bay,57.3,6.37,6.43,6.5,21,58,1,1,3.17,24.1369863,4011,Phillips 66 - Rodeo Plant,95
146,SNCLRA_6_PROCGN,ngct,SCE,49.5,8.02,8.08,8.15,18,50,1,1,3.17,20.82191781,3465,PROCTER & GAMBLE PAPER PROD. (OXNARD II),96
66,REDBLF_6_UNIT,ngct,PGE_valley,44,9.48,9.54,9.61,16,44,1,1,3.17,18.63013699,3080,RED BLUFF PEAKER PLANT,97
16,STAUFF_1_UNIT,ngct,PGE_bay,4.6,8.01,8.08,8.14,2,5,1,1,3.17,1.917808219,322,RHODIA INC. (RHONE-POULENC),98
225,VESTAL_6_ULTRGN,coal,SCE,38,15.59,15.99,16.39,13,29,10,10,4.6,44.66257669,2660,RIO BRAVO JASMIN,99
179,RVSIDE_2_RERCU3,ngct,SCE,49,8.49,8.56,8.62,18,49,1,1,3.17,20.54794521,3430,Riverside Energy Resource Center (RERC) Unit 3,100
180,RVSIDE_2_RERCU4,ngct,SCE,49,8.49,8.56,8.62,18,49,1,1,3.17,20.54794521,3430,Riverside Energy Resource Center (RERC) Unit 4,101
123,SBERDO_2_QF,ngcc,SCE,10.6,7.12,7.38,7.64,5,11,5,5,2,4.79704797,742,SAN BERNARDINO AREA LUMPED UNITS,102
87,SGREGY_6_SANGER,ngct,PGE_valley,48.3,8.02,8.08,8.15,17,49,1,1,3.17,20.2739726,3381,"SANGER POWER, LLC",103
31,CSCCOG_1_UNIT_1,ngct,PGE_bay,7,18.41,18.48,18.54,3,7,1,1,3.17,2.931506849,490,SANTA CLARA COGEN,104
224,SEARLS_7_ARGUS,coal,SCE,62.5,10.4,10.8,11.2,20,47,10,10,4.6,44.66257669,4375,"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)",105
97,DALYCT_1_FCELL,ngct,PGE_valley,1.6,7.57,7.64,7.7,1,2,1,1,3.17,0.547945205,112,SF State Fuel Cell Station,106
72,KERNRG_1_UNITS,ngct,PGE_valley,55.2,9.02,9.09,9.15,20,56,1,1,3.17,23.28767123,3864,South Belridge Cogen Facility,107
168,RVSIDE_6_SPRING,ngct,SCE,36,12.28,12.35,12.41,13,36,1,1,3.17,15.06849315,2520,Springs Generation Project,108
15,SRINTL_6_UNIT,ngct,PGE_bay,6.9,7.4,7.46,7.53,3,7,1,1,3.17,2.904109589,483,SRI INTERNATIONAL,109
151,SYCAMR_2_UNIT1,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,SYCAMORE COGENERATION UNIT 1,110
152,SYCAMR_2_UNIT2,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,SYCAMORE COGENERATION UNIT 2,111
153,SYCAMR_2_UNIT3,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,SYCAMORE COGENERATION UNIT 3,112
154,SYCAMR_2_UNIT4,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,SYCAMORE COGENERATION UNIT 4,113
230,TERMEX_2_PL1X3,ngcc,SDGE,625,7.86,8.12,8.38,250,625,4,4,2,287.0848708,43750,TERMOELCTRICA DE MEXICALI (Aggregate),114
89,VEDDER_1_SEKERN,ngct,PGE_valley,39.7,8.02,8.08,8.15,14,40,1,1,3.17,16.71232877,2779,TEXACO EXPLORATION & PRODUCTION INC. (SE KERN),115
141,HOLGAT_1_BORAX,ngct,SCE,48.2,8.06,8.13,8.19,17,49,1,1,3.17,20.2739726,3374,U.S. BORAX AND CHEMICAL CORP. (#1),116
61,VACADX_1_UNITA1,ngct,PGE_valley,50.61,11.9,11.97,12.03,18,51,1,1,3.17,21.36986301,3542.7,Vaca Dixon Peaker Plant,117
120,ARCOGN_2_UNITS,ngcc,SCE,416.6,6.01,6.27,6.53,167,417,5,5,2,191.5129151,29162,WATSON COGENERATION COMPANY,118
62,PNOCHE_1_PL1X2,ngct,PGE_valley,49.97,11.9,11.97,12.03,18,50,1,1,3.17,21.09589041,3497.9,WELLHEAD - PANOCHE PEAKER,119
78,DEXZEL_1_UNIT,ngct,PGE_valley,36.8,8.08,8.14,8.21,13,37,1,1,3.17,15.61643836,2576,Western Power and Steam Cogeneration,120
94,YUBACT_1_SUNSWT,ngct,PGE_valley,49.97,7.63,7.69,7.76,18,50,1,1,3.17,21.09589041,3497.9,YUBA CITY COGEN (SUNSWEET),121
