num,num_1,Name,DOE,,,,,,,,,,,,,
36,25,Clearwater Power Plant,56356,,,,,,,,,,,,,
37,26,Coalinga 25D Cogen,52086,,,,,,,,,,,,,
38,26,Coalinga 6C Cogen,52083,,,,,,,,,,,,,
39,26,Coalinga Cogeneration Facility,50131,,,,,,,,,,,,,
40,26,Coalinga Cogeneration Facility,50750,,,,,,,,,,,,,
41,27,0,0,,,,,,,,,,,,,
42,28,"Corona Energy Partners, Ltd",10635,,,,,,,,,,,,,
43,29,0,0,,,,,,,,,,,,,
44,30,C P Kelco San Diego Plant,52147,,,,,,,,,,,,,
45,31,Crockett Cogen Project,55084,,,,,,,,,,,,,
46,32,CSU East Bay,57042,,,,,,,,,,,,,
47,33,0,0,,,,,,,,,,,,,
48,34,Division,300,,,,,,,,,,,,,
49,34,Division 1,59094,,,,,,,,,,,,,
50,34,Division 2,59095,,,,,,,,,,,,,
51,34,Division 3,59096,,,,,,,,,,,,,
52,35,Double C Generation Limited Partnership,50493,,,,,,,,,,,,,
53,36,Drews Generating Facility,55935,,,,,,,,,,,,,
54,37,E F Oxnard Energy Facility,10776,,,,,,,,,,,,,
55,38,El Cajon,301,,,,,,,,,,,,,
56,38,El Cajon Energy Center,57001,,,,,,,,,,,,,
57,38,El Cajon Energy Storage,60569,,,,,,,,,,,,,
58,39,Elk Hills Cogen,55950,,,,,,,,,,,,,
59,39,Elk Hills Power,55400,,,,,,,,,,,,,
60,40,Ellwood,8076,,,,,,,,,,,,,
61,41,Encina Water Pollution Control,10026,,,,,,,,,,,,,
62,42,Encina Water Pollution Control,10026,,,,,,,,,,,,,
63,43,Encina Water Pollution Control,10026,,,,,,,,,,,,,
64,44,Encina Water Pollution Control,10026,,,,,,,,,,,,,
65,45,Encina Water Pollution Control,10026,,,,,,,,,,,,,
66,46,Encina Water Pollution Control,10026,,,,,,,,,,,,,
67,47,0,0,,,,,,,,,,,,,
68,48,ExxonMobil Santa Ynez Facility,50270,,,,,,,,,,,,,
69,49,0,0,,,,,,,,,,,,,
70,50,0,0,,,,,,,,,,,,,
71,51,Frito-Lay Cogen Plant,10110,,,,,,,,,,,,,
72,52,Gaviota Oil Plant,50623,,,,,,,,,,,,,
73,53,Gianera,7231,,,,,,,,,,,,,
74,54,Gianera,7231,,,,,,,,,,,,,
75,55,"Gilroy Energy Center, LLC",55810,,,,,,,,,,,,,
76,56,"Gilroy Energy Center, LLC",55810,,,,,,,,,,,,,
77,57,0,0,,,,,,,,,,,,,
78,58,0,0,,,,,,,,,,,,,
79,59,H. Gonzales,56039,,,,,,,,,,,,,
80,60,H. Gonzales,56039,,,,,,,,,,,,,
81,61,High Sierra Cogeneration Plant,57977,,,,,,,,,,,,,
82,62,High Sierra Limited,50495,,,,,,,,,,,,,
83,63,Houweling Nurseries,58432,,,,,,,,,,,,,
84,64,Kearny,303,,,,,,,,,,,,,
85,64,Kearny Mesa Storage LLC,62441,,,,,,,,,,,,,
86,65,Kern Front Limited,50494,,,,,,,,,,,,,
87,66,Kern River 1,340,,,,,,,,,,,,,
88,66,Kern River 3,339,,,,,,,,,,,,,
89,66,Kern River Cogeneration,10496,,,,,,,,,,,,,
90,66,Kern River Eastridge Cogen,52107,,,,,,,,,,,,,
91,66,Kern River Fee A Cogen,52094,,,,,,,,,,,,,
92,66,Kern River Fee B Cogen,52092,,,,,,,,,,,,,
93,66,Kern River Fee C Cogen,52095,,,,,,,,,,,,,
94,67,Kern River 1,340,,,,,,,,,,,,,
95,68,Kern River 1,340,,,,,,,,,,,,,
96,69,Kern River 1,340,,,,,,,,,,,,,
97,70,Live Oak Limited,54768,,,,,,,,,,,,,
98,71,Lodi Energy Center,57978,,,,,,,,,,,,,
99,72,Lodi,7451,,,,,,,,,,,,,
100,73,Martinez Sulfuric Acid Regeneration Plt,52063,,,,,,,,,,,,,
101,74,Martinez Refining,54912,,,,,,,,,,,,,
102,75,McKittrick Cogen,52076,,,,,,,,,,,,,
103,76,McKittrick Limited,50612,,,,,,,,,,,,,
104,77,Mid-Set Cogeneration,10501,,,,,,,,,,,,,
105,78,Midway Sunset Cogen,52169,,,,,,,,,,,,,
106,79,Miramar Energy Facility,56232,,,,,,,,,,,,,
107,79,Miramar,305,,,,,,,,,,,,,
108,80,Miramar Energy Facility,56232,,,,,,,,,,,,,
109,81,0,0,,,,,,,,,,,,,
110,82,0,0,,,,,,,,,,,,,
111,83,Moss Landing,260,,,,,,,,,,,,,
112,84,Moss Landing,260,,,,,,,,,,,,,
113,85,New-Indy Ontario Mill,10427,,,,,,,,,,,,,
114,86,0,0,,,,,,,,,,,,,
115,87,NTC/MCRD Energy Facility,10810,,,,,,,,,,,,,
116,88,OLS Energy Chino,50850,,,,,,,,,,,,,
117,89,Dynegy Oakland Power Plant,6211,,,,,,,,,,,,,
118,90,Dynegy Oakland Power Plant,6211,,,,,,,,,,,,,
119,91,Dynegy Oakland Power Plant,6211,,,,,,,,,,,,,
120,92,0,0,,,,,,,,,,,,,
121,93,Oroville Cogeneration LP,54477,,,,,,,,,,,,,
122,94,PE Berkeley,50849,,,,,,,,,,,,,
123,95,Phillips 66 Rodeo Refinery,50119,,,,,,,,,,,,,
124,96,SunEdison Procter & Gamble Oxnard,57008,,,,,,,,,,,,,
125,97,Red Bluff,56184,,,,,,,,,,,,,
126,98,0,0,,,,,,,,,,,,,
127,99,0,0,,,,,,,,,,,,,
128,100,Riverside Energy Resource Center,56143,,,,,,,,,,,,,
129,101,Riverside Energy Resource Center,56143,,,,,,,,,,,,,
130,102,Amazon San Bernardino,59800,,,,,,,,,,,,,
131,103,Algonquin Power Sanger,57564,,,,,,,,,,,,,
132,104,Santa Clara Cogen,7232,,,,,,,,,,,,,
133,105,0,0,,,,,,,,,,,,,
134,106,0,0,,,,,,,,,,,,,
135,107,South Belridge Cogeneration Facility,50752,,,,,,,,,,,,,
136,108,Springs Generating Station,56144,,,,,,,,,,,,,
137,109,SRI International Cogen Project,50537,,,,,,,,,,,,,
138,110,Sycamore Cogeneration,50134,,,,,,,,,,,,,
139,111,Sycamore Cogeneration,50134,,,,,,,,,,,,,
140,112,Sycamore Cogeneration,50134,,,,,,,,,,,,,
141,113,Sycamore Cogeneration,50134,,,,,,,,,,,,,
142,114,0,0,,,,,,,,,,,,,
143,115,0,0,,,,,,,,,,,,,
144,116,US Borax,50115,,,,,,,,,,,,,
145,117,0,0,,,,,,,,,,,,,
146,118,Watson Cogeneration,50216,,,,,,,,,,,,,
147,119,0,0,,,,,,,,,,,,,
148,120,Western Power & Steam Inc,54410,,,,,,,,,,,,,
149,121,Yuba City Cogen Partners,52186,,,,,,,,,,,,,
