PNAME,ORISPL,PLPRMFL,PLFUELCT,NAMEPCAP
Tres Vaqueros Wind Farms LLC,50826,WND,WIND,28.3
Trinity,451,WAT,HYDRO,140
Tropico Solar PV Plant,59599,SUN,SOLAR,14
Tulare 1 and 2,58642,SUN,SOLAR,3
Tulare Success Power Project,10222,WAT,HYDRO,1.4
Tulare WWTP BioMat Fuel Cell,61846,OBG,BIOMASS,2.8
Tule River,289,WAT,HYDRO,8.4
Tule Wind LLC,57913,WND,WIND,143
Tulloch,416,WAT,HYDRO,24.2
Turlock Irrigation District Fuel Cell,56631,OBG,BIOMASS,1.2
Turlock Lake,161,WAT,HYDRO,3.3
UC Davis South Campus,59872,SUN,SOLAR,13
UC Merced Solar,61995,SUN,SOLAR,5
UC Riverside Lots 30 & 32,62016,SUN,SOLAR,4
UCI Facilities Management Central Plant,57122,NG,GAS,19
UCI Fuel Cell,60120,NG,GAS,1.4
UCLA So Campus Cogen Project,52073,NG,GAS,43
UCSD Fuel Cell Plant,57735,NG,GAS,3
Union Valley,6612,WAT,HYDRO,38.6
Univ of Calif Santa Cruz Cogeneration,50064,NG,GAS,7.2
Univ of California San Diego Solar,57856,SUN,SOLAR,1.2
Univ of San Francisco Cogen,50089,NG,GAS,1.5
University of California San Diego,57584,NG,GAS,35.5
Upper Dawson,489,WAT,HYDRO,4.4
Upper Gorge,407,WAT,HYDRO,37.5
US Borax,50115,NG,GAS,48.2
US GSA - Sacramento,60846,SUN,SOLAR,1.1
USG 1,61682,SUN,SOLAR,1
USG 2,61683,SUN,SOLAR,1
USPS PV,61250,SUN,SOLAR,10.7
US-TOPCO (Soccer Center),60086,SUN,SOLAR,3
UTS SJ1 LLC,57420,NG,GAS,1.5
VA Sepulveda Ambulatory Care Center,58249,SUN,SOLAR,3.5
Vaca Dixon Battery Storage System,59256,MWH,OTHF,2
Vaca Dixon Solar Station,57041,SUN,SOLAR,2
Vacaville,59058,SUN,SOLAR,1
Valencia 1 Solar CA,61418,SUN,SOLAR,3
"Valentine Solar, LLC",62288,SUN,SOLAR,111.2
Valero Refinery Cogeneration Unit 1,55851,NG,GAS,51
Valero Refinery Cogeneration Unit 2,55852,OG,OFSL,51
Valley Center,60509,SUN,SOLAR,3
Valley Center 1,58906,SUN,SOLAR,2.5
Valley Center 2,58907,SUN,SOLAR,5
Valley Generating Station,408,NG,GAS,"1,236.10"
Valley Sanitary District WTP Solar,60824,SUN,SOLAR,1
Valley View,487,WAT,HYDRO,4.1
Van Norman Bypass Solar Project,57307,SUN,SOLAR,2
Vanadium Redox Flow Battery Plant,61107,MWH,OTHF,2
Vandenberg Solar Project,61463,SUN,SOLAR,22.5
Vasco Winds,57700,WND,WIND,78.2
Vega Solar,59555,SUN,SOLAR,20
Venable Solar 1,58289,SUN,SOLAR,1.5
Venable Solar 2,58290,SUN,SOLAR,1.5
Venice Hydro,72,WAT,HYDRO,10.1
Verizon-Torrance,59261,NG,GAS,1
Vernon,7436,DFO,OIL,30
Verwey-Hanford Dairy Digester #1,60918,OBG,BIOMASS,1
Verwey-Hanford Dairy Digester #2,62418,OBG,BIOMASS,1
Verwey-Hanford Dairy Digester #3,62419,OBG,BIOMASS,1
Victor Dry Farm Ranch A,58418,SUN,SOLAR,5
Victor Dry Farm Ranch B,58419,SUN,SOLAR,5
Victor Mesa Linda B2,59269,SUN,SOLAR,1.5
Victor Mesa Linda C2,59270,SUN,SOLAR,1.5
Victor Mesa Linda D2,59271,SUN,SOLAR,1.5
Victor Mesa Linda E2,59272,SUN,SOLAR,1.5
Victor Valley CC CPV Solar,57254,SUN,SOLAR,1
"Victorville Energy Center, LLC (CA)",62726,WH,OTHF,19.9
Victory Garden (Tehachapi),50532,WND,WIND,18.8
Victory Garden Phase IV LLC,52160,WND,WIND,22
Vinam,58450,SUN,SOLAR,1.5
Vintner Solar,58509,SUN,SOLAR,1.5
Vista Energy Storage System,61661,MWH,OTHF,40
Vitro Flat Glass LLC,58053,DFO,OIL,3.3
Volta 1,290,WAT,HYDRO,8.5
Volta 2,180,WAT,HYDRO,1
Voyager Wind I,60594,WND,WIND,131.1
Voyager Wind II,61582,WND,WIND,128.7
Voyager Wind III,61583,WND,WIND,43.2
Voyager Wind IV,61584,WND,WIND,21.6
Vulcan-BN Geothermal Power Company,50210,GEO,GEOTHERMAL,39.6
W E Warne,6196,WAT,HYDRO,74.2
W Plant,59458,NG,GAS,4.6
W R Gianelli,448,WAT,HYDRO,424
Wadham Energy LP,50293,AB,BIOMASS,29.1
Wagner Wind LLC,58233,WND,WIND,6
Walgreens Woodland Distribution Center,57006,SUN,SOLAR,1
Walnut,4256,NG,GAS,49.8
Walnut Creek Energy Park,57515,NG,GAS,500
Walnut Energy Center,56078,NG,GAS,300.6
Warm Springs Hydro Project,54261,WAT,HYDRO,2.7
Waste Management Tri-Cities LFGTE,57164,LFG,BIOMASS,4.8
Waste Mangement Redwood LFGTE,59299,LFG,BIOMASS,4
Waterman Turnout Hydroelectric,60466,WAT,HYDRO,1
Watkins Manufacturing Co.,57715,NG,GAS,2
Watson Cogeneration,50216,NG,GAS,499.2
Watts 3115,58454,SUN,SOLAR,2
Welport Lease Project,54447,NG,GAS,5
West Ford Flat Power Plant,10199,GEO,GEOTHERMAL,38
West Gates Solar Station,58206,SUN,SOLAR,10
West Point PH,291,WAT,HYDRO,13.6
West Valley High School Solar,58244,SUN,SOLAR,1
Westend Facility,10685,NG,GAS,20
Western Antelope Blue Sky B,59961,SUN,SOLAR,20
Western Antelope Blue Sky Ranch A,58626,SUN,SOLAR,20
Western Antelope Dry Ranch,58627,SUN,SOLAR,10
Western Power & Steam Inc,54410,NG,GAS,36
Westlands Solar PV Farm,58616,SUN,SOLAR,18
Westmont 300A,61249,SUN,SOLAR,2.9
Westmont 300B,60914,SUN,SOLAR,3
Westmont 301,61593,SUN,SOLAR,1.8
Westmont 400A,61348,SUN,SOLAR,2.3
Westmont 400B,61349,SUN,SOLAR,2.2
Westmont 401,61594,SUN,SOLAR,2.9
Westside Solar Power PV1,60275,SUN,SOLAR,2
Westside Solar Station,57499,SUN,SOLAR,15
Westwind Trust,54258,WND,WIND,31.6
Weymouth Solar Plant,60255,SUN,SOLAR,3
Wheelabrator Lassen,50298,NG,GAS,38.8
Wheelabrator Martell,50950,WDS,BIOMASS,23
Wheelabrator Norwalk Energy,50876,NG,GAS,30.7
Wheelabrator Shasta,50881,WDS,BIOMASS,62.7
Whiskeytown,7189,WAT,HYDRO,3.5
White River Solar,58373,SUN,SOLAR,20
White River Solar 2,58973,SUN,SOLAR,19.8
White Rock/Slab Creek,435,WAT,HYDRO,269.2
Whitethorn Solar LLC,60193,SUN,SOLAR,3.3
Whitewater Hill Wind Partners,56012,WND,WIND,61.5
Whitewater Hydro Plant,10162,WAT,HYDRO,1.3
Whitney Point Solar,60975,SUN,SOLAR,20
Whittier LFG Power Plant #1,57102,LFG,BIOMASS,2.2
Wild Horse Power Plant,57181,GEO,GEOTHERMAL,48
Wildcat I Energy Storage LLC,62875,MWH,OTHF,3
"Wildwood Solar I, LLC",59380,SUN,SOLAR,19.5
Wildwood Solar II,59253,SUN,SOLAR,15
"Willow Spring Solar 3, LLC",60325,SUN,SOLAR,75
"Willow Spring Solar, LLC",60324,SUN,SOLAR,100
Wilmington Hydrogen Plant,55557,WH,OTHF,31.9
Windhub Solar A LLC,59878,SUN,SOLAR,20
"Windhub Solar B, LLC",59969,SUN,SOLAR,20
Windland,50386,WND,WIND,15.3
Windpark Unlimited 1,10027,WND,WIND,9.4
Windpark Unlimited 2,60321,WND,WIND,16.1
Windsor Floating Solar,62902,SUN,SOLAR,1.5
Windstar 1,57774,WND,WIND,120
Wintec Energy Ltd,50276,WND,WIND,5.9
Wise,292,WAT,HYDRO,16.4
Wistaria Ranch Solar,61750,SUN,SOLAR,106.7
Wolfskill Energy Center,55855,NG,GAS,47
Woodland Biomass Power Ltd,10836,WDS,BIOMASS,28
Woodland Generation Station,7266,NG,GAS,199
Woodleaf,419,WAT,HYDRO,67.2
Woodmere Solar Farm,59008,SUN,SOLAR,15
Woodward Power Plant,50218,WAT,HYDRO,2.8
Wright Solar Park,59525,SUN,SOLAR,200
WWTP Power Generation Station,56036,OBG,BIOMASS,6.6
Xebec 1,62286,SUN,SOLAR,1.9
Xilinx San Jose,58299,NG,GAS,1.1
Yahoo! - HQ,59805,NG,GAS,1.1
Yerba Buena,59257,MWH,OTHF,4
Yolo County Solar Project,57422,SUN,SOLAR,1
Yorba Linda,6647,WAT,HYDRO,5.1
Yuba City Cogen Partners,52186,NG,GAS,49
Yuba City Energy Center,10349,NG,GAS,49.5
Yuba City Energy Center,55813,NG,GAS,47.3
ZCO,56276,WND,WIND,1.6
Zero Waste Energy Development Co LLC,60220,OBG,BIOMASS,1.6
