num,num_1,Name,DOE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Name_Description,netcap,typ,PLPRMFL,PLFUELCT,NAMEPCAP
86,65,Kern Front Limited,50494,,,,,,,,,,,,,,KERN FRONT LIMITED,52.4,ngct,NG,GAS,49.8
87,66,Kern River 1,340,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 1,78.0,ngct,WAT,HYDRO,26.4
88,66,Kern River 3,339,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 1,78.0,ngct,WAT,HYDRO,40.3
89,66,Kern River Cogeneration,10496,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 1,78.0,ngct,NG,GAS,300
90,66,Kern River Eastridge Cogen,52107,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 1,78.0,ngct,NG,GAS,48.8
91,66,Kern River Fee A Cogen,52094,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 1,78.0,ngct,NG,GAS,7.4
92,66,Kern River Fee B Cogen,52092,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 1,78.0,ngct,NG,GAS,3.7
93,66,Kern River Fee C Cogen,52095,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 1,78.0,ngct,NG,GAS,7.9
94,67,Kern River 1,340,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 2,78.11,ngct,WAT,HYDRO,26.4
95,68,Kern River 1,340,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 3,81.41,ngct,WAT,HYDRO,26.4
96,69,Kern River 1,340,,,,,,,,,,,,,,KERN RIVER COGENERATION UNIT 4,81.44,ngct,WAT,HYDRO,26.4
97,70,Live Oak Limited,54768,,,,,,,,,,,,,,LIVE OAK LIMITED,47.49,ngct,NG,GAS,46
98,71,Lodi Energy Center,57978,,,,,,,,,,,,,,Lodi Energy Center,302.58,ngcc,NG,GAS,288.9
99,72,Lodi,7451,,,,,,,,,,,,,,LODI GAS TURBINE,25.3,ngct,NG,GAS,27.4
