num,num.1,DOE,Name,PNAME,PLPRMFL,PLFUELCT,NAMEPCAP,Name_Description,netcap,typ
103,76,McKittrick Limited,50612,McKittrick Limited,NG,GAS,46,MCKITTRICK LIMITED,47.49,ngct
104,77,Mid-Set Cogeneration,10501,Mid-Set Cogeneration,NG,GAS,39.1,MIDSET COGENERATION,52.9,ngct
105,78,Midway Sunset Cogen,52169,Midway Sunset Cogen,NG,GAS,234,Midway Sunset Cogeneration Company,248.0,ngct
106,79,Miramar Energy Facility,56232,Miramar Energy Facility,NG,GAS,106,Miramar Energy Facility II,47.9,ngct
107,79,Miramar,305,Miramar,NG,GAS,49,Miramar Energy Facility II,47.9,ngct
108,80,Miramar Energy Facility,56232,Miramar Energy Facility,NG,GAS,106,MIRAMAR GT PLANT (AGGREGATE),36.0,ngct
111,83,Moss Landing,260,Moss Landing,NG,GAS,"3,102.00",Moss Landing CC Plant 1 (Aggregate),510.0,ngcc
112,84,Moss Landing,260,Moss Landing,NG,GAS,"3,102.00",Moss Landing CC Plant 2 (Aggregate),510.0,ngcc
113,85,New-Indy Ontario Mill,10427,New-Indy Ontario Mill,NG,GAS,67,"New-Indy Ontario, LLC",33.6,ngct
115,87,NTC/MCRD Energy Facility,10810,NTC/MCRD Energy Facility,NG,GAS,25.6,NTC/MCRD COGENERATION,22.3,ngct
116,88,OLS Energy Chino,50850,OLS Energy Chino,NG,GAS,30.8,O.L.S. ENERGY COMPANY- CHINO-MENS INST.,31.6,ngct
117,89,Dynegy Oakland Power Plant,6211,Dynegy Oakland Power Plant,JF,OIL,223.5,Oakland GT #1,55.0,oil
118,90,Dynegy Oakland Power Plant,6211,Dynegy Oakland Power Plant,JF,OIL,223.5,Oakland GT #2,55.0,oil
119,91,Dynegy Oakland Power Plant,6211,Dynegy Oakland Power Plant,JF,OIL,223.5,Oakland GT #3,55.0,oil
121,93,Oroville Cogeneration LP,54477,Oroville Cogeneration LP,NG,GAS,7.7,OROVILLE COGEN,7.5,ngct
122,94,PE Berkeley,50849,PE Berkeley,NG,GAS,28.5,"PE - BERKELEY, INC.",32.5,ngct
123,95,Phillips 66 Rodeo Refinery,50119,Phillips 66 Rodeo Refinery,OG,OFSL,54.9,Phillips 66 - Rodeo Plant,57.3,ngct
124,96,SunEdison Procter & Gamble Oxnard,57008,SunEdison Procter & Gamble Oxnard,SUN,SOLAR,1,PROCTER & GAMBLE PAPER PROD. (OXNARD II),49.5,ngct
125,97,Red Bluff,56184,Red Bluff,NG,GAS,46.4,RED BLUFF PEAKER PLANT,44.0,ngct
128,100,Riverside Energy Resource Center,56143,Riverside Energy Resource Center,NG,GAS,196,Riverside Energy Resource Center (RERC) Unit 3,49.0,ngct
129,101,Riverside Energy Resource Center,56143,Riverside Energy Resource Center,NG,GAS,196,Riverside Energy Resource Center (RERC) Unit 4,49.0,ngct
130,102,Amazon San Bernardino,59800,Amazon San Bernardino,NG,GAS,1.1,SAN BERNARDINO AREA LUMPED UNITS,10.6,ngcc
131,103,Algonquin Power Sanger,57564,Algonquin Power Sanger,NG,GAS,74,"SANGER POWER, LLC",48.3,ngct
132,104,Santa Clara Cogen,7232,Santa Clara Cogen,NG,GAS,7.8,SANTA CLARA COGEN,7.0,ngct
135,107,South Belridge Cogeneration Facility,50752,South Belridge Cogeneration Facility,NG,GAS,94.2,South Belridge Cogen Facility,55.2,ngct
136,108,Springs Generating Station,56144,Springs Generating Station,NG,GAS,40,Springs Generation Project,36.0,ngct
137,109,SRI International Cogen Project,50537,SRI International Cogen Project,NG,GAS,6,SRI INTERNATIONAL,6.9,ngct
138,110,Sycamore Cogeneration,50134,Sycamore Cogeneration,NG,GAS,300,SYCAMORE COGENERATION UNIT 1,85.0,ngct
139,111,Sycamore Cogeneration,50134,Sycamore Cogeneration,NG,GAS,300,SYCAMORE COGENERATION UNIT 2,85.0,ngct
140,112,Sycamore Cogeneration,50134,Sycamore Cogeneration,NG,GAS,300,SYCAMORE COGENERATION UNIT 3,85.0,ngct
141,113,Sycamore Cogeneration,50134,Sycamore Cogeneration,NG,GAS,300,SYCAMORE COGENERATION UNIT 4,85.0,ngct
144,116,US Borax,50115,US Borax,NG,GAS,48.2,U.S. BORAX AND CHEMICAL CORP. (#1),48.2,ngct
146,118,Watson Cogeneration,50216,Watson Cogeneration,NG,GAS,499.2,WATSON COGENERATION COMPANY,416.6,ngcc
148,120,Western Power & Steam Inc,54410,Western Power & Steam Inc,NG,GAS,36,Western Power and Steam Cogeneration,36.8,ngct
149,121,Yuba City Cogen Partners,52186,Yuba City Cogen Partners,NG,GAS,49,YUBA CITY COGEN (SUNSWEET),49.97,ngct
