,ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",IMPERIAL IRRIGATION DISTRICT,PUD NO. 1 OF DOUGLAS COUNTY,PUBLIC SERVICE COMPANY OF COLORADO,BONNEVILLE POWER ADMINISTRATION,NORTHWESTERN ENERGY (NWMT),SALT RIVER PROJECT,LOS ANGELES DEPARTMENT OF WATER AND POWER,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,EL PASO ELECTRIC COMPANY,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,PUBLIC SERVICE COMPANY OF NEW MEXICO,AVISTA CORPORATION,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,TURLOCK IRRIGATION DISTRICT,WESTERN AREA POWER ADMINISTRATION UGP WEST,TUCSON ELECTRIC POWER COMPANY,SEATTLE CITY LIGHT,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
2020-04-19,1.0219999999999998,2.5910204081632653,1.44,1.4775000000000003,1.38,1.4899999999999998,1.4366666666666668,1.6155555555555554,1.5582763557268242,1.535109365103345,1.5570528264472117,1.4938693267554366,1.5176532287286801,1.5295616125646063,1.1851814963568283,1.9122314047518136,1.5691330485166723,1.4973270748469847,1.6378393520151517,1.4731419055793569,1.5362378936083654,1.528637303243332,1.900724446397046,1.5296069577544518,1.4341690033944738,1.5827722180892194,1.547828804678522,1.505207589257141
2020-04-20,0.9479999999999997,2.592729591836734,1.44,1.4778125,1.3808333333333334,1.4893750000000001,1.4369444444444444,1.6149074074074072,1.5561851123537636,1.5140186294342346,1.5541136796149788,1.483775319850433,1.514699939636852,1.5239304565994214,1.1296055574454669,1.9060170751747525,1.5668669373648947,1.4809613328223352,1.6331688754991043,1.4552561344185049,1.5325988103870967,1.5111107043737377,1.8962639743093959,1.5231946166198482,1.4057581985616738,1.581110987783099,1.5449428666163105,1.4968384858974435
2020-04-21,1.0050416666666666,2.6365221088435367,1.4454166666666666,1.4883333333333333,1.4044444444444444,1.4814583333333333,1.4468055555555555,1.606111111111111,1.5151389094676309,1.0539760454450406,1.4944216102793846,1.266232356435861,1.4547095600908162,1.4048220960838567,1.187605990208652,1.7742885133508821,1.52207964590243,1.1250984776276123,1.5352749327205972,1.0658657423432278,1.457432708297835,1.1295961500774037,1.8032172469650725,1.3868516658869343,0.7842411157610886,1.549734980461903,1.4863787843041543,1.317337963020413
2020-04-22,1.0620833333333333,2.741607142857143,1.5702083333333334,1.5647916666666666,1.5069444444444446,1.629375,1.5268055555555557,1.7460185185185184,1.6774594347467748,1.6343811119557063,1.676674423244391,1.604648595736547,1.6378340305579018,1.6454070548922313,1.2456064229718369,2.0340583780155552,1.690842806139699,1.6010866749740664,1.7555364058866771,1.5751067162383292,1.6543685566507822,1.6300016356011706,2.0244701924518154,1.6444553077313402,1.524344971354224,1.7067221433054556,1.6664673559484542,1.6179059999883019
2020-04-23,1.3879166666666667,2.792525510204081,1.57625,1.5633333333333332,1.5158333333333334,1.615625,1.532361111111111,1.7328703703703703,1.6820508272067816,1.7377657281540333,1.6869492718740302,1.6570267524620945,1.6537783679917808,1.6750466771173467,1.4933444489611645,2.0866474092398364,1.6950073690355945,1.6806311179961437,1.7840980334337495,1.6613401535067838,1.672008855141109,1.7169417915287897,2.0675463550827997,1.6779907350077323,1.6574104033735382,1.705013894594014,1.6776450741855176,1.6621872845328314
2020-04-24,1.41825,2.8877040816326516,1.6033333333333335,1.6364583333333336,1.5680555555555555,1.6304166666666666,1.585,1.7730092592592592,1.7249282532506298,1.788714811107727,1.7298140392268269,1.7060983646417422,1.6935058949714723,1.7205547693539103,1.53021744679649,2.153996298523616,1.7372842109038822,1.7287470750469613,1.83400502382223,1.7092129769174962,1.714704123730698,1.7689247751881196,2.1327938684402934,1.7243507688913149,1.7047778367908664,1.74680014691197,1.7203132002200945,1.710779278575014
2020-04-25,1.1019999999999999,2.6612244897959183,1.565,1.555,1.4466666666666665,1.6400000000000001,1.5466666666666666,1.7655555555555555,1.686909876834473,1.6263833767632632,1.6815194367157797,1.5868240349087412,1.634346063986729,1.6365111647167176,1.2692726140352923,1.9991629554921717,1.6997495922280441,1.5929412316398386,1.7441191937106715,1.566426969190558,1.6528014415862555,1.6191740040700777,1.991713103675089,1.6346015747404778,1.5233843098475477,1.719570422876774,1.6704315152282518,1.600898371365312
2020-04-26,1.1019999999999999,2.6612244897959183,1.565,1.555,1.4466666666666665,1.6400000000000001,1.5466666666666666,1.7655555555555555,1.686909876834473,1.6263833767632632,1.6815194367157797,1.5868240349087412,1.634346063986729,1.6365111647167176,1.2692726140352923,1.9991629554921717,1.6997495922280441,1.5929412316398386,1.7441191937106715,1.566426969190558,1.6528014415862555,1.6191740040700777,1.991713103675089,1.6346015747404778,1.5233843098475477,1.719570422876774,1.6704315152282518,1.600898371365312
2020-04-27,1.1130416666666667,2.6678316326530607,1.5635416666666666,1.5561458333333336,1.4495833333333332,1.63625,1.5463888888888888,1.7625462962962963,1.6856377127052098,1.6306550231091683,1.6806791052557655,1.5893055640725384,1.6340146344319226,1.6373491927498602,1.2778918075922916,2.0029751120321384,1.6983661871756197,1.5960836227669069,1.7451736761231356,1.5698948726615027,1.652621206263544,1.6229343763592339,1.9949175076576717,1.6357035656618226,1.5285199674003072,1.7176560201771625,1.6697038652002278,1.6029522683119144
2020-04-28,1.3805,2.826164965986394,1.5358333333333332,1.588125,1.5240277777777778,1.5547916666666666,1.54375,1.6966203703703704,1.660736347817879,1.7368379165711143,1.6661184130999596,1.6533514798589704,1.6319350700419104,1.6626126698942614,1.4876998370572754,2.097231649120793,1.670919761877602,1.675733281267936,1.7752367604889088,1.6572881974116265,1.6538362681382184,1.717042599981416,2.07489299541297,1.6671663079653847,1.65537744507837,1.6776080139952763,1.6578327144500715,1.6568939541187102
