EIA_ID,plant,state,bal_auth,Latitude,Longitude,bus
3855,Lower Baker,WA,PSEI,48.5478,-121.7407,10758
3861,Upper Baker,WA,PSEI,48.649,-121.6907,11037
3866,Little Falls,WA,AVA,47.821667,-117.916667,11054
3867,Long Lake,WA,AVA,47.834444,-117.836111,10972
3868,Meyers Falls,WA,AVA,48.5953,-118.0603,10818
3869,Nine Mile,WA,AVA,47.769722,-117.537222,10869
3891,Box Canyon,WA,AVA,48.780856,-117.418337,10993
3913,Alder,WA,TPWR,46.8016,-122.3102,10998
3914,Cushman 1,WA,TPWR,47.4181,-123.2252,11008
3915,Cushman 2,WA,TPWR,47.3698,-123.1603,10731
3916,LaGrande,WA,TPWR,46.8328,-122.3196,10842
3917,Mayfield,WA,TPWR,46.5035,-122.5885,10757
3918,Mossyrock,WA,TPWR,46.5347,-122.4247,10864
3929,Packwood,WA,BPAT,46.595833,-121.569444,10966
4176,Fremont Canyon,WY,WAUW,42.4766,-106.795901,70111
4177,Glendo,WY,WAUW,42.467254,-104.955526,70172
4178,Guernsey,WY,WAUW,42.289868,-104.760634,70172
4180,Kortes,WY,WAUW,42.174301,-106.880543,70182
4182,Seminoe,WY,WAUW,42.156127,-106.908483,70182
4183,Shoshone,WY,WAUW,44.502897,-109.181228,77213
4185,Fontenelle,WY,WAUW,42.027013,-110.063973,70188
4213,Portland No. 1,OR,PGE,45.481708,-122.083188,13665
4214,Portland No. 2,OR,PGE,45.448977,-122.151257,13665
4263,Echo Dam,UT,PACE,40.964828,-111.433937,50412
6158,New Melones,CA,WALC,37.946927,-120.528211,23453
6159,Crystal,CO,WACM,38.510573,-107.625335,60765
6172,Libby,MT,BPAT,48.4098,-115.3143,77187
6196,W E Warne,CA,CISO,34.6853,-118.7881,26085
6202,Ross,WA,SCL,48.732577,-121.06788,10919
6265,Swift 2,WA,PACW,46.0594,-122.2594,10934
6395,Anderson Ranch,ID,BPAT,43.357066,-115.451517,74298
6396,Black Canyon,ID,BPAT,43.930462,-116.437172,74328
6397,Boise R Diversion,ID,IPCO,43.537685,-116.093756,74220
6398,Minidoka,ID,BPAT,42.669899,-113.483175,74248
6400,Canyon Ferry,MT,WAUW,46.649026,-111.727874,77228
6402,Elephant Butte,NM,WACM,33.153358,-107.191973,53300
6403,Green Springs,OR,BPAT,42.121168,-122.547896,20415
6405,Flaming Gorge,UT,WAUW,40.914646,-109.421662,50458
6406,Chandler,WA,BPAT,46.26678,-119.589821,10811
6407,Roza,WA,BPAT,46.618413,-120.477759,10746
6408,Heart Mountain,WY,WAUW,44.513767,-109.129588,77213
6409,Alcova,WY,WAUW,42.548412,-106.717536,70166
6421,Lemolo 2,OR,PACW,43.280611,-122.40248,13659
6424,Chelan,WA,CHPD,47.8347,-120.0133,10873
