ORISPL,PNAME,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA
60536,UA Central Utility Plant,66,1,"24,123",91,3.486,0.035,"1,273.203",0.002
55380,Union Power Station,434,20,"4,002,655","16,597",0.084,0.004,776.824,0.002
57025,Waste Management Eco Vista LFGTE,0,7,0,0,0.000,0.397,0.000,0.000
62683,Westside Wastewater Treatment Plant,,,,,,,,
7135,Whillock,,,,,,,,
6009,White Bluff,"6,912","22,255","9,251,291","300,091",1.675,5.394,"2,242.203",0.036
57160,White River Lock and Dam 1,,,,,,,,
57161,White River Lock and Dam 2,,,,,,,,
57162,White River Lock and Dam 3,,,,,,,,
58632,Actus Lend Lease DMAFB,,,,,,,,
61861,AES ES GILBERT,,,,,,,,
57373,Agua Caliente Solar Project,,,,,,,,
141,Agua Fria Generating Station,331,1,"107,595",431,4.457,0.007,"1,448.004",0.003
60684,Amphitheater High School Solar,,,,,,,,
60964,Apache Solar 1,,,,,,,,
160,Apache Station,"1,270",146,"1,570,976","27,719",1.432,0.165,"1,771.767",0.016
118,APS Saguaro Power Plant,18,0,"53,229",325,0.320,0.005,973.416,0.003
117,APS West Phoenix Power Plant,146,5,"1,066,393","5,643",0.098,0.004,714.505,0.002
58199,Arizona State University CHP,39,0,"15,049",57,1.606,0.017,612.368,0.001
57765,Arizona Western College PV,,,,,,,,
55282,Arlington Valley Energy Facility,59,5,"915,981","3,429",0.056,0.004,863.927,0.002
57679,Arlington Valley Solar Energy I,,,,,,,,
57680,Arlington Valley Solar Energy II,,,,,,,,
57930,Arzon Solar UASTP Solar Power Station,,,,,,,,
59168,Avalon Solar,,,,,,,,
60062,Avalon Solar II,,,,,,,,
57657,Avra Valley Solar,,,,,,,,
62643,AZ State University - Tempe Campus Solar,,,,,,,,
58262,Badger 1,,,,,,,,
56482,Black Mountain Generating Station,36,1,"48,050",178,0.890,0.035,"1,204.324",0.002
58042,Black Mountain Solar LLC,,,,,,,,
60413,Bonnybrooke PV,,,,,,,,
59471,"Buckeye Generation Center, LLC",,,,,,,,
58037,Buckeye Union HS District 201,,,,,,,,
60685,Canyon Del Oro High School Solar,,,,,,,,
112,Childs,,,,,,,,
57560,Chino Solar Valley,,,,,,,,
113,Cholla,"4,030","1,809","4,465,726","139,747",2.230,1.001,"2,470.660",0.039
56229,Cogeneration 1,44,0,"16,964",64,1.574,0.017,604.909,0.001
59233,Cogeneration 2,28,0,"10,628",40,1.561,0.016,600.241,0.001
58832,Cogenra - TEP,,,,,,,,
60374,"Concord Blue Eagar, LLC",,,,,,,,
56948,Coolidge Generating Station,10,0,"92,710",353,0.135,0.006,"1,193.681",0.002
58413,Copper Crossing Energy Center,,,,,,,,
57318,Copper Crossing Solar LLC,,,,,,,,
6177,Coronado Generating Station,"3,473",137,"4,584,186","137,769",1.931,0.076,"2,548.276",0.038
57561,Cotton Center Solar,,,,,,,,
143,Crosscut,,,,,,,,
152,Davis Dam,,,,,,,,
59779,Davis Monthan AFB (AZ) West Airfield,,,,,,,,
124,De Moss Petrie Generating Station,1,0,"4,674",19,0.497,0.054,"1,813.543",0.004
55129,Desert Basin Generating Station,100,6,"1,096,691","3,796",0.085,0.005,939.131,0.002
57920,Dolan Springs,,,,,,,,
114,Douglas,2,1,320,5,24.496,14.051,"4,544.156",0.037
57922,Dry Lake Solar,,,,,,,,
57379,Dry Lake Wind II LLC,,,,,,,,
57098,Dry Lake Wind LLC,,,,,,,,
62899,East Line Solar,,,,,,,,
60230,Estrella Mountain PV,,,,,,,,
55711,FirstEnergy,,,,,,,,
57997,Foothills Solar Plant,,,,,,,,
58972,Fort Huachuca Solar PV Project,,,,,,,,
58842,"Gato Montes Solar, LLC",,,,,,,,
59020,Gila Bend,,,,,,,,
55507,Gila Bend Power Generation Station,,,,,,,,
60768,Gila River Power Block 2,"2,468",26,"987,760","3,726",2.196,0.023,878.788,0.002
55306,Gila River Power Station,306,20,"4,051,581","2,402",0.094,0.006,"1,240.911",0.000
58543,"Gilbert Solar Facility I, LLC",,,,,,,,
58501,Gillespie 1,,,,,,,,
153,Glen Canyon Dam,,,,,,,,
57829,Glendale Energy Power Plant,0,3,0,0,0.000,0.447,0.000,0.000
61272,Gray Hawk Solar,,,,,,,,
55124,Griffith Energy Project,83,4,"888,876","3,308",0.080,0.004,858.103,0.002
7179,Headgate Rock,,,,,,,,
8902,Hoover Dam (AZ),,,,,,,,
145,Horse Mesa,,,,,,,,
58383,Hyder II,,,,,,,,
57563,Hyder Solar,,,,,,,,
60822,Intel - Ocotillo Campus Solar,,,,,,,,
56899,IRC Generator Facility,0,0,17,0,112.000,9.800,"5,526.000",0.045
60996,Iron Horse Battery Storage,,,,,,,,
115,Irving,,,,,,,,
126,Irvington Generating Station,"1,530",29,"953,708","3,559",2.166,0.042,"1,350.456",0.003
60603,Jacobson 5 MW Solar,,,,,,,,
58292,Jewish Community Center PV,,,,,,,,
61268,Kayenta Solar Project,,,,,,,,
57775,Kingman 1,,,,,,,,
147,Kyrene Generating Station,34,2,"362,016","1,408",0.079,0.004,848.597,0.002
58652,La Paz Solar Tower,,,,,,,,
57556,La Senita,,,,,,,,
58539,Lake Pleasant WTP,,,,,,,,
57324,Luke Solar,,,,,,,,
57673,Macys Goodyear,,,,,,,,
58466,Mesa Solar Array,,,,,,,,
55481,Mesquite Generating Station,194,13,"2,512,410","3,799",0.067,0.004,867.535,0.001
57707,Mesquite Solar 1,,,,,,,,
60307,"Mesquite Solar 2, LLC",,,,,,,,
60308,"Mesquite Solar 3, LLC",,,,,,,,
59819,Mohave Electric at Fort Mohave,,,,,,,,
148,Mormon Flat,,,,,,,,
4941,Navajo Generating Station,"13,809","5,465","15,263,519","483,643",2.122,0.840,"2,345.088",0.037
55372,"New Harquahala Generating Company, LLC",1,0,"2,184",8,0.545,0.000,"1,144.954",0.002
6088,North Loop,19,0,"7,253",27,4.930,0.050,"1,836.600",0.003
57403,Northwest Regional,0,5,0,0,0.000,0.394,0.000,0.000
56616,Novo BioPower Plant,289,38,158,"28,124",3.180,0.418,1.740,0.155
116,Ocotillo Power Plant,202,1,"194,337",727,1.489,0.007,"1,435.496",0.003
6008,Palo Verde,,,,,,,,
57562,Paloma Solar,,,,,,,,
58293,Paradise Valley H.S. PV,,,,,,,,
58155,Perrin Ranch Wind LLC,,,,,,,,
58708,Phoenix Airport East Economy Lot,,,,,,,,
58709,Phoenix Airport Rental Car Center,,,,,,,,
58486,"Picture Rocks Solar, LLC",,,,,,,,
62075,Pima Community College,,,,,,,,
61104,Pima Community College - East Campus,,,,,,,,
61197,Pima Energy Storage System,,,,,0.000,0.000,0.000,0.000
61678,Pinal Central Energy Center,,,,,,,,
58171,Prairie Fire,,,,,,,,
56228,Prescott Airport,,,,,,,,
58147,Prescott Solar Plant,,,,,,,,
61913,Punkin Center Battery Storage,,,,,,,,
57883,Queen Creek Solar Farm,,,,,,,,
57795,RE Ajo 1 LLC,,,,,,,,
57790,RE Bagdad Solar I LLC,,,,,,,,
58833,Red Horse 2,,,,,,,,
60285,Red Horse III,,,,,,,,
60467,Red Rock,,,,,,,,
55455,Redhawk Generating Facility,149,9,"1,758,441","5,913",0.083,0.005,979.118,0.002
59044,Rio Rico Solar,,,,,,,,
57524,Roger Road WWTP,,,,,,,,
149,Roosevelt,,,,,,,,
58213,Saddle Mountain Solar I,,,,,,,,
59634,Sandstone Solar,,,,,,,,
8068,Santan,84,8,"1,496,970","6,409",0.045,0.004,797.845,0.002
56812,Solana Generating Station,,,,,,,,
100,South Consolidated,,,,,,,,
55177,"South Point Energy Center, LLC",9,1,"121,664",470,0.072,0.005,931.752,0.002
8223,Springerville Generating Station,"6,632","8,814","10,755,534","360,903",1.331,1.770,"2,159.347",0.036
59444,SR85,,,,,,,,
150,Stewart Mountain,,,,,,,,
60381,Sulphur Springs,,,,,,,,
60827,"Sun Streams, LLC",,,,,,,,
55522,Sundance Power Plant,35,1,"252,573",869,0.191,0.007,"1,387.255",0.002
