typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,PLANT,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,fips,state,Unnamed: 24,CAPOW_Name_Description,Plant_list_facilityname,CO2rate,NOXrate,SO2rate
ngct,SCE,49.4,8.35,8.41,8.48,18.0,50.0,1.0,1.0,3.17,20.82191781,3458.0,57027,8,1.0,"115,667",427,0.092,0.006,"1,271.97",0.002,6059,CA,,Canyon Power Plant Unit 2,Canyon Power Plant,1.0543360000000002,0.09700160000000001,0.0053225355
ngct,SCE,49.4,8.35,8.41,8.48,18.0,50.0,1.0,1.0,3.17,20.82191781,3458.0,57027,8,1.0,"115,667",427,0.092,0.006,"1,271.97",0.002,6059,CA,,Canyon Power Plant Unit 3,Canyon Power Plant,1.0543360000000002,0.09700160000000001,0.0053225355
ngct,SCE,49.4,8.35,8.41,8.48,18.0,50.0,1.0,1.0,3.17,20.82191781,3458.0,57027,8,1.0,"115,667",427,0.092,0.006,"1,271.97",0.002,6059,CA,,Canyon Power Plant Unit 4,Canyon Power Plant,1.0543360000000002,0.09700160000000001,0.0053225355
ngct,SCE,48.0,8.02,8.08,8.15,17.0,48.0,1.0,1.0,3.17,20.273972600000004,3360.0,10169,,,,,,,,,6037,CA,,CARSON COGENERATION COMPANY,Carson Cogeneration Company,1.0676854,5.7987013,0.005391459
ngct,SCE,47.0,11.9,11.97,12.03,17.0,47.0,1.0,1.0,3.17,19.726027399999996,3290.0,56475,1,0.0,"10,736",40,0.109,0.006999999999999999,"1,444.76",0.003,6037,CA,highlight ,Center Peaker,Center Generating Station,1.0023657,0.091100164,0.0050609135
ngct,SDGE,35.5,19.33,19.39,19.46,8.0,36.0,1.0,1.0,3.17,15.06849315,2485.0,55540,0,0.0,"3,561",11,0.27399999999999997,0.013000000000000001,"2,319.94",0.004,6073,CA,,Chula Vista Energy Center,Chula Vista Energy Center,1.6646485,0.20735516,0.008405642
ngct,PGE_valley,641.0,5.31,5.37,5.44,225.0,641.0,1.0,1.0,3.17,270.1369863,44870.0,56532,49,6.0,"1,281,242","4,767",0.033,0.004,858.08,0.002,6011,CA,,Colusa Generating Station,Colusa Generating Station,0.90205026,0.11020342,0.0045537925
ngcc,PGE_bay,19.0,15.58,15.98,16.38,8.0,19.0,6.0,6.0,2.0,2.62,1330.0,228,,,,,,,,,6013,CA,,CONTRA COSTA CARBON PLANT,Contra Costa Generating Station,,,
ngct,SCE,92.09,7.63,7.7,7.76,33.0,93.0,1.0,1.0,3.17,38.90410959,6446.3,57482,26,2.0,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 1,"Sentinel Energy Center, LLC",0.9026769,0.1082482,0.00455531
ngct,SCE,92.4,7.63,7.7,7.76,33.0,93.0,1.0,1.0,3.17,38.90410959,6468.0,57482,26,2.0,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 2,"Sentinel Energy Center, LLC",0.9026769,0.1082482,0.00455531
ngct,SCE,92.36,7.63,7.7,7.76,33.0,93.0,1.0,1.0,3.17,38.90410959,6465.2,57482,26,2.0,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 3,"Sentinel Energy Center, LLC",0.9026769,0.1082482,0.00455531
ngct,SCE,91.98,7.63,7.7,7.76,33.0,92.0,1.0,1.0,3.17,38.90410959,6438.6,57482,26,2.0,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 4,"Sentinel Energy Center, LLC",0.9026769,0.1082482,0.00455531
ngct,SCE,91.83,7.63,7.7,7.76,33.0,92.0,1.0,1.0,3.17,38.63013699,6428.1,57482,26,2.0,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 5,"Sentinel Energy Center, LLC",0.9026769,0.1082482,0.00455531
ngct,SCE,92.16,7.63,7.7,7.76,33.0,93.0,1.0,1.0,3.17,38.90410959,6451.2,57482,26,2.0,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 6,"Sentinel Energy Center, LLC",0.9026769,0.1082482,0.00455531
ngct,SCE,91.84,7.63,7.7,7.76,33.0,92.0,1.0,1.0,3.17,38.63013699,6428.8,57482,26,2.0,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 7,"Sentinel Energy Center, LLC",0.9026769,0.1082482,0.00455531
ngct,SCE,91.56,7.63,7.7,7.76,33.0,92.0,1.0,1.0,3.17,38.63013699,6409.2,57482,26,2.0,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 8,"Sentinel Energy Center, LLC",0.9026769,0.1082482,0.00455531
ngct,PGE_bay,48.0,9.46,9.53,9.59,17.0,48.0,1.0,1.0,3.17,20.21917808,3360.0,55625,2,0.0,"9,908",34,0.248,0.008,"1,528.05",0.003,6095,CA,,CREED ENERGY CENTER,Creed Energy Center,1.0009304,0.20335068,0.0050532464
ngct,SDGE,45.42,11.9,11.97,12.03,6.0,46.0,1.0,1.0,3.17,19.17808219,3179.4,55512,1,0.0,"9,891",38,0.128,0.006999999999999999,"1,328.75",0.003,6073,CA,,Cuyamaca Peak Energy Plant,Cuyamaca Peak Energy,,,
ngcc,PGE_bay,880.0,10.22,10.48,10.74,352.0,880.0,4.0,4.0,2.0,404.3542435,61600.0,55333,84,7.0,"1,311,502","5,032",0.054000000000000006,0.004,851.165,0.002,6013,CA,,DELTA ENERGY CENTER (AGGREGATE),"Delta Energy Center, LLC",0.84450203,0.08486084,0.0042634840000000005
ngcc,PGE_bay,147.8,7.86,8.12,8.38,60.0,148.0,2.0,2.0,2.0,67.89667897,10346.0,56026,21,2.0,"406,623","1,627",0.049,0.005,944.164,0.002,6085,CA,,DONALD VON RAESFELD POWER PLANT,Donald Von Raesfeld,0.91596186,0.0754005,0.0046243994
ngct,SDGE,48.1,8.13,8.2,8.26,16.0,49.0,1.0,1.0,3.17,20.273972600000004,3367.0,57001,1,0.0,"11,160",41,0.133,0.006999999999999999,"1,333.63",0.002,6073,CA,,El Cajon Energy Center,El Cajon Energy Center,0.9338346,0.20573070000000002,0.0047141486
ngcc,SCE,263.0,9.29,9.55,9.81,106.0,263.0,1.0,1.0,2.0,121.0332103,18410.0,330,22,3.0,"534,744","1,979",0.042,0.005,"1,013.95",0.002,6037,CA,,El Segundo Energy Center 5/6,El Segundo,0.954083,0.04786788,0.0048164720000000005
ngcc,SCE,263.68,9.29,9.55,9.81,106.0,264.0,1.0,1.0,2.0,121.0332103,18457.6,330,22,3.0,"534,744","1,979",0.042,0.005,"1,013.95",0.002,6037,CA,,El Segundo Energy Center 7/8,El Segundo,0.954083,0.04786788,0.0048164720000000005
ngct,SDGE,48.71,7.63,7.7,7.76,38.0,49.0,1.0,1.0,3.17,20.54794521,3409.7,55538,1,0.0,"15,768",58,0.09300000000000001,0.006,"1,248.42",0.002,6073,CA,,Escondido Energy Center,"Escondido Energy Center, LLC",0.8829454999999999,0.11411254,0.0044577867
ngst,SCE,320.0,11.26,11.97,12.67,128.0,320.0,6.0,6.0,2.0,66.3803681,22400.0,331,,,,,,,,,6071,CA,,ETIWANDA UNIT 3,Etiwanda Generating Station,,,
ngst,SCE,320.0,11.26,11.97,12.67,128.0,320.0,6.0,6.0,2.0,66.3803681,22400.0,331,,,,,,,,,6071,CA,,ETIWANDA UNIT 4,Etiwanda Generating Station,,,
ngct,PGE_valley,46.3,9.15,9.21,9.28,17.0,47.0,1.0,1.0,3.17,19.45205479,3241.0,55847,15,0.0,"24,253",86,0.9129999999999999,0.006999999999999999,"1,464.84",0.003,6101,CA,,FEATHER RIVER ENERGY CENTER,Feather River Energy Center,1.0589151,2.161508,0.005348824
ngcc,PGE_valley,50.6,6.64,6.9,7.16,21.0,51.0,4.0,4.0,2.0,23.24723247,3542.0,10156,0,0.0,799,9,0.022000000000000002,0.001,271.491,0.002,6019,CA,,FRESNO COGEN PLANT,"Fresno Cogeneration Partners, LP",1.6389683000000002,0.15376277,0.008280715
ngct,PGE_valley,22.69,8.02,8.08,8.15,8.0,23.0,1.0,1.0,3.17,9.589041096,1588.3,10156,0,0.0,799,9,0.022000000000000002,0.001,271.491,0.002,6019,CA,,FRESNO PEAKER PLANT,"Fresno Cogeneration Partners, LP",1.6389683000000002,0.15376277,0.008280715
ngcc,PGE_bay,562.5,5.91,6.17,6.43,225.0,563.0,1.0,1.0,2.0,258.4870849,39375.0,56476,69,6.0,"1,281,527","4,669",0.047,0.004,874.837,0.002,6013,CA,,Gateway Generating Station,Gateway Generating Station,0.8899518,0.10785604,0.0044927990000000004
ngct,PGE_bay,204.2,8.65,8.71,8.78,72.0,205.0,1.0,1.0,3.17,86.08219178,14294.0,57267,9,1.0,"153,343",560,0.083,0.006999999999999999,"1,397.80",0.003,6013,CA,highlight ,GENON MARSH LANDING GEN STATION UNIT 1,Marsh Landing Generating Station,1.0971411,0.07877666,0.00553889
ngct,PGE_bay,202.7,8.65,8.71,8.78,71.0,203.0,1.0,1.0,3.17,85.45205479,14189.0,57267,9,1.0,"153,343",560,0.083,0.006999999999999999,"1,397.80",0.003,6013,CA,highlight ,GENON MARSH LANDING GEN STATION UNIT 2,Marsh Landing Generating Station,1.0971411,0.07877666,0.00553889
ngct,PGE_bay,208.96,8.65,8.71,8.78,74.0,209.0,1.0,1.0,3.17,88.08219178,14627.2,57267,9,1.0,"153,343",560,0.083,0.006999999999999999,"1,397.80",0.003,6013,CA,highlight ,GENON MARSH LANDING GEN STATION UNIT 3,Marsh Landing Generating Station,1.0971411,0.07877666,0.00553889
ngct,PGE_bay,204.29,8.65,8.71,8.78,72.0,205.0,1.0,1.0,3.17,86.10958904,14300.3,57267,9,1.0,"153,343",560,0.083,0.006999999999999999,"1,397.80",0.003,6013,CA,highlight ,GENON MARSH LANDING GEN STATION UNIT 4,Marsh Landing Generating Station,1.0971411,0.07877666,0.00553889
ngct,PGE_bay,46.2,11.9,11.96,12.03,17.0,47.0,1.0,1.0,3.17,19.45205479,3234.0,55810,5,0.0,"18,021",67,0.366,0.006999999999999999,"1,404.61",0.003,6085,CA,,Gilroy Energy Center Unit 3,"Gilroy Energy Center, LLC",1.0169479,0.42597616,0.0051279124
ngct,SCE,22.07,8.06,8.13,8.19,8.0,23.0,1.0,1.0,3.17,9.315068493,1544.9,422,7,0.0,"46,609",257,0.13699999999999998,0.004,869.306,0.002,6037,CA,highlight ,Glen Arm Power Plant 1,Glenarm,0.9948424000000001,0.07544661,0.004753903
ngct,SCE,22.3,8.06,8.13,8.19,8.0,23.0,1.0,1.0,3.17,9.315068493,1561.0,422,7,0.0,"46,609",257,0.13699999999999998,0.004,869.306,0.002,6037,CA,highlight ,Glen Arm Power Plant 2,Glenarm,0.9948424000000001,0.07544661,0.004753903
ngct,SCE,44.83,8.06,8.13,8.19,16.0,45.0,1.0,1.0,3.17,18.90410959,3138.1,422,7,0.0,"46,609",257,0.13699999999999998,0.004,869.306,0.002,6037,CA,highlight ,Glen Arm Power Plant 3,Glenarm,0.9948424000000001,0.07544661,0.004753903
ngct,SCE,42.42,8.06,8.13,8.19,15.0,43.0,1.0,1.0,3.17,17.80821918,2969.4,422,7,0.0,"46,609",257,0.13699999999999998,0.004,869.306,0.002,6037,CA,highlight ,Glen Arm Power Plant 4,Glenarm,0.9948424000000001,0.07544661,0.004753903
ngct,SDGE,49.9,6.97,7.04,7.1,113.0,50.0,1.0,1.0,3.17,21.09589041,3493.0,54749,1,0.0,"7,976",30,0.10800000000000001,0.004,879.319,0.002,6073,CA,,Goal Line Cogen,Goal Line,0.9566627000000001,0.19315283,0.00483242
ngct,PGE_bay,48.0,9.66,9.73,9.79,17.0,48.0,1.0,1.0,3.17,20.21917808,3360.0,55627,2,0.0,"8,964",33,0.24600000000000002,0.008,"1,440.30",0.003,6095,CA,,GOOSE HAVEN ENERGY CENTER,Goose Haven Energy Center,1.0042971,0.26949546,0.0050688954
ngct,SCE,46.0,11.9,11.97,12.03,17.0,46.0,1.0,1.0,3.17,19.45205479,3220.0,56472,1,0.0,"7,537",29,0.17800000000000002,0.008,"1,523.80",0.003,6071,CA,highlight ,Grapeland Peaker,Grapeland Generating Station,1.0563595,0.14435716,0.00533261
ngcc,PGE_valley,49.5,6.64,6.9,7.16,20.0,50.0,6.0,6.0,2.0,22.87822878,3465.0,10350,25,0.0,"27,104",112,0.758,0.004,808.908,0.002,6101,CA,,GREENLEAF UNIT #1 (Aggregate),Greenleaf One,1.1375917,1.7027781000000002,0.005743160400000001
ngct,PGE_valley,63.75,8.02,8.08,8.15,23.0,64.0,1.0,1.0,3.17,26.84931507,4462.5,10350,25,0.0,"27,104",112,0.758,0.004,808.908,0.002,6101,CA,,GREENLEAF UNIT #2,Greenleaf One,1.1375917,1.7027781000000002,0.005743160400000001
ngcc,SCE,109.01,10.65,10.91,11.17,44.0,110.0,4.0,4.0,2.0,50.18450185,7630.7,399,8,0.0,"32,118",118,0.41600000000000004,0.01,"1,729.55",0.003,6037,CA,,HARBOR COGEN COMBINED CYCLE PLANT,Harbor Generating Station,1.2477002000000001,0.3346562,0.0068777709999999995
ngct,PGE_valley,49.98,7.41,7.47,7.54,18.0,50.0,1.0,1.0,3.17,21.09589041,3498.6,55807,2,0.0,"20,499",82,0.139,0.006999999999999999,"1,246.03",0.002,6031,CA,,Henrietta Peaker Plant Unit 1,Henrietta Peaker Plant,0.94352204,0.15666197,0.0047656320000000005
ngct,PGE_valley,49.42,7.41,7.47,7.54,18.0,50.0,1.0,1.0,3.17,20.82191781,3459.4,55807,2,0.0,"20,499",82,0.139,0.006999999999999999,"1,246.03",0.002,6031,CA,,Henrietta Peaker Plant Unit 2,Henrietta Peaker Plant,0.94352204,0.15666197,0.0047656320000000005
ngcc,SCE,830.0,7.29,7.56,7.82,332.0,830.0,4.0,4.0,2.0,381.54981549999997,58100.0,55518,96,7.0,"1,343,201","4,951",0.064,0.004,889.743,0.002,6071,CA,,HIGH DESERT POWER PROJECT (AGGREGATE),High Desert Power Project,0.9123114,0.120280266,0.0046053426
ngct,PGE_valley,97.62,7.19,7.26,7.32,35.0,98.0,1.0,1.0,3.17,41.09589041,6833.4,246,"4,463",5.0,"197,114",761,23.255,0.027999999999999997,"1,027.01",0.002,6023,CA,,Humboldt Bay Generating Station 1,Humboldt Bay,,,
ngct,PGE_valley,65.08,7.19,7.26,7.32,23.0,66.0,1.0,1.0,3.17,27.39726027,4555.6,246,"4,463",5.0,"197,114",761,23.255,0.027999999999999997,"1,027.01",0.002,6023,CA,,Humboldt Bay Generating Station 3,Humboldt Bay,,,
ngst,SCE,225.75,11.19,11.89,12.6,91.0,226.0,6.0,6.0,2.0,46.87116564,15802.5,335,26,1.0,"223,597",812,0.161,0.006999999999999999,"1,399.57",0.003,6059,CA,,Huntington Beach 1,AES Huntington Beach,,,
ngst,SCE,225.8,11.19,11.89,12.6,91.0,226.0,6.0,6.0,2.0,46.87116564,15806.0,335,26,1.0,"223,597",812,0.161,0.006999999999999999,"1,399.57",0.003,6059,CA,,Huntington Beach 2,AES Huntington Beach,,,
ngct,SCE,44.0,11.9,11.97,12.03,16.0,44.0,1.0,1.0,3.17,18.63013699,3080.0,55541,4,0.0,"21,276",79,0.237,0.006999999999999999,"1,274.93",0.002,6065,CA,,Indigo Energy 1,Indigo Generation Facility,0.8011499,0.18091998,0.0040443344
ngct,SCE,44.53,11.9,11.97,12.03,16.0,45.0,1.0,1.0,3.17,18.90410959,3117.1,55541,4,0.0,"21,276",79,0.237,0.006999999999999999,"1,274.93",0.002,6065,CA,,Indigo Energy 2,Indigo Generation Facility,0.8011499,0.18091998,0.0040443344
ngct,SCE,43.69,11.9,11.97,12.03,16.0,44.0,1.0,1.0,3.17,18.35616438,3058.3,55541,4,0.0,"21,276",79,0.237,0.006999999999999999,"1,274.93",0.002,6065,CA,,Indigo Energy 3,Indigo Generation Facility,0.8011499,0.18091998,0.0040443344
ngcc,SCE,366.32,5.62,5.88,6.14,147.0,367.0,1.0,1.0,2.0,168.26568269999999,25642.4,55853,4,0.0,"87,108",324,0.045,0.004,864.59,0.002,6065,CA,,"Inland Empire Energy Center, L.L.C. Unit 2",Inland Empire Energy Center,,,
ngcc,SCE,376.2,5.62,5.88,6.14,151.0,377.0,2.0,2.0,2.0,172.6937269,26334.0,55853,4,0.0,"87,108",324,0.045,0.004,864.59,0.002,6065,CA,,"Inland Empire Energy Center, Unit 1",Inland Empire Energy Center,,,
ngct,PGE_valley,44.6,9.43,9.49,9.56,16.0,45.0,1.0,1.0,3.17,18.90410959,3122.0,10294,1,0.0,"5,179",628,0.003,0.0,27.643,0.002,6053,CA,,King City Energy Center,King City Power Plant,1.1873053,0.6628753000000001,0.0059956117
ngcc,PGE_valley,259.8,6.0,6.26,6.52,104.0,260.0,3.0,3.0,2.0,119.5571956,18186.0,55151,31,2.0,"473,948","1,754",0.059000000000000004,0.005,895.003,0.002,6029,CA,,LA PALOMA UNIT 1,La Paloma Generating Plant,0.9656531999999999,0.29204267,0.0048753344
ngcc,PGE_valley,260.2,6.0,6.26,6.52,105.0,261.0,3.0,3.0,2.0,119.5571956,18214.0,55151,31,2.0,"473,948","1,754",0.059000000000000004,0.005,895.003,0.002,6029,CA,,LA PALOMA UNIT 2,La Paloma Generating Plant,0.9656531999999999,0.29204267,0.0048753344
ngcc,PGE_valley,256.15,6.0,6.26,6.52,103.0,257.0,3.0,3.0,2.0,117.71217709999999,17930.5,55151,31,2.0,"473,948","1,754",0.059000000000000004,0.005,895.003,0.002,6029,CA,,LA PALOMA UNIT 3,La Paloma Generating Plant,0.9656531999999999,0.29204267,0.0048753344
ngcc,PGE_valley,259.54,6.0,6.26,6.52,104.0,260.0,2.0,2.0,2.0,119.18819189999999,18167.8,55151,31,2.0,"473,948","1,754",0.059000000000000004,0.005,895.003,0.002,6029,CA,,LA PALOMA UNIT 4,La Paloma Generating Plant,0.9656531999999999,0.29204267,0.0048753344
ngct,PGE_valley,48.0,9.58,9.65,9.71,17.0,48.0,1.0,1.0,3.17,20.273972600000004,3360.0,55626,2,0.0,"9,636",35,0.239,0.008,"1,449.06",0.003,6095,CA,,LAMBIE ENERGY CENTER,Lambie Energy Center,1.0518413999999998,0.26900503,0.0053139003
ngct,SDGE,46.1,11.9,11.97,12.03,22.0,47.0,1.0,1.0,3.17,19.45205479,3227.0,55542,4,0.0,"27,531",96,0.191,0.006,"1,229.52",0.002,6073,CA,,Larkspur 1,Larkspur Energy Faciity,0.8099930999999999,0.21732039999999997,0.0040893642999999995
ngct,SDGE,47.98,11.9,11.97,12.03,18.0,48.0,1.0,1.0,3.17,20.273972600000004,3358.6,55542,4,0.0,"27,531",96,0.191,0.006,"1,229.52",0.002,6073,CA,,Larkspur 2,Larkspur Energy Faciity,0.8099930999999999,0.21732039999999997,0.0040893642999999995
ngct,PGE_valley,49.9,9.47,9.53,9.6,18.0,50.0,1.0,1.0,3.17,21.09589041,3493.0,57978,29,3.0,"593,191","2,201",0.042,0.004,843.476,0.002,6077,CA,,Lodi Steam Injected Gas Turbine,Lodi Energy Center,1.2444709999999999,0.06551967,0.0062826225
ngct,SCE,65.0,14.76,14.83,14.89,23.0,65.0,1.0,1.0,3.17,27.39726027,4550.0,341,6,0.0,"23,652",85,0.57,0.011000000000000001,"2,101.41",0.004,6037,CA,,Long Beach - Unit 1,Long Beach Generating Station,1.8101058999999997,1.1898185,0.009151736
ngct,SCE,65.0,14.76,14.83,14.89,23.0,65.0,1.0,1.0,3.17,27.39726027,4550.0,341,6,0.0,"23,652",85,0.57,0.011000000000000001,"2,101.41",0.004,6037,CA,,Long Beach - Unit 2,Long Beach Generating Station,1.8101058999999997,1.1898185,0.009151736
ngct,SCE,65.0,14.76,14.83,14.89,23.0,65.0,1.0,1.0,3.17,27.39726027,4550.0,341,6,0.0,"23,652",85,0.57,0.011000000000000001,"2,101.41",0.004,6037,CA,,Long Beach - Unit 3,Long Beach Generating Station,1.8101058999999997,1.1898185,0.009151736
ngct,SCE,65.0,14.76,14.83,14.89,23.0,65.0,1.0,1.0,3.17,27.39726027,4550.0,341,6,0.0,"23,652",85,0.57,0.011000000000000001,"2,101.41",0.004,6037,CA,,Long Beach - Unit 4,Long Beach Generating Station,1.8101058999999997,1.1898185,0.009151736
ngct,PGE_bay,294.0,11.9,11.96,12.03,103.0,294.0,1.0,1.0,3.17,123.9452055,20580.0,55748,9,1.0,"177,973",663,0.05,0.005,998.641,0.002,6085,CA,,LOS ESTEROS ENERGY FACILITY (AGGREGATE),Los Esteros Critical Energy Facility,0.9254194,0.04978947,0.00467266
ngcc,PGE_bay,561.29,8.36,8.62,8.88,225.0,562.0,4.0,4.0,2.0,257.896679,39290.3,55217,78,7.0,"1,288,189","4,722",0.047,0.004,786.743,0.001,6013,CA,,LOS MEDANOS ENERGY CENTER (AGGREGATE),"Los Medanos Energy Center, LLC",0.8115296999999999,0.049922477,0.004096855999999999
ngcc,PGE_valley,96.0,7.61,7.87,8.13,39.0,96.0,2.0,2.0,2.0,44.280442799999996,6720.0,56239,2,0.0,"17,289",63,0.168,0.006999999999999999,"1,250.12",0.002,6019,CA,,Malaga Power Aggregate,Malaga Power,0.9172019,0.1743366,0.004630466
ngcc,SCE,134.0,7.86,8.12,8.38,54.0,134.0,3.0,3.0,2.0,61.62361624,9380.0,56041,16,1.0,"236,196",876,0.066,0.005,985.457,0.002,6037,CA,,Malburg Generating Station,Malburg Generating Station,0.9514154,0.073469914,0.0048042038
ngst,SCE,215.0,8.87,9.57,10.28,86.0,215.0,6.0,6.0,2.0,44.66257669,15050.0,345,,,,,,,,,6111,CA,,Mandalay 1,Mandalay Generating Station,,,
ngst,SCE,215.29,8.87,9.57,10.28,87.0,216.0,6.0,6.0,2.0,44.66257669,15070.3,345,,,,,,,,,6111,CA,,Mandalay 2,Mandalay Generating Station,,,
ngct,SCE,130.0,28.33,28.4,28.46,46.0,130.0,1.0,1.0,3.17,54.79452055,9100.0,345,,,,,,,,,6111,CA,,Mandalay 3 GT,Mandalay Generating Station,,,
ngct,PGE_bay,196.0,8.64,8.7,8.77,69.0,196.0,1.0,1.0,3.17,82.63013699,13720.0,57483,8,0.0,"71,920",271,0.134,0.006999999999999999,"1,281.88",0.002,6001,CA,,Mariposa Energy Project,Mariposa Energy Project,0.95503485,0.13339707,0.005392879000000001
ngct,SCE,47.2,11.9,11.97,12.03,17.0,48.0,1.0,1.0,3.17,20.0,3304.0,56471,1,0.0,"14,287",54,0.11599999999999999,0.006,"1,192.46",0.002,6111,CA,highlight ,McGrath Beach Peaker,McGrath Generating Station,0.88280827,0.10179300599999999,0.0044564437
ngcc,PGE_bay,593.16,5.97,6.23,6.49,238.0,594.0,2.0,2.0,2.0,272.5461255,41521.2,55393,57,5.0,"907,332","3,490",0.055,0.004,872.505,0.002,6085,CA,,METCALF ENERGY CENTER,Metcalf Energy Center,0.89004636,0.093041755,0.0044936957000000005
ngct,PGE_valley,119.91,7.6,7.66,7.73,42.0,120.0,1.0,1.0,3.17,50.68493151,8393.7,56639,5,0.0,"33,289",120,0.212,0.006999999999999999,"1,348.99",0.002,6019,CA,,Midway Peaking LLC,Midway Peaking,1.0393903,0.16632469,0.0052493266000000005
