PLANT,unitid,CO2rate,NOXrate,SO2rate,yr,Fuel,INTER,maxgload,maxramp,minramp,state,facilityname,fipscode
400,10,0.84520143,0.0863378,0.0043429136,2019,Gas,West,292.0,111.0,-90.0,CA,Haynes Generating Station,37
400,11,1.0558622,0.07968314,0.0054280753,2019,Gas,West,102.0,97.0,-94.0,CA,Haynes Generating Station,37
400,12,1.0655187,0.08910585,0.0054821614,2019,Gas,West,102.0,97.0,-93.0,CA,Haynes Generating Station,37
400,13,1.0491421,0.08573084,0.005395146,2019,Gas,West,102.0,97.0,-93.0,CA,Haynes Generating Station,37
400,14,1.0734226,0.117075995,0.005519394,2019,Gas,West,102.0,97.0,-95.0,CA,Haynes Generating Station,37
400,15,1.068546,0.09095321,0.005495342,2019,Gas,West,102.0,98.0,-95.0,CA,Haynes Generating Station,37
400,16,1.0670958,0.09466075,0.0054868655,2019,Gas,West,104.0,97.0,-94.0,CA,Haynes Generating Station,37
400,2,1.4008342,0.057069603,0.007203851,2019,Gas,West,213.0,58.0,-61.0,CA,Haynes Generating Station,37
400,5,,,,2019,Gas,West,286.0,52.0,-56.0,CA,Haynes Generating Station,37
400,6,,,,2019,Gas,West,230.0,53.0,-57.0,CA,Haynes Generating Station,37
400,9,0.8437523,0.081392616,0.004338232,2019,Gas,West,293.0,109.0,-103.0,CA,Haynes Generating Station,37
404,1,1.3525184,0.015427796,0.0069485824,2019,Gas,West,142.0,27.0,-30.0,CA,Scattergood Generating Station,37
404,2,1.3221505,0.08730659,0.006792788,2019,Gas,West,153.0,33.0,-37.0,CA,Scattergood Generating Station,37
404,3,,,,2019,Gas,West,453.0,135.0,-146.0,CA,Scattergood Generating Station,37
404,4,1.2540745,0.065547176,0.0064425333,2019,Gas,West,315.0,100.0,-101.0,CA,Scattergood Generating Station,37
404,6,1.0817397,0.09355222,0.005557034,2019,Gas,West,105.0,101.0,-96.0,CA,Scattergood Generating Station,37
404,7,1.1089928,0.092161775,0.005698604,2019,Gas,West,105.0,99.0,-97.0,CA,Scattergood Generating Station,37
408,5,1.3124001,0.4735247,0.0069456547,2019,Gas,West,47.0,43.0,-42.0,CA,Valley Generating Station,37
408,6,0.8804431,0.13630442,0.004527872,2019,Gas,West,274.0,135.0,-145.0,CA,Valley Generating Station,37
408,7,0.8538582,0.0952088,0.0043913657,2019,Gas,West,272.0,133.0,-145.0,CA,Valley Generating Station,37
420,B3,,,,2019,Gas,West,61.0,22.0,-24.0,CA,Broadway,37
422,GT3,1.228134,0.36946893,0.006201375,2019,Gas,West,46.0,24.0,-24.0,CA,Glenarm,37
422,GT4,1.1030507,0.331801,0.0055695,2019,Gas,West,45.0,24.0,-22.0,CA,Glenarm,37
422,GT5,0.9948424,0.07544661,0.004753903,2019,Gas,West,70.0,33.0,-35.0,CA,Glenarm,37
7266,1,1.0142018,0.1272022,0.005123364,2019,Gas,West,47.0,20.0,-14.0,CA,Woodland Generation Station,99
7266,2,0.999123,0.057352852,0.00504481,2019,Gas,West,79.0,20.0,-19.0,CA,Woodland Generation Station,99
7307,5,1.0118396,0.091778725,0.0051092426,2019,Gas,West,57.0,17.0,-13.0,CA,Redding Power Plant,89
7307,6,0.98839957,0.08265669,0.0049905954,2019,Gas,West,56.0,16.0,-13.0,CA,Redding Power Plant,89
7315,1,1.1266042,0.13205078,0.005687327,2019,Gas,West,48.0,20.0,-19.0,CA,Almond Power Plant,99
7315,2,1.1441814,0.09062615,0.005777109,2019,Gas,West,53.0,28.0,-29.0,CA,Almond Power Plant,99
7315,3,1.2423689,0.09050374,0.0062727905,2019,Gas,West,52.0,26.0,-28.0,CA,Almond Power Plant,99
7315,4,1.1730028,0.0890441,0.005922279,2019,Gas,West,53.0,28.0,-29.0,CA,Almond Power Plant,99
7449,NA1,0.94042164,0.28200305,0.0047480497,2019,Gas,West,51.0,34.0,-37.0,CA,NCPA Combustion Turbine Project #2,77
7527,1,1.050053,0.060414657,0.00539496,2019,Gas,West,60.0,18.0,-18.0,CA,Carson Cogeneration,67
7527,2,1.0977039,0.16188699,0.0055431556,2019,Gas,West,42.0,36.0,-31.0,CA,Carson Cogeneration,67
7551,1A,0.97962207,0.06557444,0.004946313,2019,Gas,West,62.0,15.0,-14.0,CA,SCA Cogen II,67
7551,1B,1.0671358,0.06516826,0.0053880853,2019,Gas,West,61.0,14.0,-13.0,CA,SCA Cogen II,67
7551,1C,1.0369853,0.09951739,0.005235349,2019,Gas,West,50.0,40.0,-36.0,CA,SCA Cogen II,67
7552,1,0.862536,0.07177616,0.004354562,2019,Gas,West,182.0,45.0,-43.0,CA,Sacramento Power Authority Cogen,67
7693,1,1.0555981,0.23461242,0.005329389,2019,Gas,West,48.0,31.0,-39.0,CA,Anaheim Combustion Turbine,59
10034,S-100,0.94050074,0.44690076,0.0047478,2019,Gas,West,128.0,66.0,-81.0,CA,"Calpine Gilroy Cogen, LP",85
10156,GEN1,1.6389683,0.15376277,0.008280715,2019,Gas,West,44.0,23.0,-25.0,CA,"Fresno Cogeneration Partners, LP",19
10169,D1,1.0676854,5.7987013,0.005391459,2019,Gas,West,55.0,26.0,-32.0,CA,Carson Cogeneration Company,37
10294,2,0.8733365,0.120073445,0.004405182,2019,Gas,West,47.0,23.0,-35.0,CA,King City Power Plant,53
