typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,facilityname,PLANT,fips,state,Unnamed: 18,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,CO2rate,NOXrate,SO2rate
ngcc,SCE,493.63,9.91,10.17,10.43,198.0,494.0,1.0,1.0,2.0,226.93726940000002,34554.1,Blythe Energy Project,Blythe Energy,55295,6065,CA,,72,6,"1,200,143","4,378",0.054000000000000006,0.004,890.354,0.002,1.324998,0.10248610000000001,0.006689199999999999
ngst,SCE,65.0,11.19,11.89,12.6,26.0,65.0,6.0,6.0,2.0,13.49693252,4550.0,Broadway 3,Broadway,420,6037,CA,,,,,,,,,,,,
ngcc,PGE_valley,135.0,6.64,6.9,7.16,54.0,135.0,5.0,5.0,2.0,61.99261993,9450.0,CALPINE AMERICAN I COGEN (Aggregate),"Calpine Gilroy Cogen, LP",10034,6085,CA,,9,0,"43,583",166,0.166,0.004,848.902,0.002,0.9505190999999998,0.34053979999999995,0.0047983999999999995
ngct,SCE,49.4,8.35,8.41,8.48,18.0,50.0,1.0,1.0,3.17,20.82191781,3458.0,Canyon Power Plant Unit 1,Canyon Power Plant,57027,6059,CA,,8,1,"115,667",427,0.092,0.006,"1,271.966",0.002,1.058235,0.10020230000000001,0.005342100000000001
ngct,SCE,49.4,8.35,8.41,8.48,18.0,50.0,1.0,1.0,3.17,20.82191781,3458.0,Canyon Power Plant Unit 2,Canyon Power Plant,57027,6059,CA,,8,1,"115,667",427,0.092,0.006,"1,271.966",0.002,1.058235,0.10020230000000001,0.005342100000000001
ngct,SCE,49.4,8.35,8.41,8.48,18.0,50.0,1.0,1.0,3.17,20.82191781,3458.0,Canyon Power Plant Unit 3,Canyon Power Plant,57027,6059,CA,,8,1,"115,667",427,0.092,0.006,"1,271.966",0.002,1.058235,0.10020230000000001,0.005342100000000001
ngct,SCE,49.4,8.35,8.41,8.48,18.0,50.0,1.0,1.0,3.17,20.82191781,3458.0,Canyon Power Plant Unit 4,Canyon Power Plant,57027,6059,CA,,8,1,"115,667",427,0.092,0.006,"1,271.966",0.002,1.058235,0.10020230000000001,0.005342100000000001
ngct,SCE,48.0,8.02,8.08,8.15,17.0,48.0,1.0,1.0,3.17,20.273972600000004,3360.0,CARSON COGENERATION COMPANY,Carson Cogeneration Company,10169,6037,CA,,,,,,,,,,1.081572,5.743040000000001,0.0054619
ngct,SCE,47.0,11.9,11.97,12.03,17.0,47.0,1.0,1.0,3.17,19.726027399999996,3290.0,Center Peaker,Center Generating Station,56475,6037,CA,highlight ,1,0,"10,736",40,0.109,0.006999999999999999,"1,444.758",0.003,1.107216,0.14237979999999997,0.005591
ngct,SDGE,35.5,19.33,19.39,19.46,8.0,36.0,1.0,1.0,3.17,15.06849315,2485.0,Chula Vista Energy Center,Chula Vista Energy Center,55540,6073,CA,,0,0,"3,561",11,0.27399999999999997,0.013000000000000001,"2,319.935",0.004,2.152354,0.3451732,0.010867700000000001
ngct,PGE_valley,641.0,5.31,5.37,5.44,225.0,641.0,1.0,1.0,3.17,270.1369863,44870.0,Colusa Generating Station,Colusa Generating Station,56532,6011,CA,,49,6,"1,281,242","4,767",0.033,0.004,858.080,0.002,0.9006613000000001,0.1174098,0.0045467
ngcc,PGE_bay,19.0,15.58,15.98,16.38,8.0,19.0,6.0,6.0,2.0,2.62,1330.0,CONTRA COSTA CARBON PLANT,Contra Costa Generating Station,228,6013,CA,,,,,,,,,,,,
ngct,SCE,92.09,7.63,7.7,7.76,33.0,93.0,1.0,1.0,3.17,38.90410959,6446.3,CPV Sentinel Unit 1,"Sentinel Energy Center, LLC",57482,6065,CA,highlight ,26,2,"295,906","1,098",0.106,0.006,"1,218.579",0.002,0.9316388000000001,0.09882560000000001,0.0047026
ngct,SCE,92.4,7.63,7.7,7.76,33.0,93.0,1.0,1.0,3.17,38.90410959,6468.0,CPV Sentinel Unit 2,"Sentinel Energy Center, LLC",57482,6065,CA,highlight ,26,2,"295,906","1,098",0.106,0.006,"1,218.579",0.002,0.9316388000000001,0.09882560000000001,0.0047026
ngct,SCE,92.36,7.63,7.7,7.76,33.0,93.0,1.0,1.0,3.17,38.90410959,6465.2,CPV Sentinel Unit 3,"Sentinel Energy Center, LLC",57482,6065,CA,highlight ,26,2,"295,906","1,098",0.106,0.006,"1,218.579",0.002,0.9316388000000001,0.09882560000000001,0.0047026
ngct,SCE,91.98,7.63,7.7,7.76,33.0,92.0,1.0,1.0,3.17,38.90410959,6438.6,CPV Sentinel Unit 4,"Sentinel Energy Center, LLC",57482,6065,CA,highlight ,26,2,"295,906","1,098",0.106,0.006,"1,218.579",0.002,0.9316388000000001,0.09882560000000001,0.0047026
ngct,SCE,91.83,7.63,7.7,7.76,33.0,92.0,1.0,1.0,3.17,38.63013699,6428.1,CPV Sentinel Unit 5,"Sentinel Energy Center, LLC",57482,6065,CA,highlight ,26,2,"295,906","1,098",0.106,0.006,"1,218.579",0.002,0.9316388000000001,0.09882560000000001,0.0047026
ngct,SCE,92.16,7.63,7.7,7.76,33.0,93.0,1.0,1.0,3.17,38.90410959,6451.2,CPV Sentinel Unit 6,"Sentinel Energy Center, LLC",57482,6065,CA,highlight ,26,2,"295,906","1,098",0.106,0.006,"1,218.579",0.002,0.9316388000000001,0.09882560000000001,0.0047026
ngct,SCE,91.84,7.63,7.7,7.76,33.0,92.0,1.0,1.0,3.17,38.63013699,6428.8,CPV Sentinel Unit 7,"Sentinel Energy Center, LLC",57482,6065,CA,highlight ,26,2,"295,906","1,098",0.106,0.006,"1,218.579",0.002,0.9316388000000001,0.09882560000000001,0.0047026
ngct,SCE,91.56,7.63,7.7,7.76,33.0,92.0,1.0,1.0,3.17,38.63013699,6409.2,CPV Sentinel Unit 8,"Sentinel Energy Center, LLC",57482,6065,CA,highlight ,26,2,"295,906","1,098",0.106,0.006,"1,218.579",0.002,0.9316388000000001,0.09882560000000001,0.0047026
ngct,PGE_bay,48.0,9.46,9.53,9.59,17.0,48.0,1.0,1.0,3.17,20.21917808,3360.0,CREED ENERGY CENTER,Creed Energy Center,55625,6095,CA,,2,0,"9,908",34,0.248,0.008,"1,528.054",0.003,1.033142,0.2512115,0.0052148
ngct,SDGE,45.42,11.9,11.97,12.03,6.0,46.0,1.0,1.0,3.17,19.17808219,3179.4,Cuyamaca Peak Energy Plant,Cuyamaca Peak Energy,55512,6073,CA,,1,0,"9,891",38,0.128,0.006999999999999999,"1,328.748",0.003,,,
ngcc,PGE_bay,880.0,10.22,10.48,10.74,352.0,880.0,4.0,4.0,2.0,404.3542435,61600.0,DELTA ENERGY CENTER (AGGREGATE),"Delta Energy Center, LLC",55333,6013,CA,,84,7,"1,311,502","5,032",0.054000000000000006,0.004,851.165,0.002,0.8625395,0.0851945,0.0043545
ngcc,PGE_bay,147.8,7.86,8.12,8.38,60.0,148.0,2.0,2.0,2.0,67.89667897,10346.0,DONALD VON RAESFELD POWER PLANT,Donald Von Raesfeld,56026,6085,CA,,21,2,"406,623","1,627",0.049,0.005,944.164,0.002,0.9167376,0.0634909,0.0046285
ngct,SDGE,48.1,8.13,8.2,8.26,16.0,49.0,1.0,1.0,3.17,20.273972600000004,3367.0,El Cajon Energy Center,El Cajon Energy Center,57001,6073,CA,,1,0,"11,160",41,0.133,0.006999999999999999,"1,333.628",0.002,0.9737256999999999,0.14240629999999999,0.0049159
ngcc,SCE,263.0,9.29,9.55,9.81,106.0,263.0,1.0,1.0,2.0,121.0332103,18410.0,El Segundo Energy Center 5/6,El Segundo,330,6037,CA,,22,3,"534,744","1,979",0.042,0.005,"1,013.945",0.002,0.9343370000000001,0.052636300000000004,0.0047168999999999996
ngcc,SCE,263.68,9.29,9.55,9.81,106.0,264.0,1.0,1.0,2.0,121.0332103,18457.6,El Segundo Energy Center 7/8,El Segundo,330,6037,CA,,22,3,"534,744","1,979",0.042,0.005,"1,013.945",0.002,0.9343370000000001,0.052636300000000004,0.0047168999999999996
ngct,SDGE,48.71,7.63,7.7,7.76,38.0,49.0,1.0,1.0,3.17,20.54794521,3409.7,Escondido Energy Center,"Escondido Energy Center, LLC",55538,6073,CA,,1,0,"15,768",58,0.09300000000000001,0.006,"1,248.415",0.002,0.9556486999999999,0.078559,0.004825
ngst,SCE,320.0,11.26,11.97,12.67,128.0,320.0,6.0,6.0,2.0,66.3803681,22400.0,ETIWANDA UNIT 3,Etiwanda Generating Station,331,6071,CA,,,,,,,,,,1.959332,0.0915456,0.0098918
ngst,SCE,320.0,11.26,11.97,12.67,128.0,320.0,6.0,6.0,2.0,66.3803681,22400.0,ETIWANDA UNIT 4,Etiwanda Generating Station,331,6071,CA,,,,,,,,,,1.959332,0.0915456,0.0098918
ngct,PGE_valley,46.3,9.15,9.21,9.28,17.0,47.0,1.0,1.0,3.17,19.45205479,3241.0,FEATHER RIVER ENERGY CENTER,Feather River Energy Center,55847,6101,CA,,15,0,"24,253",86,0.9129999999999999,0.006999999999999999,"1,464.839",0.003,1.151371,1.513447,0.005814
ngcc,PGE_valley,50.6,6.64,6.9,7.16,21.0,51.0,4.0,4.0,2.0,23.24723247,3542.0,FRESNO COGEN PLANT,"Fresno Cogeneration Partners, LP",10156,6019,CA,,0,0,799,9,0.022000000000000002,0.001,271.491,0.002,1.608689,0.2527693,0.0081236
ngct,PGE_valley,22.69,8.02,8.08,8.15,8.0,23.0,1.0,1.0,3.17,9.589041096,1588.3,FRESNO PEAKER PLANT,"Fresno Cogeneration Partners, LP",10156,6019,CA,,0,0,799,9,0.022000000000000002,0.001,271.491,0.002,1.608689,0.2527693,0.0081236
ngcc,PGE_bay,562.5,5.91,6.17,6.43,225.0,563.0,1.0,1.0,2.0,258.4870849,39375.0,Gateway Generating Station,Gateway Generating Station,56476,6013,CA,,69,6,"1,281,527","4,669",0.047,0.004,874.837,0.002,0.8928472,0.12118330000000001,0.0045074
ngct,PGE_bay,204.2,8.65,8.71,8.78,72.0,205.0,1.0,1.0,3.17,86.08219178,14294.0,GENON MARSH LANDING GEN STATION UNIT 1,Marsh Landing Generating Station,57267,6013,CA,highlight ,9,1,"153,343",560,0.083,0.006999999999999999,"1,397.799",0.003,1.189224,0.0779435,0.0060038999999999995
ngct,PGE_bay,202.7,8.65,8.71,8.78,71.0,203.0,1.0,1.0,3.17,85.45205479,14189.0,GENON MARSH LANDING GEN STATION UNIT 2,Marsh Landing Generating Station,57267,6013,CA,highlight ,9,1,"153,343",560,0.083,0.006999999999999999,"1,397.799",0.003,1.189224,0.0779435,0.0060038999999999995
ngct,PGE_bay,208.96,8.65,8.71,8.78,74.0,209.0,1.0,1.0,3.17,88.08219178,14627.2,GENON MARSH LANDING GEN STATION UNIT 3,Marsh Landing Generating Station,57267,6013,CA,highlight ,9,1,"153,343",560,0.083,0.006999999999999999,"1,397.799",0.003,1.189224,0.0779435,0.0060038999999999995
ngct,PGE_bay,204.29,8.65,8.71,8.78,72.0,205.0,1.0,1.0,3.17,86.10958904,14300.3,GENON MARSH LANDING GEN STATION UNIT 4,Marsh Landing Generating Station,57267,6013,CA,highlight ,9,1,"153,343",560,0.083,0.006999999999999999,"1,397.799",0.003,1.189224,0.0779435,0.0060038999999999995
ngct,PGE_bay,46.2,11.9,11.96,12.03,17.0,47.0,1.0,1.0,3.17,19.45205479,3234.0,Gilroy Energy Center Unit 3,"Gilroy Energy Center, LLC",55810,6085,CA,,5,0,"18,021",67,0.366,0.006999999999999999,"1,404.614",0.003,1.029633,0.47365619999999997,0.0051978
ngct,SCE,22.07,8.06,8.13,8.19,8.0,23.0,1.0,1.0,3.17,9.315068493,1544.9,Glen Arm Power Plant 1,Glenarm,422,6037,CA,highlight ,7,0,"46,609",257,0.13699999999999998,0.004,869.306,0.002,1.0351,0.0771572,0.0049529
ngct,SCE,22.3,8.06,8.13,8.19,8.0,23.0,1.0,1.0,3.17,9.315068493,1561.0,Glen Arm Power Plant 2,Glenarm,422,6037,CA,highlight ,7,0,"46,609",257,0.13699999999999998,0.004,869.306,0.002,1.0351,0.0771572,0.0049529
ngct,SCE,44.83,8.06,8.13,8.19,16.0,45.0,1.0,1.0,3.17,18.90410959,3138.1,Glen Arm Power Plant 3,Glenarm,422,6037,CA,highlight ,7,0,"46,609",257,0.13699999999999998,0.004,869.306,0.002,1.0351,0.0771572,0.0049529
ngct,SCE,42.42,8.06,8.13,8.19,15.0,43.0,1.0,1.0,3.17,17.80821918,2969.4,Glen Arm Power Plant 4,Glenarm,422,6037,CA,highlight ,7,0,"46,609",257,0.13699999999999998,0.004,869.306,0.002,1.0351,0.0771572,0.0049529
ngct,SDGE,49.9,6.97,7.04,7.1,113.0,50.0,1.0,1.0,3.17,21.09589041,3493.0,Goal Line Cogen,Goal Line,54749,6073,CA,,1,0,"7,976",30,0.10800000000000001,0.004,879.319,0.002,0.9436475000000001,0.1578654,0.004765600000000001
ngct,PGE_bay,48.0,9.66,9.73,9.79,17.0,48.0,1.0,1.0,3.17,20.21917808,3360.0,GOOSE HAVEN ENERGY CENTER,Goose Haven Energy Center,55627,6095,CA,,2,0,"8,964",33,0.24600000000000002,0.008,"1,440.299",0.003,1.043692,0.271559,0.005268600000000001
ngct,SCE,46.0,11.9,11.97,12.03,17.0,46.0,1.0,1.0,3.17,19.45205479,3220.0,Grapeland Peaker,Grapeland Generating Station,56472,6071,CA,highlight ,1,0,"7,537",29,0.17800000000000002,0.008,"1,523.797",0.003,1.115409,0.142476,0.0056304
ngcc,PGE_valley,49.5,6.64,6.9,7.16,20.0,50.0,6.0,6.0,2.0,22.87822878,3465.0,GREENLEAF UNIT #1 (Aggregate),Greenleaf One,10350,6101,CA,,25,0,"27,104",112,0.758,0.004,808.908,0.002,1.118774,1.658721,0.005650100000000001
ngct,PGE_valley,63.75,8.02,8.08,8.15,23.0,64.0,1.0,1.0,3.17,26.84931507,4462.5,GREENLEAF UNIT #2,Greenleaf One,10350,6101,CA,,25,0,"27,104",112,0.758,0.004,808.908,0.002,1.118774,1.658721,0.005650100000000001
ngcc,SCE,109.01,10.65,10.91,11.17,44.0,110.0,4.0,4.0,2.0,50.18450185,7630.7,HARBOR COGEN COMBINED CYCLE PLANT,Harbor Generating Station,399,6037,CA,,8,0,"32,118",118,0.41600000000000004,0.01,"1,729.548",0.003,1.320649,0.3866708,0.0075092
ngct,PGE_valley,49.98,7.41,7.47,7.54,18.0,50.0,1.0,1.0,3.17,21.09589041,3498.6,Henrietta Peaker Plant Unit 1,Henrietta Peaker Plant,55807,6031,CA,,2,0,"20,499",82,0.139,0.006999999999999999,"1,246.032",0.002,0.9064509,0.1403787,0.0045776
ngct,PGE_valley,49.42,7.41,7.47,7.54,18.0,50.0,1.0,1.0,3.17,20.82191781,3459.4,Henrietta Peaker Plant Unit 2,Henrietta Peaker Plant,55807,6031,CA,,2,0,"20,499",82,0.139,0.006999999999999999,"1,246.032",0.002,0.9064509,0.1403787,0.0045776
ngcc,SCE,830.0,7.29,7.56,7.82,332.0,830.0,4.0,4.0,2.0,381.54981549999997,58100.0,HIGH DESERT POWER PROJECT (AGGREGATE),High Desert Power Project,55518,6071,CA,,96,7,"1,343,201","4,951",0.064,0.004,889.743,0.002,1.0759100000000001,0.14199579999999998,0.0054315
ngct,PGE_valley,97.62,7.19,7.26,7.32,35.0,98.0,1.0,1.0,3.17,41.09589041,6833.4,Humboldt Bay Generating Station 1,Humboldt Bay,246,6023,CA,,"4,463",5,"197,114",761,23.255,0.027999999999999997,"1,027.007",0.002,,,
ngct,PGE_valley,65.08,7.19,7.26,7.32,23.0,66.0,1.0,1.0,3.17,27.39726027,4555.6,Humboldt Bay Generating Station 3,Humboldt Bay,246,6023,CA,,"4,463",5,"197,114",761,23.255,0.027999999999999997,"1,027.007",0.002,,,
ngst,SCE,225.75,11.19,11.89,12.6,91.0,226.0,6.0,6.0,2.0,46.87116564,15802.5,Huntington Beach 1,AES Huntington Beach,335,6059,CA,,26,1,"223,597",812,0.161,0.006999999999999999,"1,399.571",0.003,,,
ngst,SCE,225.8,11.19,11.89,12.6,91.0,226.0,6.0,6.0,2.0,46.87116564,15806.0,Huntington Beach 2,AES Huntington Beach,335,6059,CA,,26,1,"223,597",812,0.161,0.006999999999999999,"1,399.571",0.003,,,
ngct,SCE,44.0,11.9,11.97,12.03,16.0,44.0,1.0,1.0,3.17,18.63013699,3080.0,Indigo Energy 1,Indigo Generation Facility,55541,6065,CA,,4,0,"21,276",79,0.237,0.006999999999999999,"1,274.928",0.002,0.8283814,0.20865279999999997,0.0041822
ngct,SCE,44.53,11.9,11.97,12.03,16.0,45.0,1.0,1.0,3.17,18.90410959,3117.1,Indigo Energy 2,Indigo Generation Facility,55541,6065,CA,,4,0,"21,276",79,0.237,0.006999999999999999,"1,274.928",0.002,0.8283814,0.20865279999999997,0.0041822
ngct,SCE,43.69,11.9,11.97,12.03,16.0,44.0,1.0,1.0,3.17,18.35616438,3058.3,Indigo Energy 3,Indigo Generation Facility,55541,6065,CA,,4,0,"21,276",79,0.237,0.006999999999999999,"1,274.928",0.002,0.8283814,0.20865279999999997,0.0041822
ngcc,SCE,366.32,5.62,5.88,6.14,147.0,367.0,1.0,1.0,2.0,168.26568269999999,25642.4,"Inland Empire Energy Center, L.L.C. Unit 2",Inland Empire Energy Center,55853,6065,CA,,4,0,"87,108",324,0.045,0.004,864.590,0.002,,,
ngcc,SCE,376.2,5.62,5.88,6.14,151.0,377.0,2.0,2.0,2.0,172.6937269,26334.0,"Inland Empire Energy Center, Unit 1",Inland Empire Energy Center,55853,6065,CA,,4,0,"87,108",324,0.045,0.004,864.590,0.002,,,
ngct,PGE_valley,44.6,9.43,9.49,9.56,16.0,45.0,1.0,1.0,3.17,18.90410959,3122.0,King City Energy Center,King City Power Plant,10294,6053,CA,,1,0,"5,179",628,0.003,0.0,27.643,0.002,1.1873049999999998,0.6628753000000001,0.0059956
ngcc,PGE_valley,259.8,6.0,6.26,6.52,104.0,260.0,3.0,3.0,2.0,119.5571956,18186.0,LA PALOMA UNIT 1,La Paloma Generating Plant,55151,6029,CA,,31,2,"473,948","1,754",0.059000000000000004,0.005,895.003,0.002,0.9542767,0.2015564,0.0048176
ngcc,PGE_valley,260.2,6.0,6.26,6.52,105.0,261.0,3.0,3.0,2.0,119.5571956,18214.0,LA PALOMA UNIT 2,La Paloma Generating Plant,55151,6029,CA,,31,2,"473,948","1,754",0.059000000000000004,0.005,895.003,0.002,0.9542767,0.2015564,0.0048176
ngcc,PGE_valley,256.15,6.0,6.26,6.52,103.0,257.0,3.0,3.0,2.0,117.71217709999999,17930.5,LA PALOMA UNIT 3,La Paloma Generating Plant,55151,6029,CA,,31,2,"473,948","1,754",0.059000000000000004,0.005,895.003,0.002,0.9542767,0.2015564,0.0048176
ngcc,PGE_valley,259.54,6.0,6.26,6.52,104.0,260.0,2.0,2.0,2.0,119.18819189999999,18167.8,LA PALOMA UNIT 4,La Paloma Generating Plant,55151,6029,CA,,31,2,"473,948","1,754",0.059000000000000004,0.005,895.003,0.002,0.9542767,0.2015564,0.0048176
ngct,PGE_valley,48.0,9.58,9.65,9.71,17.0,48.0,1.0,1.0,3.17,20.273972600000004,3360.0,LAMBIE ENERGY CENTER,Lambie Energy Center,55626,6095,CA,,2,0,"9,636",35,0.239,0.008,"1,449.056",0.003,1.0567799999999998,0.2533111,0.0053353
ngct,SDGE,46.1,11.9,11.97,12.03,22.0,47.0,1.0,1.0,3.17,19.45205479,3227.0,Larkspur 1,Larkspur Energy Faciity,55542,6073,CA,,4,0,"27,531",96,0.191,0.006,"1,229.520",0.002,0.8143735,0.2186922,0.0041123
ngct,SDGE,47.98,11.9,11.97,12.03,18.0,48.0,1.0,1.0,3.17,20.273972600000004,3358.6,Larkspur 2,Larkspur Energy Faciity,55542,6073,CA,,4,0,"27,531",96,0.191,0.006,"1,229.520",0.002,0.8143735,0.2186922,0.0041123
ngct,PGE_valley,49.9,9.47,9.53,9.6,18.0,50.0,1.0,1.0,3.17,21.09589041,3493.0,Lodi Steam Injected Gas Turbine,Lodi Energy Center,57978,6077,CA,,29,3,"593,191","2,201",0.042,0.004,843.476,0.002,1.249323,0.0712312,0.006307
ngct,SCE,65.0,14.76,14.83,14.89,23.0,65.0,1.0,1.0,3.17,27.39726027,4550.0,Long Beach - Unit 1,Long Beach Generating Station,341,6037,CA,,6,0,"23,652",85,0.57,0.011000000000000001,"2,101.408",0.004,1.8284599999999998,1.133632,0.0092313
ngct,SCE,65.0,14.76,14.83,14.89,23.0,65.0,1.0,1.0,3.17,27.39726027,4550.0,Long Beach - Unit 2,Long Beach Generating Station,341,6037,CA,,6,0,"23,652",85,0.57,0.011000000000000001,"2,101.408",0.004,1.8284599999999998,1.133632,0.0092313
ngct,SCE,65.0,14.76,14.83,14.89,23.0,65.0,1.0,1.0,3.17,27.39726027,4550.0,Long Beach - Unit 3,Long Beach Generating Station,341,6037,CA,,6,0,"23,652",85,0.57,0.011000000000000001,"2,101.408",0.004,1.8284599999999998,1.133632,0.0092313
ngct,SCE,65.0,14.76,14.83,14.89,23.0,65.0,1.0,1.0,3.17,27.39726027,4550.0,Long Beach - Unit 4,Long Beach Generating Station,341,6037,CA,,6,0,"23,652",85,0.57,0.011000000000000001,"2,101.408",0.004,1.8284599999999998,1.133632,0.0092313
ngct,PGE_bay,294.0,11.9,11.96,12.03,103.0,294.0,1.0,1.0,3.17,123.9452055,20580.0,LOS ESTEROS ENERGY FACILITY (AGGREGATE),Los Esteros Critical Energy Facility,55748,6085,CA,,9,1,"177,973",663,0.05,0.005,998.641,0.002,0.9212071,0.0706475,0.0046511
ngcc,PGE_bay,561.29,8.36,8.62,8.88,225.0,562.0,4.0,4.0,2.0,257.896679,39290.3,LOS MEDANOS ENERGY CENTER (AGGREGATE),"Los Medanos Energy Center, LLC",55217,6013,CA,,78,7,"1,288,189","4,722",0.047,0.004,786.743,0.001,0.8044344,0.0522766,0.004061
ngcc,PGE_valley,96.0,7.61,7.87,8.13,39.0,96.0,2.0,2.0,2.0,44.280442799999996,6720.0,Malaga Power Aggregate,Malaga Power,56239,6019,CA,,2,0,"17,289",63,0.168,0.006999999999999999,"1,250.123",0.002,0.9451465,0.162464,0.0047707999999999995
ngcc,SCE,134.0,7.86,8.12,8.38,54.0,134.0,3.0,3.0,2.0,61.62361624,9380.0,Malburg Generating Station,Malburg Generating Station,56041,6037,CA,,16,1,"236,196",876,0.066,0.005,985.457,0.002,0.9500054,0.06287050000000001,0.0047971
ngst,SCE,215.0,8.87,9.57,10.28,86.0,215.0,6.0,6.0,2.0,44.66257669,15050.0,Mandalay 1,Mandalay Generating Station,345,6111,CA,,,,,,,,,,1.30609,0.036036900000000004,0.0065946
ngst,SCE,215.29,8.87,9.57,10.28,87.0,216.0,6.0,6.0,2.0,44.66257669,15070.3,Mandalay 2,Mandalay Generating Station,345,6111,CA,,,,,,,,,,1.30609,0.036036900000000004,0.0065946
ngct,SCE,130.0,28.33,28.4,28.46,46.0,130.0,1.0,1.0,3.17,54.79452055,9100.0,Mandalay 3 GT,Mandalay Generating Station,345,6111,CA,,,,,,,,,,1.30609,0.036036900000000004,0.0065946
ngct,PGE_bay,196.0,8.64,8.7,8.77,69.0,196.0,1.0,1.0,3.17,82.63013699,13720.0,Mariposa Energy Project,Mariposa Energy Project,57483,6001,CA,,8,0,"71,920",271,0.134,0.006999999999999999,"1,281.877",0.002,0.9615005999999999,0.1222394,0.0055813
ngct,SCE,47.2,11.9,11.97,12.03,17.0,48.0,1.0,1.0,3.17,20.0,3304.0,McGrath Beach Peaker,McGrath Generating Station,56471,6111,CA,highlight ,1,0,"14,287",54,0.11599999999999999,0.006,"1,192.463",0.002,0.9154235999999999,0.1063345,0.0046216
ngcc,PGE_bay,593.16,5.97,6.23,6.49,238.0,594.0,2.0,2.0,2.0,272.5461255,41521.2,METCALF ENERGY CENTER,Metcalf Energy Center,55393,6085,CA,,57,5,"907,332","3,490",0.055,0.004,872.505,0.002,0.8828379999999999,0.0915176,0.0044571
ngct,PGE_valley,119.91,7.6,7.66,7.73,42.0,120.0,1.0,1.0,3.17,50.68493151,8393.7,Midway Peaking LLC,Midway Peaking,56639,6019,CA,,5,0,"33,289",120,0.212,0.006999999999999999,"1,348.989",0.002,1.0459690000000001,0.1758,0.0052815
ngct,SCE,46.0,7.6,7.66,7.73,17.0,46.0,1.0,1.0,3.17,19.45205479,3220.0,Mira Loma Peaker,Mira Loma Generating Station,56473,6071,CA,,2,0,"14,520",54,0.14800000000000002,0.006,"1,209.555",0.002,0.8825333000000001,0.12728699999999998,0.004455300000000001
