typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,PLANT,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,fips,state,,CAPOW_Name_Description,Plant_list_facilityname
ngct,SDGE,35.5,19.33,19.39,19.46,8,36,1,1,3.17,15.06849315,2485,55540,0,0,"3,561",11,0.274,0.013,"2,319.94",0.004,6073,CA,,Chula Vista Energy Center,Chula Vista Energy Center
ngct,PGE_valley,641,5.31,5.37,5.44,225,641,1,1,3.17,270.1369863,44870,56532,49,6,"1,281,242","4,767",0.033,0.004,858.08,0.002,6011,CA,,Colusa Generating Station,Colusa Generating Station
ngcc,PGE_bay,19,15.58,15.98,16.38,8,19,6,6,2,2.62,1330,228,,,,,,,,,6013,CA,,CONTRA COSTA CARBON PLANT,Contra Costa Generating Station
ngct,SCE,92.09,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6446.3,57482,26,2,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 1,"Sentinel Energy Center, LLC"
ngct,SCE,92.4,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6468,57482,26,2,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 2,"Sentinel Energy Center, LLC"
ngct,SCE,92.36,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6465.2,57482,26,2,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 3,"Sentinel Energy Center, LLC"
ngct,SCE,91.98,7.63,7.7,7.76,33,92,1,1,3.17,38.90410959,6438.6,57482,26,2,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 4,"Sentinel Energy Center, LLC"
ngct,SCE,91.83,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.1,57482,26,2,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 5,"Sentinel Energy Center, LLC"
ngct,SCE,92.16,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6451.2,57482,26,2,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 6,"Sentinel Energy Center, LLC"
ngct,SCE,91.84,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.8,57482,26,2,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 7,"Sentinel Energy Center, LLC"
ngct,SCE,91.56,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6409.2,57482,26,2,"295,906","1,098",0.106,0.006,"1,218.58",0.002,6065,CA,highlight ,CPV Sentinel Unit 8,"Sentinel Energy Center, LLC"
ngct,PGE_bay,48,9.46,9.53,9.59,17,48,1,1,3.17,20.21917808,3360,55625,2,0,"9,908",34,0.248,0.008,"1,528.05",0.003,6095,CA,,CREED ENERGY CENTER,Creed Energy Center
ngct,SDGE,45.42,11.9,11.97,12.03,6,46,1,1,3.17,19.17808219,3179.4,55512,1,0,"9,891",38,0.128,0.007,"1,328.75",0.003,6073,CA,,Cuyamaca Peak Energy Plant,Cuyamaca Peak Energy
ngcc,PGE_bay,880,10.22,10.48,10.74,352,880,4,4,2,404.3542435,61600,55333,84,7,"1,311,502","5,032",0.054,0.004,851.165,0.002,6013,CA,,DELTA ENERGY CENTER (AGGREGATE),"Delta Energy Center, LLC"
ngcc,PGE_bay,147.8,7.86,8.12,8.38,60,148,2,2,2,67.89667897,10346,56026,21,2,"406,623","1,627",0.049,0.005,944.164,0.002,6085,CA,,DONALD VON RAESFELD POWER PLANT,Donald Von Raesfeld
ngct,SDGE,48.1,8.13,8.2,8.26,16,49,1,1,3.17,20.2739726,3367,57001,1,0,"11,160",41,0.133,0.007,"1,333.63",0.002,6073,CA,,El Cajon Energy Center,El Cajon Energy Center
ngcc,SCE,263,9.29,9.55,9.81,106,263,1,1,2,121.0332103,18410,330,22,3,"534,744","1,979",0.042,0.005,"1,013.95",0.002,6037,CA,,El Segundo Energy Center 5/6,El Segundo
ngcc,SCE,263.68,9.29,9.55,9.81,106,264,1,1,2,121.0332103,18457.6,330,22,3,"534,744","1,979",0.042,0.005,"1,013.95",0.002,6037,CA,,El Segundo Energy Center 7/8,El Segundo
ngct,SDGE,48.71,7.63,7.7,7.76,38,49,1,1,3.17,20.54794521,3409.7,55538,1,0,"15,768",58,0.093,0.006,"1,248.42",0.002,6073,CA,,Escondido Energy Center,"Escondido Energy Center, LLC"
ngst,SCE,320,11.26,11.97,12.67,128,320,6,6,2,66.3803681,22400,331,,,,,,,,,6071,CA,,ETIWANDA UNIT 3,Etiwanda Generating Station
ngst,SCE,320,11.26,11.97,12.67,128,320,6,6,2,66.3803681,22400,331,,,,,,,,,6071,CA,,ETIWANDA UNIT 4,Etiwanda Generating Station
ngct,PGE_valley,46.3,9.15,9.21,9.28,17,47,1,1,3.17,19.45205479,3241,55847,15,0,"24,253",86,0.913,0.007,"1,464.84",0.003,6101,CA,,FEATHER RIVER ENERGY CENTER,Feather River Energy Center
ngcc,PGE_valley,50.6,6.64,6.9,7.16,21,51,4,4,2,23.24723247,3542,10156,0,0,799,9,0.022,0.001,271.491,0.002,6019,CA,,FRESNO COGEN PLANT,"Fresno Cogeneration Partners, LP"
ngct,PGE_valley,22.69,8.02,8.08,8.15,8,23,1,1,3.17,9.589041096,1588.3,10156,0,0,799,9,0.022,0.001,271.491,0.002,6019,CA,,FRESNO PEAKER PLANT,"Fresno Cogeneration Partners, LP"
ngcc,PGE_bay,562.5,5.91,6.17,6.43,225,563,1,1,2,258.4870849,39375,56476,69,6,"1,281,527","4,669",0.047,0.004,874.837,0.002,6013,CA,,Gateway Generating Station,Gateway Generating Station
ngct,PGE_bay,204.2,8.65,8.71,8.78,72,205,1,1,3.17,86.08219178,14294,57267,9,1,"153,343",560,0.083,0.007,"1,397.80",0.003,6013,CA,highlight ,GENON MARSH LANDING GEN STATION UNIT 1,Marsh Landing Generating Station
ngct,PGE_bay,202.7,8.65,8.71,8.78,71,203,1,1,3.17,85.45205479,14189,57267,9,1,"153,343",560,0.083,0.007,"1,397.80",0.003,6013,CA,highlight ,GENON MARSH LANDING GEN STATION UNIT 2,Marsh Landing Generating Station
ngct,PGE_bay,208.96,8.65,8.71,8.78,74,209,1,1,3.17,88.08219178,14627.2,57267,9,1,"153,343",560,0.083,0.007,"1,397.80",0.003,6013,CA,highlight ,GENON MARSH LANDING GEN STATION UNIT 3,Marsh Landing Generating Station
ngct,PGE_bay,204.29,8.65,8.71,8.78,72,205,1,1,3.17,86.10958904,14300.3,57267,9,1,"153,343",560,0.083,0.007,"1,397.80",0.003,6013,CA,highlight ,GENON MARSH LANDING GEN STATION UNIT 4,Marsh Landing Generating Station
ngct,PGE_bay,46.2,11.9,11.96,12.03,17,47,1,1,3.17,19.45205479,3234,55810,5,0,"18,021",67,0.366,0.007,"1,404.61",0.003,6085,CA,,Gilroy Energy Center Unit 3,"Gilroy Energy Center, LLC"
ngct,SCE,22.07,8.06,8.13,8.19,8,23,1,1,3.17,9.315068493,1544.9,422,7,0,"46,609",257,0.137,0.004,869.306,0.002,6037,CA,highlight ,Glen Arm Power Plant 1,Glenarm
ngct,SCE,22.3,8.06,8.13,8.19,8,23,1,1,3.17,9.315068493,1561,422,7,0,"46,609",257,0.137,0.004,869.306,0.002,6037,CA,highlight ,Glen Arm Power Plant 2,Glenarm
ngct,SCE,44.83,8.06,8.13,8.19,16,45,1,1,3.17,18.90410959,3138.1,422,7,0,"46,609",257,0.137,0.004,869.306,0.002,6037,CA,highlight ,Glen Arm Power Plant 3,Glenarm
ngct,SCE,42.42,8.06,8.13,8.19,15,43,1,1,3.17,17.80821918,2969.4,422,7,0,"46,609",257,0.137,0.004,869.306,0.002,6037,CA,highlight ,Glen Arm Power Plant 4,Glenarm
ngct,SDGE,49.9,6.97,7.04,7.1,113,50,1,1,3.17,21.09589041,3493,54749,1,0,"7,976",30,0.108,0.004,879.319,0.002,6073,CA,,Goal Line Cogen,Goal Line
ngct,PGE_bay,48,9.66,9.73,9.79,17,48,1,1,3.17,20.21917808,3360,55627,2,0,"8,964",33,0.246,0.008,"1,440.30",0.003,6095,CA,,GOOSE HAVEN ENERGY CENTER,Goose Haven Energy Center
ngct,SCE,46,11.9,11.97,12.03,17,46,1,1,3.17,19.45205479,3220,56472,1,0,"7,537",29,0.178,0.008,"1,523.80",0.003,6071,CA,highlight ,Grapeland Peaker,Grapeland Generating Station
ngcc,PGE_valley,49.5,6.64,6.9,7.16,20,50,6,6,2,22.87822878,3465,10350,25,0,"27,104",112,0.758,0.004,808.908,0.002,6101,CA,,GREENLEAF UNIT #1 (Aggregate),Greenleaf One
ngct,PGE_valley,63.75,8.02,8.08,8.15,23,64,1,1,3.17,26.84931507,4462.5,10350,25,0,"27,104",112,0.758,0.004,808.908,0.002,6101,CA,,GREENLEAF UNIT #2,Greenleaf One
ngcc,SCE,109.01,10.65,10.91,11.17,44,110,4,4,2,50.18450185,7630.7,399,8,0,"32,118",118,0.416,0.01,"1,729.55",0.003,6037,CA,,HARBOR COGEN COMBINED CYCLE PLANT,Harbor Generating Station
ngct,PGE_valley,49.98,7.41,7.47,7.54,18,50,1,1,3.17,21.09589041,3498.6,55807,2,0,"20,499",82,0.139,0.007,"1,246.03",0.002,6031,CA,,Henrietta Peaker Plant Unit 1,Henrietta Peaker Plant
ngct,PGE_valley,49.42,7.41,7.47,7.54,18,50,1,1,3.17,20.82191781,3459.4,55807,2,0,"20,499",82,0.139,0.007,"1,246.03",0.002,6031,CA,,Henrietta Peaker Plant Unit 2,Henrietta Peaker Plant
ngcc,SCE,830,7.29,7.56,7.82,332,830,4,4,2,381.5498155,58100,55518,96,7,"1,343,201","4,951",0.064,0.004,889.743,0.002,6071,CA,,HIGH DESERT POWER PROJECT (AGGREGATE),High Desert Power Project
ngct,PGE_valley,97.62,7.19,7.26,7.32,35,98,1,1,3.17,41.09589041,6833.4,246,"4,463",5,"197,114",761,23.255,0.028,"1,027.01",0.002,6023,CA,,Humboldt Bay Generating Station 1,Humboldt Bay
ngct,PGE_valley,65.08,7.19,7.26,7.32,23,66,1,1,3.17,27.39726027,4555.6,246,"4,463",5,"197,114",761,23.255,0.028,"1,027.01",0.002,6023,CA,,Humboldt Bay Generating Station 3,Humboldt Bay
ngst,SCE,225.75,11.19,11.89,12.6,91,226,6,6,2,46.87116564,15802.5,335,26,1,"223,597",812,0.161,0.007,"1,399.57",0.003,6059,CA,,Huntington Beach 1,AES Huntington Beach
ngst,SCE,225.8,11.19,11.89,12.6,91,226,6,6,2,46.87116564,15806,335,26,1,"223,597",812,0.161,0.007,"1,399.57",0.003,6059,CA,,Huntington Beach 2,AES Huntington Beach
ngct,SCE,44,11.9,11.97,12.03,16,44,1,1,3.17,18.63013699,3080,55541,4,0,"21,276",79,0.237,0.007,"1,274.93",0.002,6065,CA,,Indigo Energy 1,Indigo Generation Facility
ngct,SCE,44.53,11.9,11.97,12.03,16,45,1,1,3.17,18.90410959,3117.1,55541,4,0,"21,276",79,0.237,0.007,"1,274.93",0.002,6065,CA,,Indigo Energy 2,Indigo Generation Facility
ngct,SCE,43.69,11.9,11.97,12.03,16,44,1,1,3.17,18.35616438,3058.3,55541,4,0,"21,276",79,0.237,0.007,"1,274.93",0.002,6065,CA,,Indigo Energy 3,Indigo Generation Facility
ngcc,SCE,366.32,5.62,5.88,6.14,147,367,1,1,2,168.2656827,25642.4,55853,4,0,"87,108",324,0.045,0.004,864.59,0.002,6065,CA,,"Inland Empire Energy Center, L.L.C. Unit 2",Inland Empire Energy Center
ngcc,SCE,376.2,5.62,5.88,6.14,151,377,2,2,2,172.6937269,26334,55853,4,0,"87,108",324,0.045,0.004,864.59,0.002,6065,CA,,"Inland Empire Energy Center, Unit 1",Inland Empire Energy Center
ngct,PGE_valley,44.6,9.43,9.49,9.56,16,45,1,1,3.17,18.90410959,3122,10294,1,0,"5,179",628,0.003,0,27.643,0.002,6053,CA,,King City Energy Center,King City Power Plant
ngcc,PGE_valley,259.8,6,6.26,6.52,104,260,3,3,2,119.5571956,18186,55151,31,2,"473,948","1,754",0.059,0.005,895.003,0.002,6029,CA,,LA PALOMA UNIT 1,La Paloma Generating Plant
ngcc,PGE_valley,260.2,6,6.26,6.52,105,261,3,3,2,119.5571956,18214,55151,31,2,"473,948","1,754",0.059,0.005,895.003,0.002,6029,CA,,LA PALOMA UNIT 2,La Paloma Generating Plant
ngcc,PGE_valley,256.15,6,6.26,6.52,103,257,3,3,2,117.7121771,17930.5,55151,31,2,"473,948","1,754",0.059,0.005,895.003,0.002,6029,CA,,LA PALOMA UNIT 3,La Paloma Generating Plant
ngcc,PGE_valley,259.54,6,6.26,6.52,104,260,2,2,2,119.1881919,18167.8,55151,31,2,"473,948","1,754",0.059,0.005,895.003,0.002,6029,CA,,LA PALOMA UNIT 4,La Paloma Generating Plant
ngct,PGE_valley,48,9.58,9.65,9.71,17,48,1,1,3.17,20.2739726,3360,55626,2,0,"9,636",35,0.239,0.008,"1,449.06",0.003,6095,CA,,LAMBIE ENERGY CENTER,Lambie Energy Center
ngct,SDGE,46.1,11.9,11.97,12.03,22,47,1,1,3.17,19.45205479,3227,55542,4,0,"27,531",96,0.191,0.006,"1,229.52",0.002,6073,CA,,Larkspur 1,Larkspur Energy Faciity
ngct,SDGE,47.98,11.9,11.97,12.03,18,48,1,1,3.17,20.2739726,3358.6,55542,4,0,"27,531",96,0.191,0.006,"1,229.52",0.002,6073,CA,,Larkspur 2,Larkspur Energy Faciity
ngct,PGE_valley,49.9,9.47,9.53,9.6,18,50,1,1,3.17,21.09589041,3493,57978,29,3,"593,191","2,201",0.042,0.004,843.476,0.002,6077,CA,,Lodi Steam Injected Gas Turbine,Lodi Energy Center
ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,341,6,0,"23,652",85,0.57,0.011,"2,101.41",0.004,6037,CA,,Long Beach - Unit 1,Long Beach Generating Station
ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,341,6,0,"23,652",85,0.57,0.011,"2,101.41",0.004,6037,CA,,Long Beach - Unit 2,Long Beach Generating Station
ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,341,6,0,"23,652",85,0.57,0.011,"2,101.41",0.004,6037,CA,,Long Beach - Unit 3,Long Beach Generating Station
ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,341,6,0,"23,652",85,0.57,0.011,"2,101.41",0.004,6037,CA,,Long Beach - Unit 4,Long Beach Generating Station
ngct,PGE_bay,294,11.9,11.96,12.03,103,294,1,1,3.17,123.9452055,20580,55748,9,1,"177,973",663,0.05,0.005,998.641,0.002,6085,CA,,LOS ESTEROS ENERGY FACILITY (AGGREGATE),Los Esteros Critical Energy Facility
ngcc,PGE_bay,561.29,8.36,8.62,8.88,225,562,4,4,2,257.896679,39290.3,55217,78,7,"1,288,189","4,722",0.047,0.004,786.743,0.001,6013,CA,,LOS MEDANOS ENERGY CENTER (AGGREGATE),"Los Medanos Energy Center, LLC"
ngcc,PGE_valley,96,7.61,7.87,8.13,39,96,2,2,2,44.2804428,6720,56239,2,0,"17,289",63,0.168,0.007,"1,250.12",0.002,6019,CA,,Malaga Power Aggregate,Malaga Power
ngcc,SCE,134,7.86,8.12,8.38,54,134,3,3,2,61.62361624,9380,56041,16,1,"236,196",876,0.066,0.005,985.457,0.002,6037,CA,,Malburg Generating Station,Malburg Generating Station
ngst,SCE,215,8.87,9.57,10.28,86,215,6,6,2,44.66257669,15050,345,,,,,,,,,6111,CA,,Mandalay 1,Mandalay Generating Station
ngst,SCE,215.29,8.87,9.57,10.28,87,216,6,6,2,44.66257669,15070.3,345,,,,,,,,,6111,CA,,Mandalay 2,Mandalay Generating Station
ngct,SCE,130,28.33,28.4,28.46,46,130,1,1,3.17,54.79452055,9100,345,,,,,,,,,6111,CA,,Mandalay 3 GT,Mandalay Generating Station
ngct,PGE_bay,196,8.64,8.7,8.77,69,196,1,1,3.17,82.63013699,13720,57483,8,0,"71,920",271,0.134,0.007,"1,281.88",0.002,6001,CA,,Mariposa Energy Project,Mariposa Energy Project
ngct,SCE,47.2,11.9,11.97,12.03,17,48,1,1,3.17,20,3304,56471,1,0,"14,287",54,0.116,0.006,"1,192.46",0.002,6111,CA,highlight ,McGrath Beach Peaker,McGrath Generating Station
ngcc,PGE_bay,593.16,5.97,6.23,6.49,238,594,2,2,2,272.5461255,41521.2,55393,57,5,"907,332","3,490",0.055,0.004,872.505,0.002,6085,CA,,METCALF ENERGY CENTER,Metcalf Energy Center
ngct,PGE_valley,119.91,7.6,7.66,7.73,42,120,1,1,3.17,50.68493151,8393.7,56639,5,0,"33,289",120,0.212,0.007,"1,348.99",0.002,6019,CA,,Midway Peaking LLC,Midway Peaking
ngct,SCE,46,7.6,7.66,7.73,17,46,1,1,3.17,19.45205479,3220,56473,2,0,"14,520",54,0.148,0.006,"1,209.56",0.002,6071,CA,,Mira Loma Peaker,Mira Loma Generating Station
ngct,SDGE,48,7.9,7.96,8.03,17,48,1,1,3.17,20.2739726,3360,56232,9,0,"55,478",205,0.191,0.006,"1,200.20",0.002,6073,CA,,MIRAMAR ENERGY FACILITY,Miramar Energy Facility
ngst,PGE_valley,754,9.81,10.51,11.22,302,754,6,6,2,156.5644172,52780,260,126,9,"1,715,517","6,489",0.06,0.004,821.061,0.002,6053,CA,,Moss Landing 6,Moss Landing
ngst,PGE_valley,755,9.81,10.51,11.22,302,755,6,6,2,156.6871166,52850,260,126,9,"1,715,517","6,489",0.06,0.004,821.061,0.002,6053,CA,,Moss Landing 7,Moss Landing
ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,358,96,5,"903,995","3,689",0.092,0.004,864.292,0.002,6071,CA,,MOUNTAINVIEW POWER PLANT POWER BLOCK 3,Mountainview Generating Station
ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,358,96,5,"903,995","3,689",0.092,0.004,864.292,0.002,6071,CA,,MOUNTAINVIEW POWER PLANT POWER BLOCK 4,Mountainview Generating Station
ngct,SDGE,42.7,7.64,7.71,7.77,212,43,1,1,3.17,18.08219178,2989,10812,51,1,"19,559",74,3.111,0.033,"1,188.83",0.002,6073,CA,,NORTH ISLAND COGENERATION,North Island
ngct,SDGE,96,11.9,11.97,12.03,18,96,1,1,3.17,40.54794521,6720,56914,2,0,"22,439",83,0.126,0.007,"1,324.64",0.002,6073,CA,,Orange Grove Energy Center,Orange Grove Project
ngst,SCE,741.27,11.49,12.19,12.9,297,742,6,6,2,153.8650307,51888.9,350,8,1,"128,957",489,0.09,0.007,"1,386.52",0.003,6111,CA,,Ormond Beach Unit 1,Ormond Beach Generating Station
ngst,SCE,775,11.49,12.19,12.9,310,775,6,6,2,160.8588957,54250,350,8,1,"128,957",489,0.09,0.007,"1,386.52",0.003,6111,CA,,Ormond Beach Unit 2,Ormond Beach Generating Station
ngcc,SDGE,603.68,9.62,9.88,10.14,242,604,1,1,2,277.4907749,42257.6,55345,18,1,"221,721",817,0.074,0.005,899.2,0.002,6073,CA,,Otay Mesa Energy Center,"Otay Mesa Energy Center, LLC"
ngcc,SDGE,575,9.7,9.96,10.22,230,575,2,2,2,264.2066421,40250,55985,45,4,"827,238","3,033",0.047,0.004,859.439,0.002,6073,CA,,PALOMAR ENERGY CENTER,Palomar Energy Center
ngct,PGE_valley,52.01,7.64,7.71,7.77,19,53,1,1,3.17,21.91780822,3640.7,55508,1,0,"9,116",40,0.064,0.004,714.632,0.002,6019,CA,,Panoche - CalPeak,CalPeak Power - Panoche
ngct,PGE_valley,401,7.64,7.71,7.77,141,401,1,1,3.17,169.0410959,28070,56803,32,2,"342,510","1,266",0.103,0.006,"1,112.41",0.002,6019,CA,,Panoche Energy Center,Panoche Energy Center
ngcc,SCE,799.47,9.62,9.88,10.14,320,800,3,3,2,367.5276753,55962.9,55656,97,9,"1,841,760","6,789",0.045,0.004,851.502,0.002,6029,CA,,PASTORIA ENERGY FACILITY,Pastoria Energy Facility
ngct,PGE_valley,34.5,8.02,8.08,8.15,13,35,1,1,3.17,14.52054795,2415,10405,0,0,"2,893",10,0.188,0.007,"1,165.39",0.002,6019,CA,highlight ,"PE - KES KINGSBURG,LLC",Kingsburg Cogen Facility
ngct,SDGE,106,7.87,7.94,8,17,106,1,1,3.17,44.65753425,7420,57555,9,0,"88,708",332,0.125,0.006,"1,182.32",0.002,6073,CA,,Pio Pico Unit 1,Pio Pico Energy Center LLC
ngct,SDGE,106,7.87,7.94,8,34,106,1,1,3.17,44.65753425,7420,57555,9,0,"88,708",332,0.125,0.006,"1,182.32",0.002,6073,CA,,Pio Pico Unit 2,Pio Pico Energy Center LLC
ngct,SDGE,106,7.87,7.94,8,17,106,1,1,3.17,44.65753425,7420,57555,9,0,"88,708",332,0.125,0.006,"1,182.32",0.002,6073,CA,,Pio Pico Unit 3,Pio Pico Energy Center LLC
ngst,PGE_bay,312,12.15,12.85,13.56,125,312,6,6,2,64.52322738,21840,271,,,,,,,,,6013,CA,,Pittsburg Unit 5,Pittsburg Generating Station (CA)
ngst,PGE_bay,317,12.15,12.85,13.56,127,317,6,6,2,65.56234719,22190,271,,,,,,,,,6013,CA,,Pittsburg Unit 6,Pittsburg Generating Station (CA)
ngst,PGE_bay,530,12.15,12.85,13.56,212,530,6,6,2,109.608802,37100,271,,,,,,,,,6013,CA,,Pittsburg Unit 7,Pittsburg Generating Station (CA)
ngst,SCE,178.87,11.19,11.89,12.6,72,179,6,6,2,37.17791411,12520.9,356,12,1,"213,743",790,0.089,0.008,"1,557.28",0.003,6037,CA,,Redondo Unit 5,AES Redondo Beach
ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,356,12,1,"213,743",790,0.089,0.008,"1,557.28",0.003,6037,CA,,Redondo Unit 6,AES Redondo Beach
ngst,SCE,505.96,11.19,11.89,12.6,203,506,6,6,2,105.0306748,35417.2,356,12,1,"213,743",790,0.089,0.008,"1,557.28",0.003,6037,CA,,Redondo Unit 7,AES Redondo Beach
ngst,SCE,495.9,11.19,11.89,12.6,199,496,6,6,2,102.9447853,34713,356,12,1,"213,743",790,0.089,0.008,"1,557.28",0.003,6037,CA,,Redondo Unit 8,AES Redondo Beach
ngct,PGE_valley,46.05,9.37,9.43,9.5,17,47,1,1,3.17,19.45205479,3223.5,56135,2,0,"16,854",63,0.121,0.006,"1,361.41",0.003,6077,CA,,Ripon Cogeneration Unit 1,Ripon Generation Station
ngct,SCE,48.35,8.49,8.56,8.62,17,49,1,1,3.17,20.2739726,3384.5,56143,5,0,"55,923",206,0.112,0.007,"1,295.24",0.002,6065,CA,,Riverside Energy Res. Ctr Unit 1,Riverside Energy Resource Center
ngct,SCE,48.5,8.49,8.56,8.62,17,49,1,1,3.17,20.54794521,3395,56143,5,0,"55,923",206,0.112,0.007,"1,295.24",0.002,6065,CA,,Riverside Energy Res. Ctr Unit 2,Riverside Energy Resource Center
ngct,PGE_bay,48.7,9.3,9.37,9.43,18,49,1,1,3.17,20.52054795,3409,55963,2,0,"12,352",45,0.222,0.007,"1,372.37",0.003,6013,CA,,RIVERVIEW ENERGY CENTER,Riverview Energy Center
