typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,facilityname,PLANT,fips,state,
ngct,PGE_valley,22.69,8.02,8.08,8.15,8,23,1,1,3.17,9.589041096,1588.3,FRESNO PEAKER PLANT,"Fresno Cogeneration Partners, LP",10156,6019,CA,
ngcc,PGE_bay,562.5,5.91,6.17,6.43,225,563,1,1,2,258.4870849,39375,Gateway Generating Station,Gateway Generating Station,56476,6013,CA,
ngct,PGE_bay,204.2,8.65,8.71,8.78,72,205,1,1,3.17,86.08219178,14294,GENON MARSH LANDING GEN STATION UNIT 1,Marsh Landing Generating Station,57267,6013,CA,highlight 
ngct,PGE_bay,202.7,8.65,8.71,8.78,71,203,1,1,3.17,85.45205479,14189,GENON MARSH LANDING GEN STATION UNIT 2,Marsh Landing Generating Station,57267,6013,CA,highlight 
ngct,PGE_bay,208.96,8.65,8.71,8.78,74,209,1,1,3.17,88.08219178,14627.2,GENON MARSH LANDING GEN STATION UNIT 3,Marsh Landing Generating Station,57267,6013,CA,highlight 
ngct,PGE_bay,204.29,8.65,8.71,8.78,72,205,1,1,3.17,86.10958904,14300.3,GENON MARSH LANDING GEN STATION UNIT 4,Marsh Landing Generating Station,57267,6013,CA,highlight 
ngct,PGE_bay,46.2,11.9,11.96,12.03,17,47,1,1,3.17,19.45205479,3234,Gilroy Energy Center Unit 3,"Gilroy Energy Center, LLC",55810,6085,CA,
ngct,SCE,22.07,8.06,8.13,8.19,8,23,1,1,3.17,9.315068493,1544.9,Glen Arm Power Plant 1,Glenarm,422,6037,CA,highlight 
ngct,SCE,22.3,8.06,8.13,8.19,8,23,1,1,3.17,9.315068493,1561,Glen Arm Power Plant 2,Glenarm,422,6037,CA,highlight 
ngct,SCE,44.83,8.06,8.13,8.19,16,45,1,1,3.17,18.90410959,3138.1,Glen Arm Power Plant 3,Glenarm,422,6037,CA,highlight 
ngct,SCE,42.42,8.06,8.13,8.19,15,43,1,1,3.17,17.80821918,2969.4,Glen Arm Power Plant 4,Glenarm,422,6037,CA,highlight 
ngct,SDGE,49.9,6.97,7.04,7.1,113,50,1,1,3.17,21.09589041,3493,Goal Line Cogen,Goal Line,54749,6073,CA,
ngct,PGE_bay,48,9.66,9.73,9.79,17,48,1,1,3.17,20.21917808,3360,GOOSE HAVEN ENERGY CENTER,Goose Haven Energy Center,55627,6095,CA,
ngct,SCE,46,11.9,11.97,12.03,17,46,1,1,3.17,19.45205479,3220,Grapeland Peaker,Grapeland Generating Station,56472,6071,CA,highlight 
ngcc,PGE_valley,49.5,6.64,6.9,7.16,20,50,6,6,2,22.87822878,3465,GREENLEAF UNIT #1 (Aggregate),Greenleaf One,10350,6101,CA,
ngct,PGE_valley,63.75,8.02,8.08,8.15,23,64,1,1,3.17,26.84931507,4462.5,GREENLEAF UNIT #2,Greenleaf One,10350,6101,CA,
ngcc,SCE,109.01,10.65,10.91,11.17,44,110,4,4,2,50.18450185,7630.7,HARBOR COGEN COMBINED CYCLE PLANT,Harbor Generating Station,399,6037,CA,
ngct,PGE_valley,49.98,7.41,7.47,7.54,18,50,1,1,3.17,21.09589041,3498.6,Henrietta Peaker Plant Unit 1,Henrietta Peaker Plant,55807,6031,CA,
ngct,PGE_valley,49.42,7.41,7.47,7.54,18,50,1,1,3.17,20.82191781,3459.4,Henrietta Peaker Plant Unit 2,Henrietta Peaker Plant,55807,6031,CA,
ngcc,SCE,830,7.29,7.56,7.82,332,830,4,4,2,381.5498155,58100,HIGH DESERT POWER PROJECT (AGGREGATE),High Desert Power Project,55518,6071,CA,
ngct,PGE_valley,97.62,7.19,7.26,7.32,35,98,1,1,3.17,41.09589041,6833.4,Humboldt Bay Generating Station 1,Humboldt Bay,246,6023,CA,
ngct,PGE_valley,65.08,7.19,7.26,7.32,23,66,1,1,3.17,27.39726027,4555.6,Humboldt Bay Generating Station 3,Humboldt Bay,246,6023,CA,
ngst,SCE,225.75,11.19,11.89,12.6,91,226,6,6,2,46.87116564,15802.5,Huntington Beach 1,AES Huntington Beach,335,6059,CA,
ngst,SCE,225.8,11.19,11.89,12.6,91,226,6,6,2,46.87116564,15806,Huntington Beach 2,AES Huntington Beach,335,6059,CA,
ngct,SCE,44,11.9,11.97,12.03,16,44,1,1,3.17,18.63013699,3080,Indigo Energy 1,Indigo Generation Facility,55541,6065,CA,
ngct,SCE,44.53,11.9,11.97,12.03,16,45,1,1,3.17,18.90410959,3117.1,Indigo Energy 2,Indigo Generation Facility,55541,6065,CA,
ngct,SCE,43.69,11.9,11.97,12.03,16,44,1,1,3.17,18.35616438,3058.3,Indigo Energy 3,Indigo Generation Facility,55541,6065,CA,
ngcc,SCE,366.32,5.62,5.88,6.14,147,367,1,1,2,168.2656827,25642.4,"Inland Empire Energy Center, L.L.C. Unit 2",Inland Empire Energy Center,55853,6065,CA,
ngcc,SCE,376.2,5.62,5.88,6.14,151,377,2,2,2,172.6937269,26334,"Inland Empire Energy Center, Unit 1",Inland Empire Energy Center,55853,6065,CA,
ngct,PGE_valley,44.6,9.43,9.49,9.56,16,45,1,1,3.17,18.90410959,3122,King City Energy Center,King City Power Plant,10294,6053,CA,
ngcc,PGE_valley,259.8,6,6.26,6.52,104,260,3,3,2,119.5571956,18186,LA PALOMA UNIT 1,La Paloma Generating Plant,55151,6029,CA,
ngcc,PGE_valley,260.2,6,6.26,6.52,105,261,3,3,2,119.5571956,18214,LA PALOMA UNIT 2,La Paloma Generating Plant,55151,6029,CA,
ngcc,PGE_valley,256.15,6,6.26,6.52,103,257,3,3,2,117.7121771,17930.5,LA PALOMA UNIT 3,La Paloma Generating Plant,55151,6029,CA,
ngcc,PGE_valley,259.54,6,6.26,6.52,104,260,2,2,2,119.1881919,18167.8,LA PALOMA UNIT 4,La Paloma Generating Plant,55151,6029,CA,
ngct,PGE_valley,48,9.58,9.65,9.71,17,48,1,1,3.17,20.2739726,3360,LAMBIE ENERGY CENTER,Lambie Energy Center,55626,6095,CA,
ngct,SDGE,46.1,11.9,11.97,12.03,22,47,1,1,3.17,19.45205479,3227,Larkspur 1,Larkspur Energy Faciity,55542,6073,CA,
ngct,SDGE,47.98,11.9,11.97,12.03,18,48,1,1,3.17,20.2739726,3358.6,Larkspur 2,Larkspur Energy Faciity,55542,6073,CA,
ngct,PGE_valley,49.9,9.47,9.53,9.6,18,50,1,1,3.17,21.09589041,3493,Lodi Steam Injected Gas Turbine,Lodi Energy Center,57978,6077,CA,
ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,Long Beach - Unit 1,Long Beach Generating Station,341,6037,CA,
ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,Long Beach - Unit 2,Long Beach Generating Station,341,6037,CA,
ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,Long Beach - Unit 3,Long Beach Generating Station,341,6037,CA,
ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,Long Beach - Unit 4,Long Beach Generating Station,341,6037,CA,
ngct,PGE_bay,294,11.9,11.96,12.03,103,294,1,1,3.17,123.9452055,20580,LOS ESTEROS ENERGY FACILITY (AGGREGATE),Los Esteros Critical Energy Facility,55748,6085,CA,
ngcc,PGE_bay,561.29,8.36,8.62,8.88,225,562,4,4,2,257.896679,39290.3,LOS MEDANOS ENERGY CENTER (AGGREGATE),"Los Medanos Energy Center, LLC",55217,6013,CA,
ngcc,PGE_valley,96,7.61,7.87,8.13,39,96,2,2,2,44.2804428,6720,Malaga Power Aggregate,Malaga Power,56239,6019,CA,
ngcc,SCE,134,7.86,8.12,8.38,54,134,3,3,2,61.62361624,9380,Malburg Generating Station,Malburg Generating Station,56041,6037,CA,
ngst,SCE,215,8.87,9.57,10.28,86,215,6,6,2,44.66257669,15050,Mandalay 1,Mandalay Generating Station,345,6111,CA,
ngst,SCE,215.29,8.87,9.57,10.28,87,216,6,6,2,44.66257669,15070.3,Mandalay 2,Mandalay Generating Station,345,6111,CA,
ngct,SCE,130,28.33,28.4,28.46,46,130,1,1,3.17,54.79452055,9100,Mandalay 3 GT,Mandalay Generating Station,345,6111,CA,
ngct,PGE_bay,196,8.64,8.7,8.77,69,196,1,1,3.17,82.63013699,13720,Mariposa Energy Project,Mariposa Energy Project,57483,6001,CA,
ngct,SCE,47.2,11.9,11.97,12.03,17,48,1,1,3.17,20,3304,McGrath Beach Peaker,McGrath Generating Station,56471,6111,CA,highlight 
ngcc,PGE_bay,593.16,5.97,6.23,6.49,238,594,2,2,2,272.5461255,41521.2,METCALF ENERGY CENTER,Metcalf Energy Center,55393,6085,CA,
ngct,PGE_valley,119.91,7.6,7.66,7.73,42,120,1,1,3.17,50.68493151,8393.7,Midway Peaking LLC,Midway Peaking,56639,6019,CA,
ngct,SCE,46,7.6,7.66,7.73,17,46,1,1,3.17,19.45205479,3220,Mira Loma Peaker,Mira Loma Generating Station,56473,6071,CA,
ngct,SDGE,48,7.9,7.96,8.03,17,48,1,1,3.17,20.2739726,3360,MIRAMAR ENERGY FACILITY,Miramar Energy Facility,56232,6073,CA,
ngst,PGE_valley,754,9.81,10.51,11.22,302,754,6,6,2,156.5644172,52780,Moss Landing 6,Moss Landing,260,6053,CA,
ngst,PGE_valley,755,9.81,10.51,11.22,302,755,6,6,2,156.6871166,52850,Moss Landing 7,Moss Landing,260,6053,CA,
ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,MOUNTAINVIEW POWER PLANT POWER BLOCK 3,Mountainview Generating Station,358,6071,CA,
ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,MOUNTAINVIEW POWER PLANT POWER BLOCK 4,Mountainview Generating Station,358,6071,CA,
ngct,SDGE,42.7,7.64,7.71,7.77,212,43,1,1,3.17,18.08219178,2989,NORTH ISLAND COGENERATION,North Island,10812,6073,CA,
ngct,SDGE,96,11.9,11.97,12.03,18,96,1,1,3.17,40.54794521,6720,Orange Grove Energy Center,Orange Grove Project,56914,6073,CA,
ngst,SCE,741.27,11.49,12.19,12.9,297,742,6,6,2,153.8650307,51888.9,Ormond Beach Unit 1,Ormond Beach Generating Station,350,6111,CA,
ngst,SCE,775,11.49,12.19,12.9,310,775,6,6,2,160.8588957,54250,Ormond Beach Unit 2,Ormond Beach Generating Station,350,6111,CA,
ngcc,SDGE,603.68,9.62,9.88,10.14,242,604,1,1,2,277.4907749,42257.6,Otay Mesa Energy Center,"Otay Mesa Energy Center, LLC",55345,6073,CA,
ngcc,SDGE,575,9.7,9.96,10.22,230,575,2,2,2,264.2066421,40250,PALOMAR ENERGY CENTER,Palomar Energy Center,55985,6073,CA,
ngct,PGE_valley,52.01,7.64,7.71,7.77,19,53,1,1,3.17,21.91780822,3640.7,Panoche - CalPeak,CalPeak Power - Panoche,55508,6019,CA,
ngct,PGE_valley,401,7.64,7.71,7.77,141,401,1,1,3.17,169.0410959,28070,Panoche Energy Center,Panoche Energy Center,56803,6019,CA,
ngcc,SCE,799.47,9.62,9.88,10.14,320,800,3,3,2,367.5276753,55962.9,PASTORIA ENERGY FACILITY,Pastoria Energy Facility,55656,6029,CA,
ngct,PGE_valley,34.5,8.02,8.08,8.15,13,35,1,1,3.17,14.52054795,2415,"PE - KES KINGSBURG,LLC",Kingsburg Cogen Facility,10405,6019,CA,highlight 
ngct,SDGE,106,7.87,7.94,8,17,106,1,1,3.17,44.65753425,7420,Pio Pico Unit 1,Pio Pico Energy Center LLC,57555,6073,CA,
ngct,SDGE,106,7.87,7.94,8,34,106,1,1,3.17,44.65753425,7420,Pio Pico Unit 2,Pio Pico Energy Center LLC,57555,6073,CA,
ngct,SDGE,106,7.87,7.94,8,17,106,1,1,3.17,44.65753425,7420,Pio Pico Unit 3,Pio Pico Energy Center LLC,57555,6073,CA,
ngst,PGE_bay,312,12.15,12.85,13.56,125,312,6,6,2,64.52322738,21840,Pittsburg Unit 5,Pittsburg Generating Station (CA),271,6013,CA,
ngst,PGE_bay,317,12.15,12.85,13.56,127,317,6,6,2,65.56234719,22190,Pittsburg Unit 6,Pittsburg Generating Station (CA),271,6013,CA,
ngst,PGE_bay,530,12.15,12.85,13.56,212,530,6,6,2,109.608802,37100,Pittsburg Unit 7,Pittsburg Generating Station (CA),271,6013,CA,
ngst,SCE,178.87,11.19,11.89,12.6,72,179,6,6,2,37.17791411,12520.9,Redondo Unit 5,AES Redondo Beach,356,6037,CA,
ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,Redondo Unit 6,AES Redondo Beach,356,6037,CA,
ngst,SCE,505.96,11.19,11.89,12.6,203,506,6,6,2,105.0306748,35417.2,Redondo Unit 7,AES Redondo Beach,356,6037,CA,
ngst,SCE,495.9,11.19,11.89,12.6,199,496,6,6,2,102.9447853,34713,Redondo Unit 8,AES Redondo Beach,356,6037,CA,
ngct,PGE_valley,46.05,9.37,9.43,9.5,17,47,1,1,3.17,19.45205479,3223.5,Ripon Cogeneration Unit 1,Ripon Generation Station,56135,6077,CA,
ngct,SCE,48.35,8.49,8.56,8.62,17,49,1,1,3.17,20.2739726,3384.5,Riverside Energy Res. Ctr Unit 1,Riverside Energy Resource Center,56143,6065,CA,
ngct,SCE,48.5,8.49,8.56,8.62,17,49,1,1,3.17,20.54794521,3395,Riverside Energy Res. Ctr Unit 2,Riverside Energy Resource Center,56143,6065,CA,
ngct,PGE_bay,48.7,9.3,9.37,9.43,18,49,1,1,3.17,20.52054795,3409,RIVERVIEW ENERGY CENTER,Riverview Energy Center,55963,6013,CA,
ngcc,PGE_bay,620,10.06,10.32,10.58,248,620,1,1,2,284.9077491,43400,Russell City Energy Center,Russell City Energy Company LLC,56467,6001,CA,
ngct,PGE_valley,57,8.02,8.08,8.15,20,57,1,1,3.17,24.10958904,3990,SALINAS RIVER COGENERATION,Salinas River Cogeneration Facility,50865,6053,CA,
ngct,PGE_valley,57.1,8.02,8.08,8.15,20,58,1,1,3.17,24.10958904,3997,SARGENT CANYON COGENERATION,Sargent Canyon Cogen Facility,50864,6053,CA,
ngcc,PGE_valley,586.02,9.84,10.1,10.36,235,587,4,4,2,269.3726937,41021.4,SUNRISE POWER PROJECT (AGGREGATE),Sunrise Power Company,55182,6029,CA,
ngcc,PGE_valley,332.28,6.33,6.59,6.85,133,333,1,1,2,152.7675277,23259.6,Tracy Combined Cycle Power Plant,Tracy Combined Cycle Power Plant,55933,6077,CA,
ngct,SCE,96.43,7.37,7.44,7.5,34,97,1,1,3.17,40.54794521,6750.1,Walnut Creek Energy Park Unit 1,Walnut Creek Energy Park,57515,6037,CA,
ngct,SCE,96.91,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6783.7,Walnut Creek Energy Park Unit 2,Walnut Creek Energy Park,57515,6037,CA,
ngct,SCE,96.65,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6765.5,Walnut Creek Energy Park Unit 3,Walnut Creek Energy Park,57515,6037,CA,
ngct,SCE,96.49,7.37,7.44,7.5,34,97,1,1,3.17,40.54794521,6754.3,Walnut Creek Energy Park Unit 4,Walnut Creek Energy Park,57515,6037,CA,
ngct,SCE,96.65,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6765.5,Walnut Creek Energy Park Unit 5,Walnut Creek Energy Park,57515,6037,CA,
ngct,SCE,49,7.63,7.7,7.76,18,49,1,1,3.17,20.54794521,3430,Wellhead Power Delano,"Delano Energy Center, LLC",58122,6107,CA,highlight 
,,,,,,,,,,,,,,"Wellhead Power Gates, LLC",55875,6019,CA,highlight 2
ngct,PGE_valley,46.9,9.31,9.38,9.44,17,47,1,1,3.17,19.7260274,3283,WOLFSKILL ENERGY CENTER,Wolfskill Energy Center,55855,6095,CA,
ngct,PGE_valley,46,10.84,10.91,10.97,17,46,1,1,3.17,19.45205479,3220,Yuba City Energy Center,Yuba City Energy Center,10349,6101,CA,
