,Node,Time,Value
11210,bus_30207,27,0.0
11211,bus_30207,28,0.0
11212,bus_30207,29,0.0
11213,bus_30207,30,0.0
11214,bus_30207,31,0.0
11215,bus_30207,32,0.0
11216,bus_30207,33,0.0
11217,bus_30207,34,0.0
11218,bus_30207,35,0.0
11219,bus_30207,36,0.0
11220,bus_30207,37,0.0
11221,bus_30207,38,0.0
11222,bus_30207,39,0.0
11223,bus_30207,40,0.0
11224,bus_30207,41,0.0
11225,bus_30207,42,0.0
11226,bus_30207,43,0.0
11227,bus_30207,44,0.0
11228,bus_30207,45,0.0
11229,bus_30207,46,0.0
11230,bus_30207,47,0.0
11231,bus_30207,48,0.0
11232,bus_30220,25,0.0
11233,bus_30220,26,0.0
11234,bus_30220,27,0.0
11235,bus_30220,28,0.0
11236,bus_30220,29,0.0
11237,bus_30220,30,0.0
11238,bus_30220,31,0.0
11239,bus_30220,32,0.0
11240,bus_30220,33,0.0
11241,bus_30220,34,0.0
11242,bus_30220,35,0.0
11243,bus_30220,36,0.0
11244,bus_30220,37,0.0
11245,bus_30220,38,0.0
11246,bus_30220,39,0.0
11247,bus_30220,40,0.0
11248,bus_30220,41,0.0
11249,bus_30220,42,0.0
11250,bus_30220,43,0.0
11251,bus_30220,44,0.0
11252,bus_30220,45,0.0
11253,bus_30220,46,0.0
11254,bus_30220,47,0.0
11255,bus_30220,48,0.0
11256,bus_30221,25,0.0
11257,bus_30221,26,0.0
11258,bus_30221,27,0.0
11259,bus_30221,28,0.0
11260,bus_30221,29,0.0
11261,bus_30221,30,0.0
11262,bus_30221,31,0.0
11263,bus_30221,32,0.0
11264,bus_30221,33,0.0
11265,bus_30221,34,0.0
11266,bus_30221,35,0.0
11267,bus_30221,36,0.0
11268,bus_30221,37,0.0
11269,bus_30221,38,0.0
11270,bus_30221,39,0.0
11271,bus_30221,40,0.0
11272,bus_30221,41,0.0
11273,bus_30221,42,0.0
11274,bus_30221,43,0.0
11275,bus_30221,44,0.0
11276,bus_30221,45,0.0
11277,bus_30221,46,0.0
11278,bus_30221,47,0.0
11279,bus_30221,48,0.0
11280,bus_30225,25,0.0
11281,bus_30225,26,0.0
11282,bus_30225,27,0.0
11283,bus_30225,28,0.0
11284,bus_30225,29,0.0
11285,bus_30225,30,0.0
11286,bus_30225,31,0.0
11287,bus_30225,32,0.0
11288,bus_30225,33,0.0
11289,bus_30225,34,0.0
11290,bus_30225,35,0.0
11291,bus_30225,36,0.0
11292,bus_30225,37,0.0
11293,bus_30225,38,0.0
11294,bus_30225,39,0.0
11295,bus_30225,40,0.0
11296,bus_30225,41,0.0
11297,bus_30225,42,0.0
11298,bus_30225,43,0.0
11299,bus_30225,44,0.0
11300,bus_30225,45,0.0
11301,bus_30225,46,0.0
11302,bus_30225,47,0.0
11303,bus_30225,48,0.0
11304,bus_30226,25,0.0
11305,bus_30226,26,0.0
11306,bus_30226,27,0.0
11307,bus_30226,28,0.0
11308,bus_30226,29,0.0
11309,bus_30226,30,0.0
11310,bus_30226,31,0.0
11311,bus_30226,32,0.0
11312,bus_30226,33,0.0
11313,bus_30226,34,0.0
11314,bus_30226,35,0.0
11315,bus_30226,36,0.0
11316,bus_30226,37,0.0
11317,bus_30226,38,0.0
11318,bus_30226,39,0.0
11319,bus_30226,40,0.0
11320,bus_30226,41,0.0
11321,bus_30226,42,0.0
11322,bus_30226,43,0.0
11323,bus_30226,44,0.0
11324,bus_30226,45,0.0
11325,bus_30226,46,0.0
11326,bus_30226,47,0.0
11327,bus_30226,48,0.0
11328,bus_30342,25,0.0
11329,bus_30342,26,0.0
11330,bus_30342,27,0.0
11331,bus_30342,28,0.0
11332,bus_30342,29,0.0
11333,bus_30342,30,0.0
11334,bus_30342,31,0.0
11335,bus_30342,32,0.0
11336,bus_30342,33,0.0
11337,bus_30342,34,0.0
11338,bus_30342,35,0.0
