,Constraint,Bus,Time,Value
158,Node_Constraint,bus_10209,15,19.081666666666763
159,Node_Constraint,bus_10209,16,19.54166666666651
160,Node_Constraint,bus_10209,17,19.541666666667265
161,Node_Constraint,bus_10209,18,19.541666666666618
162,Node_Constraint,bus_10209,19,19.541666666666497
163,Node_Constraint,bus_10209,20,19.541666666666558
164,Node_Constraint,bus_10209,21,19.541666666666423
165,Node_Constraint,bus_10209,22,19.54166666666658
166,Node_Constraint,bus_10209,23,19.541666666666597
167,Node_Constraint,bus_10209,24,19.541666666666227
168,Node_Constraint,bus_10228,1,19.541666666666508
169,Node_Constraint,bus_10228,2,19.54166666666653
170,Node_Constraint,bus_10228,3,19.91
171,Node_Constraint,bus_10228,4,19.906666666666677
172,Node_Constraint,bus_10228,5,19.73111111111108
173,Node_Constraint,bus_10228,6,19.541666666666607
174,Node_Constraint,bus_10228,7,19.541666666666558
175,Node_Constraint,bus_10228,8,19.54166666666648
176,Node_Constraint,bus_10228,9,19.541666666666508
177,Node_Constraint,bus_10228,10,19.14142857142857
178,Node_Constraint,bus_10228,11,18.780000000000097
179,Node_Constraint,bus_10228,12,18.83000000000017
180,Node_Constraint,bus_10228,13,18.830000000000048
181,Node_Constraint,bus_10228,14,18.803333333333335
182,Node_Constraint,bus_10228,15,19.081666666666745
183,Node_Constraint,bus_10228,16,19.541666666666536
184,Node_Constraint,bus_10228,17,19.541666666666615
185,Node_Constraint,bus_10228,18,19.54166666666661
186,Node_Constraint,bus_10228,19,19.541666666666618
187,Node_Constraint,bus_10228,20,19.541666666666544
188,Node_Constraint,bus_10228,21,19.54166666666642
189,Node_Constraint,bus_10228,22,19.541666666666593
190,Node_Constraint,bus_10228,23,19.541666666666593
191,Node_Constraint,bus_10228,24,19.54166666666632
192,Node_Constraint,bus_10344,1,19.541666666666494
193,Node_Constraint,bus_10344,2,19.54166666666672
194,Node_Constraint,bus_10344,3,19.91
195,Node_Constraint,bus_10344,4,19.906666666666673
196,Node_Constraint,bus_10344,5,19.731111111111122
197,Node_Constraint,bus_10344,6,19.541666666666615
198,Node_Constraint,bus_10344,7,19.54166666666655
199,Node_Constraint,bus_10344,8,19.541666666666504
200,Node_Constraint,bus_10344,9,19.541666666666508
201,Node_Constraint,bus_10344,10,19.141428571428566
202,Node_Constraint,bus_10344,11,18.78000000000012
203,Node_Constraint,bus_10344,12,18.83000000000015
204,Node_Constraint,bus_10344,13,18.830000000000037
205,Node_Constraint,bus_10344,14,18.803333333333335
206,Node_Constraint,bus_10344,15,19.081666666666752
207,Node_Constraint,bus_10344,16,19.54166666666653
208,Node_Constraint,bus_10344,17,19.541666666666792
209,Node_Constraint,bus_10344,18,19.54166666666661
210,Node_Constraint,bus_10344,19,19.541666666666536
211,Node_Constraint,bus_10344,20,19.541666666666604
212,Node_Constraint,bus_10344,21,19.541666666666423
213,Node_Constraint,bus_10344,22,19.541666666666593
214,Node_Constraint,bus_10344,23,19.541666666666586
215,Node_Constraint,bus_10344,24,19.541666666666263
216,Node_Constraint,bus_10525,1,19.541666666666533
217,Node_Constraint,bus_10525,2,19.541666666666465
218,Node_Constraint,bus_10525,3,19.91
219,Node_Constraint,bus_10525,4,19.90666666666668
220,Node_Constraint,bus_10525,5,19.731111111111055
221,Node_Constraint,bus_10525,6,19.541666666666607
222,Node_Constraint,bus_10525,7,19.541666666666547
223,Node_Constraint,bus_10525,8,19.54166666666648
224,Node_Constraint,bus_10525,9,19.5416666666665
225,Node_Constraint,bus_10525,10,19.141428571428573
226,Node_Constraint,bus_10525,11,18.7800000000001
227,Node_Constraint,bus_10525,12,18.830000000000155
228,Node_Constraint,bus_10525,13,18.83000000000005
229,Node_Constraint,bus_10525,14,18.803333333333335
230,Node_Constraint,bus_10525,15,19.081666666666745
231,Node_Constraint,bus_10525,16,19.541666666666536
232,Node_Constraint,bus_10525,17,19.541666666666604
233,Node_Constraint,bus_10525,18,19.54166666666662
234,Node_Constraint,bus_10525,19,19.541666666666544
235,Node_Constraint,bus_10525,20,19.54166666666654
236,Node_Constraint,bus_10525,21,19.54166666666642
237,Node_Constraint,bus_10525,22,19.541666666666597
238,Node_Constraint,bus_10525,23,19.541666666666597
239,Node_Constraint,bus_10525,24,19.541666666666334
240,Node_Constraint,bus_10558,1,19.541666666666536
241,Node_Constraint,bus_10558,2,19.541666666666448
242,Node_Constraint,bus_10558,3,19.91
243,Node_Constraint,bus_10558,4,19.906666666666677
244,Node_Constraint,bus_10558,5,19.731111111111094
245,Node_Constraint,bus_10558,6,19.54166666666661
246,Node_Constraint,bus_10558,7,19.541666666666558
247,Node_Constraint,bus_10558,8,19.541666666666483
248,Node_Constraint,bus_10558,9,19.541666666666504
249,Node_Constraint,bus_10558,10,19.14142857142857
250,Node_Constraint,bus_10558,11,18.780000000000086
251,Node_Constraint,bus_10558,12,18.830000000000194
252,Node_Constraint,bus_10558,13,18.830000000000055
253,Node_Constraint,bus_10558,14,18.803333333333335
254,Node_Constraint,bus_10558,15,19.081666666666745
255,Node_Constraint,bus_10558,16,19.541666666666536
256,Node_Constraint,bus_10558,17,19.541666666666593
257,Node_Constraint,bus_10558,18,19.541666666666615
258,Node_Constraint,bus_10558,19,19.541666666666544
259,Node_Constraint,bus_10558,20,19.541666666666522
260,Node_Constraint,bus_10558,21,19.54166666666642
261,Node_Constraint,bus_10558,22,19.541666666666593
262,Node_Constraint,bus_10558,23,19.541666666666583
263,Node_Constraint,bus_10558,24,19.541666666666348
264,Node_Constraint,bus_10570,1,19.541666666666536
265,Node_Constraint,bus_10570,2,19.54166666666647
266,Node_Constraint,bus_10570,3,19.91
267,Node_Constraint,bus_10570,4,19.906666666666673
268,Node_Constraint,bus_10570,5,19.731111111111094
269,Node_Constraint,bus_10570,6,19.541666666666618
270,Node_Constraint,bus_10570,7,19.541666666666533
271,Node_Constraint,bus_10570,8,19.54166666666648
272,Node_Constraint,bus_10570,9,19.541666666666504
273,Node_Constraint,bus_10570,10,19.14142857142857
274,Node_Constraint,bus_10570,11,18.78000000000007
275,Node_Constraint,bus_10570,12,18.83000000000019
276,Node_Constraint,bus_10570,13,18.830000000000055
277,Node_Constraint,bus_10570,14,18.803333333333335
278,Node_Constraint,bus_10570,15,19.081666666666745
279,Node_Constraint,bus_10570,16,19.541666666666536
280,Node_Constraint,bus_10570,17,19.5416666666666
281,Node_Constraint,bus_10570,18,19.541666666666615
282,Node_Constraint,bus_10570,19,19.541666666666536
283,Node_Constraint,bus_10570,20,19.54166666666651
284,Node_Constraint,bus_10570,21,19.541666666666423
285,Node_Constraint,bus_10570,22,19.54166666666659
286,Node_Constraint,bus_10570,23,19.54166666666656
287,Node_Constraint,bus_10570,24,19.54166666666635
288,Node_Constraint,bus_10600,1,19.541666666666536
289,Node_Constraint,bus_10600,2,19.541666666666256
290,Node_Constraint,bus_10600,3,19.91
291,Node_Constraint,bus_10600,4,19.906666666666673
292,Node_Constraint,bus_10600,5,19.7311111111111
293,Node_Constraint,bus_10600,6,19.54166666666659
294,Node_Constraint,bus_10600,7,19.541666666666536
295,Node_Constraint,bus_10600,8,19.541666666666483
296,Node_Constraint,bus_10600,9,19.541666666666508
297,Node_Constraint,bus_10600,10,19.141428571428566
298,Node_Constraint,bus_10600,11,18.780000000000044
299,Node_Constraint,bus_10600,12,18.83000000000015
300,Node_Constraint,bus_10600,13,18.830000000000055
301,Node_Constraint,bus_10600,14,18.803333333333335
302,Node_Constraint,bus_10600,15,19.081666666666745
303,Node_Constraint,bus_10600,16,19.541666666666526
304,Node_Constraint,bus_10600,17,19.541666666666607
305,Node_Constraint,bus_10600,18,19.54166666666659
306,Node_Constraint,bus_10600,19,19.54166666666654
307,Node_Constraint,bus_10600,20,19.541666666666497
308,Node_Constraint,bus_10600,21,19.541666666666444
309,Node_Constraint,bus_10600,22,19.541666666666572
310,Node_Constraint,bus_10600,23,19.54166666666655
311,Node_Constraint,bus_10600,24,19.541666666666334
312,Node_Constraint,bus_10607,1,19.54166666666654
313,Node_Constraint,bus_10607,2,19.541666666666494
314,Node_Constraint,bus_10607,3,19.910000000000004
315,Node_Constraint,bus_10607,4,19.90666666666666
316,Node_Constraint,bus_10607,5,19.731111111111073
317,Node_Constraint,bus_10607,6,19.541666666666313
318,Node_Constraint,bus_10607,7,19.54166666666653
