,Generator,Time,Value
12670,SUISUNCITY,47,0.0
12671,SUISUNCITY,48,0.0
12672,BYRON,25,199.6
12673,BYRON,26,199.6
12674,BYRON,27,199.6
12675,BYRON,28,199.6
12676,BYRON,29,199.6
12677,BYRON,30,199.6
12678,BYRON,31,199.6
12679,BYRON,32,199.6
12680,BYRON,33,199.6
12681,BYRON,34,199.6
12682,BYRON,35,199.6
12683,BYRON,36,199.6
12684,BYRON,37,199.6
12685,BYRON,38,199.6
12686,BYRON,39,199.6
12687,BYRON,40,199.6
12688,BYRON,41,199.6
12689,BYRON,42,199.6
12690,BYRON,43,199.6
12691,BYRON,44,199.6
12692,BYRON,45,199.6
12693,BYRON,46,199.6
12694,BYRON,47,199.6
12695,BYRON,48,199.6
12696,VACAVILLE,25,0.0
12697,VACAVILLE,26,0.0
12698,VACAVILLE,27,0.0
12699,VACAVILLE,28,0.0
12700,VACAVILLE,29,0.0
12701,VACAVILLE,30,0.0
12702,VACAVILLE,31,0.0
12703,VACAVILLE,32,0.0
12704,VACAVILLE,33,0.0
12705,VACAVILLE,34,0.0
12706,VACAVILLE,35,0.0
12707,VACAVILLE,36,0.0
12708,VACAVILLE,37,0.0
12709,VACAVILLE,38,0.0
12710,VACAVILLE,39,0.0
12711,VACAVILLE,40,0.0
12712,VACAVILLE,41,0.0
12713,VACAVILLE,42,0.0
12714,VACAVILLE,43,0.0
12715,VACAVILLE,44,0.0
12716,VACAVILLE,45,0.0
12717,VACAVILLE,46,0.0
12718,VACAVILLE,47,0.0
12719,VACAVILLE,48,0.0
12720,TRACY,25,0.0
12721,TRACY,26,0.0
12722,TRACY,27,0.0
12723,TRACY,28,0.0
12724,TRACY,29,0.0
12725,TRACY,30,0.0
12726,TRACY,31,0.0
12727,TRACY,32,0.0
12728,TRACY,33,0.0
12729,TRACY,34,0.0
12730,TRACY,35,0.0
12731,TRACY,36,0.0
12732,TRACY,37,0.0
12733,TRACY,38,0.0
12734,TRACY,39,0.0
12735,TRACY,40,0.0
12736,TRACY,41,0.0
12737,TRACY,42,0.0
12738,TRACY,43,0.0
12739,TRACY,44,0.0
12740,TRACY,45,0.0
12741,TRACY,46,0.0
12742,TRACY,47,0.0
12743,TRACY,48,0.0
12744,YUBACITY_5,25,636.0
12745,YUBACITY_5,26,636.0
12746,YUBACITY_5,27,636.0
