,AVA,AZPS,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
51,0,65,0,0,,57,,0,,0,0,2,96,0,0,0,,0,0,,,0,0,,,0,,
52,0,25,0,0,,45,,0,,0,0,2,96,0,0,0,,0,0,,,0,0,,,0,,
53,0,26,0,0,,45,,0,,0,0,3,96,0,0,0,,0,0,,,0,0,,,0,,
54,0,29,0,0,,0,,0,,0,0,3,96,0,0,0,,0,0,,,0,0,,,0,,
55,0,44,0,0,,0,,0,,0,0,3,96,0,0,0,,0,0,,,0,0,,,0,,
56,0,39,0,0,,0,,0,,0,0,3,95,0,0,0,,0,0,,,0,0,,,0,,
57,0,17,0,0,,0,,0,,0,0,3,95,0,0,0,,0,0,,,0,0,,,0,,
58,0,11,0,0,,0,,0,,0,0,3,51,0,0,0,,0,0,,,0,0,,,0,,
59,0,11,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
60,0,6,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
61,0,1,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
62,0,2,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
63,0,8,0,0,,158,,8,,0,0,4,0,0,1,0,,9,10,,,6,21,,,0,,
64,0,91,4,0,,3503,,59,,23,4,114,95,0,160,4,,85,115,,,194,117,,,19,,
65,0,216,36,0,,7105,,80,,70,90,519,330,1,575,8,,139,194,,,459,150,,,40,,
66,0,342,91,1,,7868,,86,,92,146,800,398,4,650,19,,154,208,,,558,151,,,38,,
67,1,389,105,1,,7842,,87,,100,133,850,407,5,601,31,,157,210,,,555,146,,,34,,
68,1,381,90,1,,7786,,86,,115,129,856,391,6,571,50,,154,207,,,542,146,,,34,,
69,3,381,88,1,,7850,,89,,116,119,842,390,6,608,55,,160,207,,,550,150,,,37,,
70,0,392,100,1,,7695,,90,,117,125,803,411,4,678,57,,157,213,,,561,150,,,35,,
71,1,390,56,1,,6273,,83,,103,105,674,394,1,633,41,,124,149,,,474,119,,,32,,
72,1,289,23,1,,2022,,33,,64,35,337,287,0,258,26,,32,19,,,237,19,,,7,,
73,0,125,12,0,,202,,0,,7,0,38,115,0,5,6,,0,0,,,15,0,,,0,,
74,0,108,1,0,,202,,0,,0,0,3,97,0,0,0,,0,0,,,0,0,,,0,,
75,0,29,1,0,,57,,0,,0,0,3,97,0,0,0,,0,0,,,0,0,,,0,,
76,0,1,1,0,,45,,0,,0,0,3,97,0,0,0,,0,0,,,0,0,,,0,,
77,0,0,1,0,,0,,0,,0,0,3,96,0,0,0,,0,0,,,0,0,,,0,,
78,0,0,1,0,,0,,0,,0,0,3,96,0,0,0,,0,0,,,0,0,,,0,,
79,0,0,1,0,,0,,0,,0,0,3,96,0,0,0,,0,0,,,0,0,,,0,,
80,0,0,1,0,,0,,0,,0,0,3,96,0,0,0,,0,0,,,0,0,,,0,,
81,0,0,1,0,,0,,0,,0,0,3,21,0,0,0,,0,0,,,0,0,,,0,,
82,0,0,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
83,0,0,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
84,0,5,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
85,0,8,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
86,0,8,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
87,0,11,1,0,,150,,12,,0,0,3,0,0,1,0,,7,8,,,4,23,,,0,,
88,0,97,2,0,,3590,,59,,31,7,114,91,0,172,3,,98,131,,,195,124,,,18,,
89,0,211,20,0,,7158,,75,,93,65,519,311,2,620,14,,161,205,,,455,158,,,35,,
90,1,331,64,1,,7879,,76,,117,95,798,377,6,689,40,,168,205,,,556,155,,,37,,
91,5,377,87,1,,7831,,76,,118,95,851,379,7,622,51,,164,212,,,554,148,,,34,,
92,7,373,86,1,,7773,,75,,119,84,854,371,6,578,62,,163,205,,,543,151,,,34,,
93,8,376,90,1,,7910,,79,,117,88,839,373,6,600,80,,168,209,,,553,155,,,38,,
94,5,387,100,1,,7783,,89,,117,86,802,401,6,660,64,,165,218,,,555,157,,,41,,
95,0,379,93,0,,6362,,82,,108,63,677,399,3,565,35,,129,153,,,470,124,,,35,,
96,4,289,70,0,,2023,,34,,62,34,343,244,0,250,26,,34,20,,,238,23,,,7,,
97,0,131,7,0,,0,,1,,9,2,40,84,0,2,6,,0,0,,,15,0,,,0,,
98,0,99,0,0,,0,,0,,0,0,2,79,0,0,0,,0,0,,,0,0,,,0,,
99,0,64,0,0,,0,,0,,0,0,3,78,0,73,0,,0,0,,,0,0,,,0,,
100,0,10,0,0,,0,,0,,0,0,3,80,0,0,0,,0,0,,,0,0,,,0,,
101,0,10,0,0,,0,,0,,0,0,3,79,0,0,0,,0,0,,,0,0,,,0,,
102,0,22,0,0,,0,,0,,0,0,3,79,0,0,0,,0,0,,,0,0,,,0,,
103,0,23,0,0,,0,,0,,0,0,3,79,0,0,0,,0,0,,,0,0,,,0,,
104,0,18,0,0,,0,,0,,0,0,3,79,0,0,0,,0,0,,,0,0,,,0,,
105,0,17,0,0,,0,,0,,0,1,3,17,0,0,0,,0,0,,,0,0,,,0,,
106,0,21,0,0,,0,,0,,0,1,3,0,0,0,0,,0,0,,,0,0,,,0,,
107,0,22,0,0,,0,,0,,0,1,3,0,0,0,0,,0,0,,,0,0,,,0,,
108,0,25,0,0,,0,,0,,0,1,3,0,0,0,0,,0,0,,,0,0,,,0,,
109,0,33,0,0,,0,,0,,0,1,3,0,0,0,0,,0,0,,,0,0,,,0,,
110,0,43,0,0,,0,,0,,0,1,3,0,0,0,0,,0,1,,,0,0,,,0,,
111,0,50,0,0,,0,,13,,0,1,3,0,0,0,0,,10,9,,,2,16,,,0,,
112,0,80,0,0,,644,,66,,6,5,20,10,0,51,4,,104,114,,,85,94,,,17,,
113,2,119,3,0,,1241,,87,,8,36,85,43,2,136,13,,159,192,,,191,112,,,27,,
114,0,156,2,0,,2058,,84,,11,69,146,71,7,187,33,,169,212,,,262,98,,,31,,
115,5,148,6,1,,2279,,79,,18,64,201,125,7,257,64,,156,214,,,337,123,,,28,,
116,0,142,6,2,,2560,,79,,14,63,178,117,6,315,71,,146,198,,,233,109,,,29,,
117,7,123,10,1,,1549,,77,,16,43,160,118,7,278,63,,141,160,,,205,101,,,23,,
118,0,100,17,0,,1012,,47,,19,25,134,112,5,179,49,,104,111,,,113,67,,,14,,
119,6,53,8,0,,548,,38,,11,12,69,68,1,135,30,,81,49,,,47,15,,,7,,
120,0,46,3,1,,153,,17,,4,4,29,31,0,64,26,,14,13,,,17,4,,,2,,
