FULTON_20_hydro,MC_CALL_20_hydro,MESA_CAL_20_hydro,ROUND_MT_20_hydro,SUMMIT_20_hydro,TESLA_20_hydro,CANAD_G1_20_hydro,CMAIN_GM_20_hydro,COTWDWAP_20_hydro,COULEE_20_hydro,CRAIG_20_hydro,DALLES21_20_hydro,EMERY_20_hydro,HANFORD_20_hydro,HOOVER_20_hydro,IMPERIAL_20_hydro,JOHN_DAY_20_hydro,MALIN_20_hydro,MIDPOINT_20_hydro,MONTA_G1_20_hydro,NAUGHT_20_hydro,NAVAJO_2_20_hydro,NORTH_G3_20_hydro,OWENS_G_20_hydro,RNCHSECO_20_hydro,SJUAN_G4_20_hydro,WCASCADE_20_hydro
18,745.9,268,3215.5,51,701,3955.723864,1926.121591,314,2593,138,2201.497369,8,1139,1033.887076,100,3194,851,429,139,162,337,1685.790395,22,138,346.6748906,343.525
15,544.3,268,3215.5,51,701,4835.923864,1743.189314,314,2862.015255,138,1909.297369,10.39583333,1707.8,825.6387461,100,2968.319327,851,429,148.5,162,251,2047.590395,22,138,486.4748906,286.525
12,745.9,268,2845.9,51,701,4160.207895,2184.189314,314,4158.015255,207,1617.097369,14.59583333,2276.6,704.0590051,100,2601.119327,753.2,429,217.5,243,377,2409.390395,22,138,626.2748906,229.525
9,947.5,301.1982143,2476.3,51,706.2795907,5040.407895,2625.189314,471.2,5454.015255,138,1324.897369,18.79583333,2845.4,899.3431036,109.110971,2283.980789,732.681475,643.2,286.5,324,503,2771.190395,27.31071429,138,766.0748906,172.525
6,1149.1,434.9982143,2280.257996,76.8,1056.679591,5527.347867,3066.189314,628.4,6750.015255,138,1032.697369,22.99583333,3414.2,1143.543104,159.510971,1916.780789,634.881475,857.4,355.5,405,629,3132.990395,38.11071429,207,905.8748906,115.525
6,1350.7,568.7982143,2080.494813,102.6,1407.079591,5113.776775,3507.189314,785.6,8046.015255,138,740.497369,27.19583333,3983,998.2126015,209.910971,1549.580789,537.081475,1071.6,424.5,486,755,3145,48.91071429,276,1000.454049,115
6,1552.3,702.5982143,2266.241886,102.6,1757.479591,4233.576775,3837,942.8,9339.15764,138,584,31.39583333,4551.8,1216.499765,260.310971,1182.380789,439.281475,1010.19083,493.5,458.0387875,881,2783.2,59.71071429,345,959.2249616,115
6,1753.9,568.7982143,2589.177422,76.8,1407.079591,4463.548778,3837,866.012929,8811.423599,167.3928571,584,34,4953,972.2997646,279.6823665,915.034352,489.4,795.9908296,465,377.0387875,941.0651375,2988.261895,48.91071429,276,958.6177796,115
6,1624.129283,434.9982143,2625.996734,51,1056.679591,5343.748778,3396,708.812929,7515.423599,236.3928571,584,29.8,4953,841.0394865,229.2823665,1282.234352,587.2,581.7908296,396,296.0387875,815.0651375,3145,38.11071429,207,1065.644755,115
6,1425.735358,301.1982143,2995.596734,51,706.2795907,6223.948778,2955,551.612929,6219.423599,305.3928571,584,25.6,4953,678.2100001,178.8823665,1649.434352,489.4,545.9320869,327,377.0387875,689.0651375,3145,27.31071429,138,925.8447546,115
