,Generator,Time,Value
309,KAMPONG_CHAM_GTS,22,0.0
310,KAMPONG_CHAM_GTS,23,0.0
311,KAMPONG_CHAM_GTS,24,0.0
312,KAMPOT_CPP,1,0.0
313,KAMPOT_CPP,2,0.0
314,KAMPOT_CPP,3,0.0
315,KAMPOT_CPP,4,0.0
316,KAMPOT_CPP,5,0.0
317,KAMPOT_CPP,6,0.0
318,KAMPOT_CPP,7,0.0
319,KAMPOT_CPP,8,24.0
320,KAMPOT_CPP,9,0.0
321,KAMPOT_CPP,10,0.0
322,KAMPOT_CPP,11,24.0
323,KAMPOT_CPP,12,24.0
324,KAMPOT_CPP,13,3.990000000000009
325,KAMPOT_CPP,14,0.0
326,KAMPOT_CPP,15,24.0
327,KAMPOT_CPP,16,24.0
328,KAMPOT_CPP,17,24.0
329,KAMPOT_CPP,18,0.0
330,KAMPOT_CPP,19,0.0
331,KAMPOT_CPP,20,24.0
332,KAMPOT_CPP,21,24.0
333,KAMPOT_CPP,22,0.0
334,KAMPOT_CPP,23,0.0
335,KAMPOT_CPP,24,0.0
336,SIHANOUKVILLE_CIIDG,1,0.0
337,SIHANOUKVILLE_CIIDG,2,0.0
338,SIHANOUKVILLE_CIIDG,3,0.0
339,SIHANOUKVILLE_CIIDG,4,0.0
340,SIHANOUKVILLE_CIIDG,5,0.0
341,SIHANOUKVILLE_CIIDG,6,0.0
342,SIHANOUKVILLE_CIIDG,7,0.0
343,SIHANOUKVILLE_CIIDG,8,0.0
344,SIHANOUKVILLE_CIIDG,9,0.0
345,SIHANOUKVILLE_CIIDG,10,0.0
346,SIHANOUKVILLE_CIIDG,11,0.0
347,SIHANOUKVILLE_CIIDG,12,0.0
348,SIHANOUKVILLE_CIIDG,13,0.0
349,SIHANOUKVILLE_CIIDG,14,0.0
350,SIHANOUKVILLE_CIIDG,15,0.0
351,SIHANOUKVILLE_CIIDG,16,0.0
352,SIHANOUKVILLE_CIIDG,17,0.0
353,SIHANOUKVILLE_CIIDG,18,0.0
354,SIHANOUKVILLE_CIIDG,19,0.0
355,SIHANOUKVILLE_CIIDG,20,0.0
356,SIHANOUKVILLE_CIIDG,21,0.0
357,SIHANOUKVILLE_CIIDG,22,0.0
358,SIHANOUKVILLE_CIIDG,23,0.0
359,SIHANOUKVILLE_CIIDG,24,0.0
360,SIHANOUKVILLE,1,10.44
361,SIHANOUKVILLE,2,10.44
362,SIHANOUKVILLE,3,10.44
363,SIHANOUKVILLE,4,10.44
364,SIHANOUKVILLE,5,10.44
365,SIHANOUKVILLE,6,10.44
366,SIHANOUKVILLE,7,0.0
367,SIHANOUKVILLE,8,0.0
368,SIHANOUKVILLE,9,0.0
369,SIHANOUKVILLE,10,0.0
370,SIHANOUKVILLE,11,0.0
371,SIHANOUKVILLE,12,0.0
372,SIHANOUKVILLE,13,0.0
373,SIHANOUKVILLE,14,0.0
374,SIHANOUKVILLE,15,0.0
375,SIHANOUKVILLE,16,0.0
376,SIHANOUKVILLE,17,0.0
377,SIHANOUKVILLE,18,10.44
378,SIHANOUKVILLE,19,0.0
379,SIHANOUKVILLE,20,10.44
380,SIHANOUKVILLE,21,0.0
381,SIHANOUKVILLE,22,0.0
382,SIHANOUKVILLE,23,0.0
383,SIHANOUKVILLE,24,10.44
384,SIHANOUKVILLE_COLBEN,1,8.0
385,SIHANOUKVILLE_COLBEN,2,8.0
386,SIHANOUKVILLE_COLBEN,3,8.0
387,SIHANOUKVILLE_COLBEN,4,8.0
388,SIHANOUKVILLE_COLBEN,5,8.0
389,SIHANOUKVILLE_COLBEN,6,8.0
390,SIHANOUKVILLE_COLBEN,7,0.0
391,SIHANOUKVILLE_COLBEN,8,0.0
392,SIHANOUKVILLE_COLBEN,9,0.0
393,SIHANOUKVILLE_COLBEN,10,0.0
394,SIHANOUKVILLE_COLBEN,11,0.0
395,SIHANOUKVILLE_COLBEN,12,0.0
396,SIHANOUKVILLE_COLBEN,13,0.0
397,SIHANOUKVILLE_COLBEN,14,0.0
398,SIHANOUKVILLE_COLBEN,15,8.0
399,SIHANOUKVILLE_COLBEN,16,0.0
400,SIHANOUKVILLE_COLBEN,17,0.0
401,SIHANOUKVILLE_COLBEN,18,0.0
402,SIHANOUKVILLE_COLBEN,19,0.0
403,SIHANOUKVILLE_COLBEN,20,0.0
404,SIHANOUKVILLE_COLBEN,21,0.0
405,SIHANOUKVILLE_COLBEN,22,0.0
406,SIHANOUKVILLE_COLBEN,23,0.0
407,SIHANOUKVILLE_COLBEN,24,8.0
408,SIEM_RIEP,1,6.95
409,SIEM_RIEP,2,4.719999999999997
410,SIEM_RIEP,3,6.95
411,SIEM_RIEP,4,6.95
412,SIEM_RIEP,5,6.95
413,SIEM_RIEP,6,6.95
414,SIEM_RIEP,7,6.95
415,SIEM_RIEP,8,0.0
416,SIEM_RIEP,9,0.0
417,SIEM_RIEP,10,0.0
418,SIEM_RIEP,11,0.0
419,SIEM_RIEP,12,0.0
420,SIEM_RIEP,13,0.0
421,SIEM_RIEP,14,0.0
422,SIEM_RIEP,15,0.0
423,SIEM_RIEP,16,0.0
