CORONADO_20_wind,MALIN_20_wind,JOHN_DAY_20_wind,DALLES21_20_wind,COULEE_20_wind,HANFORD_20_wind,WCASCADE_20_wind,CMAIN_GM_20_wind,MIDPOINT_20_wind,MONTA_G1_20_wind,BRIDGER_20_wind,VALMY_20_wind,COLOEAST_20_wind
370.8,29.9,1.5,281.3,17.4,2301.4,9.6,1048.6,0,1104.4,2427.2,35.7,399.2
569.8,29.9,1.5,279.9,13.5,2204.2,9,1035.5,0,1170.4,2472.6,46.5,402.8
750.7,29.9,1.7,280.7,11.8,2065,8.3,1075.1,0,1209.5,2546.4,70.1,434.8
949.4,29.9,1.3,282.3,6.1,2354.7,10.4,1144.5,0,1194.4,2628.5,95.5,427.4
974.4,28.6,0.9,283.2,17.3,2570.6,10.2,1161.4,0,1150.9,2638.7,93.1,465.8
992.3,27.7,0.7,283.3,35.8,2331.1,8,1159,0,1143.6,2601,100.6,437.5
1094.7,25.3,0.9,283.8,30.2,1909.2,9,1141.9,0,1200.3,2564.6,104.6,381.8
1163.7,23.7,2,284.3,28.8,1707,9.1,1049.1,0,1188.2,2553.3,94.9,341.4
995.2,22.8,2.8,284.2,26.4,1633,8,1072.3,0,1138.7,2508.5,100.7,295.6
874.8,21.4,2.3,283.9,31.5,1400,8.4,1074,0,991.7,2425.6,103.8,259.1
779.7,22.2,2.3,284.1,28.6,1008.7,7.7,1059,0,914.8,2382.8,76.9,267.5
590.5,24,1.5,283.9,23.4,932.5,4.4,1030.8,0,815.1,2363.6,95.6,247.6
400.2,27.2,1.3,283.9,17.9,1004.7,2.5,1027.2,0,910.2,2343.6,120.9,216.5
282.2,26.6,1.4,283.5,15.6,1180.4,2.6,1020,0,883.9,2340.2,183.5,171.8
297.4,24.1,0.9,281.8,18.9,1493.9,2.3,1028.7,0,832.1,2324.3,285.9,171.9
376.3,19.9,0.4,269.9,21.1,1455.3,2.8,1023.8,0,786.8,2331.3,351.9,192.6
397.7,17.3,0.5,214.8,17.6,933.6,1.9,998.1,0,666.1,2356.4,352.6,192.4
417.3,18.7,0.7,142.3,20.7,749.5,1.6,972.3,0,597.2,2373.9,391.1,197.3
417.5,21.3,1,142.3,20.5,985.8,0.4,940.2,0,632,2384.8,443.4,184.3
421.4,25.6,1.3,238.2,17.8,1222.4,0,925.2,0,747.7,2412.8,467.7,159.5
445.1,28.4,1.2,275.1,15.7,1130.8,0,990.3,0,794,2463.3,469,145.7
475.3,29.3,1,276.4,17.9,991.1,0,753.1,0,824.7,2517.3,463.1,136.3
500.7,29.2,0.6,231.7,10.5,1026.4,0,605,0,833.9,2600.3,452.9,138.5
585.9,29.4,0.7,120.4,6.8,1158.2,0,628.8,0,816.9,2796.4,459.9,135.3
771.7,29.5,1,79.3,2,1101.2,0,658.2,0,778.7,2862.9,457.2,131.2
984.1,29.7,1.4,78.1,0.3,567.4,0,489.6,0,790,2870.9,441.9,112.9
1239.2,30,1.6,73.3,0,84.4,0,496.1,0,813.4,2868.1,411.8,129.2
1413.8,29.9,1.4,77.8,0.4,27.3,0.1,478.6,0,841.7,2861.3,377.6,199.9
1756.7,29.6,1.9,95.6,0.4,18,0.2,506.8,0,870.6,2886.3,354.9,357.8
2061.7,26,1.9,163,0.3,18.9,0.3,539.9,0,887.4,2912.1,336,586.1
2248.4,22.2,1.9,155.3,0,33.9,0.7,543.5,0,863.4,2895.8,370.4,613.8
2321.8,17.4,1.9,223.5,0,63.8,2.5,535,0,784.4,2838.9,404.2,363.6
2206.7,16.5,2.7,240.7,0,177,7.5,527.5,0,668.7,2788.4,404.4,281.2
2205.5,15.6,2.9,210.4,0,373.9,10.5,518.7,0,669.6,2823.5,410.1,221.4
2300.9,22.8,3.2,206,0.3,463.9,9.7,540.2,0,641.4,2892.8,411,227.4
2375.7,20.1,3.2,195.8,3.2,654.8,9,530.6,0,599,2931.6,402,158.4
2430.1,14.8,3.6,189.6,4.9,906.2,9.5,532.5,0,576,2929.6,387.1,127.9
2577.4,13,1.3,80,18,1396,5.5,567.1,0,945.6,2895.8,380.1,176.9
2697.7,5.5,0.1,192.3,3.3,856.5,3.1,622.7,0,835.5,2842.3,385.8,452.2
2566.5,0,1.7,274.4,7.4,878.6,3.2,692.4,0,901.9,2686.8,383,728.3
2496.8,0,3.5,78.6,37.7,1981.6,14.1,705.3,0,852,2812.7,374.1,777.8
2465.6,1.8,3.3,45.5,40.4,2757.2,12.6,736.8,0,882.2,2718.1,362,799.4
2560.4,12.4,5.7,125,115.6,2406.8,19.4,815.6,0,868.6,2438.1,336.5,782.4
2566.2,28,13.9,241.9,146.7,1953.1,25,859.1,0,599.9,2432,344.7,767.8
2614.1,29.5,13.8,240.9,149.4,2786.1,24.9,861,0,341.4,2759,316.9,721.6
2672.6,30,13.9,232.7,149.7,1943.4,25,849,0,334.7,2822.1,310.3,732.4
2633.4,30,13.8,219.9,149.7,1781.8,24.9,832.8,0,331.4,2801.3,301.7,737.2
2606.8,30,14,209.8,149.7,1917.7,24.4,822.4,0,190.4,2828.2,252.2,780
2690.7,29.9,13.8,214.3,148.2,2114.3,24.3,835,0,162,2781.3,287.7,714.7
2759.8,29.9,13.4,219.6,144.3,2108.9,24.5,908.6,0,153.2,2727.7,297.4,778
2761.1,29.6,13.1,233.7,135.9,2090.5,24.1,1235.2,0,153.2,2668.4,342,829.3
2661.9,28.9,13.3,228.7,128.7,1702.1,24.1,1347.2,0,139.2,2635.6,344.3,886.8
2587.8,28.8,13.6,237.5,123.5,1470,22.7,1333.7,0,168.1,2642.1,369.5,893.7
2544.6,27.5,13.1,245.9,117.7,1758.7,23.2,1347.8,0,210.9,2641.4,235.9,871.4
2530.4,27.4,13.2,242.6,120.4,1923.5,23.9,1330.7,0,217.1,2624.2,154.4,850.1
2372.3,26.9,12.4,250.2,124.4,2073.5,23.4,1298.7,0,168.2,2516.8,146.5,835.3
2054.5,17.3,10.5,246.4,125.3,2513.1,22.5,1252.8,0,74.5,2459,146.1,840.2
1930.7,11.1,8.8,230.2,114.9,2782.2,21.5,1225.3,0,82.6,2491.3,241.4,870.6
1975.4,7,6.7,215.5,110.1,2696.7,18.4,1164.4,0,113.5,2380,229,850.9
1972.8,5.2,6.1,174.5,105.2,2650,16.7,1135.8,0,108.3,2316.6,207.4,799.4
1850,5.2,5.1,180.4,98.5,2454.3,15.3,1107.5,0,144.2,2200.1,192.9,667.9
1600.2,7.7,4.2,181.4,94.2,2092.6,16.4,1048.2,0,206.6,1914.3,172.5,313.2
1937.2,10.6,4.2,131.9,92.5,1919.3,18.1,879,0,286.7,1854.4,133.8,178.5
2226.4,11.4,4.5,98.3,94.6,2261.4,17.3,789.1,0,419.6,1550.4,91.9,127.5
2157.9,12.1,4.1,118.1,75.6,2528.3,16.6,784.5,0,427.7,1236,53.3,140.1
2110.4,15.8,3.3,151,52.8,2482.9,18.1,752.8,0,539,1137,37.9,203
1863.7,19.1,3.3,169.7,41.5,2081.8,18.4,857.3,0,651.3,913.6,34.8,210
1218.8,19.3,2.8,198.6,27.4,1631.7,19.3,785.4,0,776.4,763.3,33.3,176.2
754,19.9,3.9,213.5,39.8,1295.6,17.7,771.3,0,868.8,645.8,34.3,133.7
524,23.8,5.2,234.7,44.4,973.7,13.6,811.3,0,929.5,569.7,28.2,170.7
364.5,26.9,4.9,254.6,45.9,936.4,11.4,869.4,0,939.6,608.5,23,275
223.1,27.5,4.4,223.6,53.1,1226.8,10.7,895.9,0,949.7,620.7,24.5,222.3
267.8,28.6,5.1,189.3,55.7,1388.8,10.1,879.8,0,1018.3,431.6,30.9,176.6
177.5,28.5,4.5,234.7,52.1,1505,7.1,897.3,0,1040.3,509.5,36.5,254.2
174,28.2,4.1,266.3,50,1622.3,7.4,955.9,0,1041.4,680.1,42.7,276.6
183.7,27.5,4.3,266.7,66.4,1874.8,8.8,883,0,1052.4,967.3,48.7,284.6
303,27.4,5.1,266.2,74.9,1920,11,829.2,0,1094.4,1217.1,50.7,288.6
477.4,27.7,5.4,264.8,64.5,1657.8,12.2,846.2,0,1149,1258.9,64.9,263.1
588.4,28.7,5.3,241.7,60.5,1275.6,12.7,890.7,0,1186.2,1454.5,41.9,214
630.6,29.2,5,236.4,59.2,1421.9,13.8,881,0,1181,1401.9,17.6,162.9
800.7,28.2,5.6,225,46.5,1595.7,14.8,860.7,0,1152.3,1384.3,9.5,121.2
903.4,27,6,223.1,31.3,1735.3,17.2,894,0,1073.5,1369.3,2.9,112.7
919.1,26.8,6.1,221,18.7,1872.8,17.1,941.6,0,1054.2,1344.1,2,127.5
1000.4,25.1,5.7,201.6,12.7,1785.7,15.2,972.3,0,1059.8,1438.9,0.6,92.4
1261.8,25.6,6.5,185.2,19.1,1741.4,14.9,907.5,0,1060.3,1523.2,0.8,72.2
1661.2,26,6.2,195.7,18,1675.8,16.2,977.1,0,1139.9,1536.1,1.1,71.6
1574.8,26.7,5.8,205.1,13.6,1483.9,15.9,1046.4,0,1151.8,1598.3,0.4,40.8
1235.5,27.5,6.5,216.4,10.9,1589.2,15.8,1012.7,0,1130.9,1892.1,0.5,14
918.2,29.6,8,247.2,10.4,1808.2,16.3,947.7,0,1146.5,2114.9,1.3,11.4
712.5,29.1,9.6,269.7,10.9,1984.1,17.7,955.6,0,1178.8,2240.4,4.6,17.8
659.6,28.8,10.7,166.2,15.6,2215.5,18.9,879.4,0,1150,2298.2,21.5,18.6
543.2,29.9,11.6,92.7,19.8,2346.4,20.2,909.1,0,1135.6,2314.1,42.1,22.2
407.9,29.9,13.1,90.5,18.8,2533.4,21.4,940.4,0,1160.3,2414,61.6,34.6
315.3,24.8,13.8,90,25,2672.2,22.4,937.2,0,1158.3,2531.3,74.9,53.7
270.2,17.5,13.9,88.9,32.2,2510.8,24.6,955.8,0,1154.8,2716.4,82,72
248.1,19.4,13,87,53.3,2420.7,24.8,939.3,0,1116.1,2808.3,94.4,87.4
213.6,16.6,10.9,106.1,78.5,2353.7,24.9,919.7,0,1040.7,2782.4,120,90.1
199,8.7,10.1,237.2,84.9,2327.3,24.7,935.6,0,966.3,2689,160.5,111.2
221.9,6.7,9.5,279.7,96.5,2331.7,24.5,1020.2,0,957.8,2653.3,194.7,139.2
228.7,6.7,8.6,280.3,103.5,2488.9,23.9,1146.5,0,942.3,2690.9,212.4,165
279.1,6.7,6.3,277.1,94.7,2626.2,22.9,1125.8,0,967.5,2665.1,247.5,198.9
399,6.7,4.2,269.1,79.5,2776,23,1132.9,0,939.4,2653.2,291.9,210.8
529.1,6.6,3.6,260.1,75.8,2837.8,22.9,1139.1,0,919.6,2683.6,333.9,197.6
555.6,6.7,3.4,260.2,79.4,2700.8,19.3,1096.7,0,922.2,2685,324.2,162.8
525.7,6.7,4.6,255.8,78.3,2532.1,14.1,1089.5,0,933.9,2654.8,321.9,77.6
574.4,6.7,5.1,248.4,70.4,2405.7,9.3,977.6,0,878.8,2616.7,342.8,69.7
633.4,7.8,5.1,226.4,67,2864.3,9.8,968.7,0,822,2187.6,348.6,74.8
745.1,10,4.6,215.5,63.7,2987.6,11.9,1002.9,0,819.8,1858.9,352.9,65.7
799.9,16.1,4.5,214.7,52.9,2706.2,12.6,957,0,765.4,1861.2,335.8,56.7
711.3,25,7.8,272,90.3,2970.4,20.3,925.2,0,1061.5,1811.7,274.3,125.7
369.8,25.9,11.7,190.4,107.9,2901.3,23.7,946.7,0,961.4,1906.1,177.5,475.8
580.8,27.1,13.8,134.7,106.2,2477.6,23.6,1042,0,937.6,2385.7,230.9,592.2
1229,28.3,13.9,117.9,103.9,2258.4,24.8,912.3,0,728.1,2363.5,353,516.3
1356.5,27.6,13.3,128.9,117.3,2495.4,24.5,796.3,0,828.7,2177.4,327.9,493.5
1583.9,21.8,13.6,181.2,133.1,2933.8,24,721.5,0,719.7,2160.4,319.6,343.4
1965.9,23.3,13.4,207.5,132.8,2974.8,23.3,723.9,0,690.9,2162.8,345.5,312.1
2130.6,23.3,10.5,245.5,113.3,3128.3,24.5,706,0,735.7,2100.5,365,386
2071.5,23.8,4.6,233.7,104,3085.2,22.9,716.3,0,890.2,2082,385.5,394.1
1942.3,28.9,2.7,219.3,77.6,2878.3,18,708.3,0,958.7,1926.3,388,363.2
1815.8,30,3.9,226.1,34.9,2363.3,14.6,821.8,0,967.2,1881.4,376.9,311
1615.7,30,7.4,232.3,16.1,2074.2,13.6,871,0,999.9,1907.9,384.4,360.5
1507.6,30,7.7,236.6,20.2,1637.1,9.9,857.3,0,995.7,1529.3,392.6,428.5
1510.7,30,12.5,238.2,32.8,1833.8,11.7,941.2,0,917,1379.9,391.6,456.4
1435.4,30,13.7,224.5,67.1,2141.3,20.5,1020.2,0,846.7,1444.6,388.8,352.7
1509.4,29.9,13,228.8,94.5,3016,23.6,1132.8,0,890.1,1471.5,382.3,393.5
1526.7,29.9,11.2,236.1,126.8,3143.8,24.1,1257.4,0,997.9,1468.9,384.5,500.8
1669.8,29.7,9.8,235.7,115.4,3185.8,23.9,1308.4,0,1055.6,1688,405.1,478.4
1618.7,29.4,11,235.3,97.4,3152.2,24.4,1293.7,0,1059.9,1799.4,395.5,390.3
1471.1,29.8,12.7,240.8,100.5,3109,24.9,1291.7,0,967.6,1781.5,384.7,306.2
1414.2,29.9,12.7,237.2,116.7,3056.2,24.6,1241.6,0,853.3,1705,372.9,231.5
1639.6,29.2,13.2,247.6,129.9,3058.9,24.6,1265,0,872.6,1677.4,374.5,145.8
1930.4,28.4,13.7,253.2,143.8,3071.6,24.7,1275.9,0,921.1,1644.7,377.1,120.3
2232.9,29,12.6,257.8,148.6,3040.8,24.2,1296.4,0,918.4,1749.6,382.3,145.1
2368,28.5,11.8,254.8,148.3,3157.8,24.1,1249,0,870.2,2008.6,389.8,167.6
2370,26.6,13.6,247.9,143,3183.5,24.5,1315.6,0,857.6,2311.4,394.2,163.2
2393.7,26.9,12.7,246.2,129.7,3164,23,1261.1,0,848.8,2622.4,349.2,143.1
2449.6,26.9,12,238.1,145,3154.6,23.2,1233.5,0,889.4,2812.6,334,165.2
2533.2,26.5,12.3,237.9,140.9,3140,23,1302.9,0,989.6,2864.9,339,197.8
2588.6,26.6,11.4,235.9,115.4,3193.6,22.1,1377.1,0,1036.8,2870.7,335,243.6
2575.6,26.6,10.7,239.2,114.4,3210.8,21.2,1335.4,0,1052.9,2883.8,326.9,328.4
