IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
144.2,1016.9,3200,405.9
144.2,633.2,2366.8,215.7
37.7,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,954.4,0
41.3,286.6,2800.2,303.2
133.3,1023,3173.9,384.6
142,946.1,2718.4,177.7
124.9,760.7,2638.5,180.6
124.5,879.5,3062.3,254
138.4,1029.2,3200,405.7
149.1,696.6,2361.9,198.2
41.1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,745.6,0
50.3,286.4,2961.8,303.3
124.2,1100,3165.4,381.8
150.5,921.2,2752.2,183
128.2,764.5,2704.7,183
126.6,917.1,3105.3,253
147.4,1022.5,3200,405.7
142.7,751,2431.2,177.4
45.6,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1055.6,0
59.4,284.5,2910,303.1
133.3,1100,3160.9,394.3
163.4,1025.2,2828.8,193.3
122.9,831.1,2733.7,186.5
127.7,929.9,3104.5,256.8
143.4,1054.5,3200,405.7
147.2,765.7,2509.7,185.6
36.7,0,21.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1159.5,0
77.5,390.3,2895.2,303
134.5,1023.4,3167.7,403.2
154.9,1017.2,2835.9,202.9
124.4,781.9,2757.7,189
132.1,915.4,3139.8,261.8
146,1057.8,3200,405.3
151.4,856.6,2674,238.7
26.9,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
