,line,reactance,limit
37,CAMP_WIL_345_MONA_345,0.00238,99999
38,CAMP_WIL_345_SPAN_FRK_345,0.0172,99999
39,CAMP_WIL_345_TERMINAL_345,0.00106,99999
40,CANADA_500_CANAD_G1_20,0.0005,99999
41,CANADA_500_CANALB_500,0.07,99999
42,CANALB_500_CA230TO_230,0.01,99999
43,CANALB_500_CMAIN_GM_20,0.0005,99999
44,CASTAIC_230_CASTAI4G_20,0.0005,99999
45,CASTAIC_230_OLIVE_230,0.033460000000000004,99999
46,CASTAIC_230_RINALDI_230,0.038,99999
47,CASTAIC_230_STA_J_230,0.04677,99999
48,CASTAIC_230_SYLMARLA_230,0.03422,99999
49,CELILOCA_500_CELILO_230,0.00221,2500
50,COLGATE_230_PALERMO_230,0.028860000000000004,888
51,COLGATE_230_RIO_OSO_230,0.028860000000000004,888
52,COLOEAST_345_COLOEAST_20,0.0005,99999
53,COLOEAST_345_CRAIG_345,0.00238,99999
54,COLSTRP_230_BRIDGER2_230,0.07400000000000001,99999
55,COLSTRP_230_LARAMIE_230,0.07400000000000001,99999
56,COLSTRP_230_MONTANA_230,0.07400000000000001,99999
57,COLSTRP_500_COLSTRP_20,0.0005,99999
58,COLSTRP_500_COLSTRP_230,0.0181,99999
59,CORONADO_500_CHOLLA_345,0.0146,99999
60,CORONADO_500_CORONADO_20,0.0005,99999
61,CORONADO_500_PALOVRDE_500,0.0211,99999
62,CORTINA_230_COTWDPGE_230,0.16938,838
63,CORTINA_230_VACA_DIX_230,0.10101,838
64,COTWDPGE_230_COTWDPGE_115,0.0299,888
65,COTWDPGE_230_COTWDWAP_230,0.09268,99999
66,COTWDPGE_230_GLENN_230,0.09268,747
67,COTWDPGE_230_LOGAN_CR_230,0.11381,838
68,COTWDPGE_230_ROUND_MT_230,0.06642,752
69,COTWDPGE_230_VACA_DIX_230,0.27403,747
70,COTWDWAP_230_COTWDWAP_20,0.0005,99999
71,COTWDWAP_230_RNCHSECO_230,0.13702,99999
72,COTWDWAP_230_TRACYPMP_230,0.27403,99999
73,COULEE_500_BELL_500,0.02,99999
74,COULEE_500_COULEE_20,0.0005,99999
75,COULEE_500_HANFORD_500,0.02069,99999
76,COULEE_500_NORTH_500,0.0082,99999
77,CRAIG_345_CRAIG_20,0.0005,99999
78,DEVERS_500_VALLEY_500,0.00905,3600
79,DIABLO_500_DIABLO1_20,0.0005,99999
80,DIABLO_500_GATES_500,0.01937,99999
81,DIABLO_500_MIDWAY_500,0.02087,99999
82,EAGLROCK_230_MESA_CAL_230,0.0258,2320
83,EAGLROCK_230_PARDEE_230,0.07034,1160
84,ELDORADO_500_MOHAVE_500,0.01415,3600
85,EMBRCDRD_230_MARTIN_230,0.0127,1120
86,EMERY_345_EMERY_20,0.0005,99999
87,EMERY_345_MONA_345,0.0349,99999
88,EMERY_345_PINTO_345,0.0878,99999
89,EMERY_345_SIGURD_345,0.0372,99999
90,EMERY_345_SPAN_FRK_345,0.0392,99999
91,FOURCORN_345_CHOLLA_345,0.019880000000000002,99999
92,FOURCORN_345_FCNGN4CC_20,0.0005,3000
93,FOURCORN_345_FOURCORN_230,0.0139,430
94,FOURCORN_345_PINTO_PS_345,0.0436,99999
95,FOURCORN_345_SAN_JUAN_345,0.0053,99999
96,FOURCORN_500_FOURCORN_345,0.011000000000000001,99999
97,FOURCORN_500_MOENKOPI_500,0.031689999999999996,99999
98,FOURCORN_500_NAVAJO_500,0.0965,99999
99,FULTON_230_FULTON_20,0.0005,99999
100,FULTON_230_IGNACIO_230,0.028860000000000004,888
101,FULTON_230_LAKEVILE_230,0.028860000000000004,888
102,GARRISON_230_MONTANA_230,0.0965,99999
103,GARRISON_500_GARRISON_230,0.0181,99999
104,GATES_230_MORROBAY_230,0.028860000000000004,888
105,GATES_500_GATES_230,0.0174,840
106,GATES_500_GATES1_500,0.016,2450
107,GATES_500_LOSBANOS_500,0.01985,2450
108,GLENDAL_230_STA_E_230,0.0072299999999999994,99999
109,GLENDAL_230_STA_G_230,0.00536,99999
110,GLENN_230_VACA_DIX_230,0.2046,747
111,GOLDHILL_230_RIO_OSO_230,0.028860000000000004,99999
112,GOLDHILL_230_RNCHSECO_230,0.09268,99999
113,GOLDHILL_230_TESLA_230,0.028860000000000004,888
114,GONDER_345_SIGURD_345,0.0965,99999
115,GREGG_230_GATES_230,0.028860000000000004,888
116,GREGG_230_HELMS_PP_230,0.028860000000000004,888
117,GREGG_230_PANOCHE_230,0.028860000000000004,888
118,GREGG_230_WILSON_230,0.028860000000000004,888
119,GRIZZLY_500_GRIZZLY1_500,0.007370000000000001,3450
120,GRIZZLY_500_GRIZZLY2_500,0.01266,99999
121,GRIZZLY_500_GRIZZLY5_500,0.01266,99999
122,GRIZZLY_500_JOHN_DAY_500,0.02409,3020
123,GRIZZLY2_500_GRIZZLY3_500,0.00165,99999
124,GRIZZLY3_500_GRIZZLY4_500,0.012658228,2400
125,GRIZZLY5_500_GRIZZLY6_500,0.00165,2400
126,GRIZZLY6_500_GRIZZLY7_500,0.012658228,99999
127,H_ALLEN_345_H_ALLEN_20,0.0005,99999
128,H_ALLEN_345_SIGURD_345,0.1369,99999
129,H_ALLEN_500_H_ALLEN_345,0.0072,99999
130,HANFORD_500_GARRISON_500,0.022580000000000003,99999
131,HANFORD_500_HANFORD_20,0.0005,99999
132,HANFORD_500_NORTH_500,0.0082,99999
133,HANFORD_500_WCASCADE_500,0.0082,99999
134,HAYNES_230_HAYNES3G_20,0.0005,99999
135,HAYNES_230_RIVER_230,0.03669,99999
136,HAYNES_230_STA_F_230,0.030739999999999996,99999
137,HAYNES_230_STA_G_230,0.042960000000000005,99999
138,HELMS_PP_230_HELMS_PP_20,0.0005,99999
139,HUMBOLDT_115_COTWDPGE_115,0.028860000000000004,250
140,HUMBOLDT_115_HUMBOLDT_20,0.0005,99999
141,IMPERIAL_230_DEVERS_500,0.0138,99999
142,IMPERIAL_230_IMPERIAL_20,0.0005,99999
143,IMPERIAL_230_IMPRLVLY_230,0.07034,99999
144,IMPRLVLY_230_IMPRLVLY_20,0.0005,99999
145,IMPRLVLY_500_IMPRLVLY_230,0.005,99999
146,INTERMT_345_GONDER_345,0.0965,99999
147,INTERMT_345_INTERM1G_20,0.0005,99999
148,INTERMT_345_MONA_345,0.0245,99999
149,JEFFERSN_230_MONTAVIS_230,0.0127,1120
150,JOHN_DAY_500_BIG_EDDY_500,0.00446,2175
151,JOHN_DAY_500_GARRISON_500,0.03304,99999
152,JOHN_DAY_500_HANFORD_500,0.02,99999
153,JOHN_DAY_500_JOHN_DAY_20,0.0005,5000
154,JOHN_DAY_500_WCASCADE_500,0.0082,99999
155,LAKEVILE_230_VACA_DIX_230,0.028860000000000004,888
156,LARAMIE_345_COLOEAST_345,0.0046,99999
157,LARAMIE_345_LARAMIE_230,0.0181,99999
158,LITEHIPE_230_MESA_CAL_230,0.0127,2320
159,LOGAN_CR_230_VACA_DIX_230,0.16105999999999998,838
160,LOSBANOS_500_LOSBANOS_230,0.0174,840
161,LOSBANOS_500_MOSSLAND_500,0.012969999999999999,2450
162,LOSBANOS_500_TESLA_500,0.03644,2450
163,LOSBANOS_500_TRACY_500,0.013333333000000001,1800
164,LUGO_500_ELDORADO_500,0.02779,3600
165,LUGO_500_MIRALOMA_500,0.0075,3600
166,LUGO_500_MOHAVE_500,0.031,3600
167,LUGO_500_SERRANO_500,0.0128,3600
168,LUGO_500_VICTORVL_500,0.0041,99999
169,LUGO_500_VINCENT_500,0.01125,3600
170,MALIN_345_TRACYSPP_345,0.0673,99999
171,MALIN_500_GRIZZLY4_500,0.015019999999999999,3020
172,MALIN_500_GRIZZLY7_500,0.014130000000000002,3020
173,MALIN_500_MALIN_20,0.0005,99999
174,MALIN_500_MALIN_345,0.0072,99999
175,MALIN_500_MALIN1_500,0.013819999999999999,3600
176,MALIN_500_MERIDIAN_500,0.0023899999999999998,99999
177,MALIN_500_OLINDA_500,0.01293,99999
178,MARTIN_115_POTRERO_115,0.028860000000000004,888
179,MARTIN_230_JEFFERSN_230,0.0127,1120
180,MARTIN_230_MARTIN_115,0.0299,250
181,MARTIN_230_SANMATEO_230,0.0127,1120
182,MC_CALL_230_GATES_230,0.028860000000000004,888
183,MC_CALL_230_MC_CALL_20,0.0005,99999
184,MC_CALL_230_PANOCHE_230,0.028860000000000004,888
185,MEAD_500_ELDORADO_500,0.0965,99999
186,MEAD_500_H_ALLEN_500,0.0211,99999
187,MEAD_500_HOOVER_20,0.0005,99999
188,MEAD_500_VICTORVL_500,0.025240000000000002,99999
189,MEAD_500_WESTWING_500,0.0673,99999
190,MESA_CAL_230_MIRALOMA_230,0.053989999999999996,99999
191,MESA_CAL_230_SERRANO_230,0.028860000000000004,888
192,MESA_CAL_230_VINCENT_230,0.0395,2320
193,METCALF_230_METCALF_20,0.0005,99999
194,METCALF_230_MONTAVIS_230,0.0127,1120
195,METCALF_230_MOSSLAND_230,0.028860000000000004,888
196,METCALF_500_METCALF_230,0.0174,840
197,METCALF_500_MOSSLAND_500,0.012969999999999999,2450
198,METCALF_500_TESLA_500,0.007575758,99999
199,MEXICO_230_IMPRLVLY_230,0.053989999999999996,888
200,MEXICO_230_MEXICO_20,0.0005,99999
201,MEXICO_230_MIGUEL_230,0.053989999999999996,888
202,MIDPOINT_345_BORAH_345,0.02316,99999
203,MIDPOINT_345_BRIDGER_345,0.0046,99999
204,MIDPOINT_345_MIDPOINT_20,0.0005,99999
205,MIDPOINT_345_VALMY_345,0.0673,99999
206,MIDPOINT_500_MIDPOINT_345,0.0072,1500
207,MIDWAY_230_MIDWAY_20,0.0005,99999
208,MIDWAY_230_MORROBAY_230,0.028860000000000004,888
209,MIDWAY_500_GATES1_500,0.01,2450
210,MIDWAY_500_LOSBANOS_500,0.0147,1560
211,MIDWAY_500_MIDWAY_230,0.0119,1120
212,MIDWAY_500_MIDWAY1_500,0.009433961999999999,2134
213,MIDWAY_500_MIDWAY3_500,0.009433961999999999,2134
214,MIDWAY_500_MIDWAY5_500,0.009433961999999999,2134
215,MIDWAY1_500_MIDWAY2_500,0.02659,3600
216,MIDWAY3_500_MIDWAY4_500,0.026619999999999998,3600
217,MIDWAY5_500_MIDWAY6_500,0.025169999999999998,3600
218,MIGUEL_230_MISSION_230,0.028860000000000004,888
219,MIGUEL_230_SONOFRE_230,0.028860000000000004,888
220,MIGUEL_500_IMPRLVLY_500,0.025240000000000002,1800
221,MIGUEL_500_MIGUEL_230,0.005,99999
222,MIRALOMA_230_SONOFRE_230,0.028860000000000004,888
223,MIRALOMA_230_SERRANO_230,0.028860000000000004,888
224,MIRALOMA_500_MIRALOMA_230,0.005,99999
225,MIRALOMA_500_SERRANO_500,0.00457,3600
226,MISSION_230_MISSION_20,0.0005,99999
227,MISSION_230_SONOFRE_230,0.028860000000000004,888
228,MOENKOPI_500_ELDORADO_500,0.01369,99999
229,MOENKOPI_500_NAVAJO_500,0.00536,99999
230,MOENKOPI_500_WESTWING_500,0.02592,99999
231,MONA_345_CRAIG_345,0.0965,99999
232,MONA_345_SIGURD_345,0.0349,99999
233,MONTANA_230_MONTA_G1_20,0.0005,99999
234,MORAGA_230_NEWARK_230,0.028860000000000004,99999
235,MORAGA_230_PITSBURG_230,0.0127,1120
236,MORAGA_230_SOBRANTE_230,0.0127,99999
237,MORAGA_230_VACA_DIX_230,0.028860000000000004,99999
238,MORROBAY_230_MORROBAY_20,0.0005,99999
239,MOSSLAND_500_MOSSLAND_20,0.0005,99999
240,MOSSLAND_500_MOSSLAND_230,0.0174,840
241,NAUGHTON_230_BENLOMND_230,0.0965,99999
242,NAUGHTON_230_NAUGHT_20,0.0005,99999
243,NAVAJO_500_H_ALLEN_500,0.0211,99999
244,NAVAJO_500_NAVAJO_2_20,0.0005,2000
245,NAVAJO_500_WESTWING_500,0.03489,99999
246,NEWARK_230_METCALF_230,0.028860000000000004,99999
247,NEWARK_230_PITSBURG_230,0.0127,1120
248,NEWARK_230_RAVENSWD_230,0.0127,1120
249,NEWARK_230_TESLA_230,0.028860000000000004,888
250,NORTH_500_CANADA_500,0.0239,99999
251,NORTH_500_NORTH_G3_20,0.0005,99999
252,NORTH_500_WCASCADE_500,0.02408,99999
253,OLINDA_500_COTWDWAP_230,0.0174,99999
254,OLINDA_500_TRACY_500,0.0111,99999
255,OLIVE_230_OLIVE_20,0.0005,99999
256,OLIVE_230_RINALDI_230,0.00434,99999
257,PALERMO_230_TABLE_MT_230,0.028860000000000004,888
258,PALOVRDE_500_DEVERS_500,0.02967,1800
259,PALOVRDE_500_IMPRLVLY_500,0.02967,1800
260,PALOVRDE_500_PALOVRD2_20,0.0005,3066
261,PALOVRDE_500_PARKER_230,0.0138,99999
262,PALOVRDE_500_WESTWING_500,0.0096,99999
263,PANOCHE_230_GATES_230,0.028860000000000004,888
264,PANOCHE_230_LOSBANOS_230,0.028860000000000004,888
265,PANOCHE_230_MOSSLAND_230,0.028860000000000004,888
266,PARDEE_230_VINCENT_230,0.03399,2320
267,PARKER_230_IMPERIAL_230,0.07034,99999
268,PINTO_345_PINTO_PS_345,0.0195,99999
269,PITSBURG_230_PITSBURG_20,0.0005,99999
270,PITSBURG_230_SOBRANTE_230,0.0127,1120
271,PITSBURG_230_TESLA_230,0.028860000000000004,888
272,POTRERO_115_POTRERO_20,0.0005,99999
273,RAVENSWD_230_TESLA_230,0.028860000000000004,888
274,RINALDI_230_OWENS_G_20,0.0005,99999
275,RINALDI_230_STA_E_230,0.01583,99999
276,RINALDI_230_STA_J_230,0.00971,99999
277,RINALDI_230_SYLMARLA_230,0.0039299999999999995,99999
278,RINALDI_230_VALLEY_230,0.01116,99999
279,RINALDI_500_RINALDI_230,0.013859999999999999,99999
280,RINALDI_500_VICTORVL_500,0.01884,99999
281,RIO_OSO_230_RIO_OSO_115,0.0299,99999
282,RIO_OSO_230_TABLE_MT_230,0.028860000000000004,888
283,RIVER_230_STA_F_230,0.00366,99999
284,RIVER_230_STA_G_230,0.00586,99999
285,RNCHSECO_230_RNCHSECO_20,0.0005,99999
286,RNCHSECO_230_TRACYPMP_230,0.13702,99999
287,ROUND_MT_230_ROUND_MT_20,0.0005,99999
288,ROUND_MT_500_MALIN_500,0.00456,99999
289,ROUND_MT_500_ROUND_MT_230,0.0174,840
290,SONOFRE_230_SONOFRE_20,0.0005,99999
291,SAN_JUAN_345_COLOEAST_345,0.27403,99999
292,SAN_JUAN_345_CRAIG_345,0.11,99999
293,SAN_JUAN_345_SJUAN_G4_20,0.0005,99999
294,SANMATEO_230_PITSBURG_230,0.0127,1120
295,SANMATEO_230_RAVENSWD_230,0.0127,1120
296,SANMATEO_230_SANMATEO_20,0.0005,99999
297,SERRANO_230_SONOFRE_230,0.028860000000000004,888
298,SERRANO_500_SERRANO_230,0.005,99999
299,SOBRANTE_230_IGNACIO_230,0.028860000000000004,888
300,SOBRANTE_230_LAKEVILE_230,0.028860000000000004,888
301,STA_B1_287_STA_B_138,0.01491,99999
302,STA_B1_287_VICTORVL_287,0.07905,99999
303,STA_B2_287_STA_B_138,0.01491,99999
304,STA_B2_287_VICTORVL_287,0.07905,99999
305,STA_BLD_230_STA_B_138,0.0134,99999
306,STA_BLD_230_STA_F_230,0.01025,99999
307,STA_E_230_STA_G_230,0.012440000000000001,99999
308,STA_E_230_VALLEY_230,0.00979,99999
309,STA_E_500_STA_E_230,0.013859999999999999,99999
310,STA_F_230_STA_G_230,0.011890000000000001,99999
311,SUMMER_L_500_BURNS_500,0.02373,3600
312,SUMMER_L_500_GRIZZLY1_500,0.01036,3450
313,SUMMER_L_500_MALIN1_500,0.00238,3600
314,SUMMIT_115_RIO_OSO_115,0.028860000000000004,99999
315,SUMMIT_115_SUMITSPP_115,0.0299,99999
316,SUMMIT_115_SUMMIT_20,0.0005,99999
317,SYLMAR_S_230_EAGLROCK_230,0.0264,3070
318,SYLMAR_S_230_PARDEE_230,0.01187,3070
319,SYLMAR_S_230_SYLMARLA_230,0.00115,99999
320,TABLE_MT_500_ROUND_MT_500,0.00346,99999
321,TABLE_MT_500_TABLE_MT_230,0.0174,840
322,TESLA_230_TESLA_20,0.0005,99999
323,TESLA_230_TRACYPMP_230,0.09268,99999
324,TESLA_500_TABLE_MT_500,0.01035,99999
325,TESLA_500_TESLA_230,0.0174,840
326,TESLA_500_TRACY_500,0.05719,2450
327,TESLA_500_VACA_DIX_500,0.010989011000000002,2450
328,TRACY_500_TRACYPMP_230,0.0174,99999
329,TRACYSPP_345_GONDER_345,0.0965,99999
330,TRACYSPP_345_SUMITSPP_115,0.0299,99999
331,TRACYSPP_345_VALMY_345,0.0673,99999
332,VACA_DIX_500_TABLE_MT_500,0.01229,2667
333,VACA_DIX_500_VACA_DIX_230,0.0125,1120
334,VALLEY_500_SERRANO_500,0.0093,3600
335,VALMY_345_GONDER_345,0.0673,99999
336,VALMY_345_VALMY_20,0.0005,99999
337,VICTORVL_500_ELDORADO_500,0.025240000000000002,99999
338,VICTORVL_500_VICTORVL_287,0.02338,99999
339,VINCENT_500_MIDWAY2_500,0.009433961999999999,2134
340,VINCENT_500_MIDWAY4_500,0.009433961999999999,2134
341,VINCENT_500_MIDWAY6_500,0.008403361,2100
342,VINCENT_500_VINCENT_230,0.01149,1120
343,WCASCADE_500_WCASCADE_20,0.0005,99999
344,WCASCADE_500_WILLAMET_500,0.00165,99999
345,WILLAMET_500_MERIDIAN_500,0.01266,99999
346,WILSON_230_BELLOTA_230,0.028860000000000004,888
