,line,reactance,limit
160,TABLE_MT_500_ROUND_MT_500,0.00346,99999
161,TABLE_MT_500_TABLE_MT_230,0.0174,840
162,TESLA_230_TESLA_20,0.0005,99999
163,TESLA_230_TRACYPMP_230,0.09268,99999
164,TESLA_500_TABLE_MT_500,0.01035,99999
165,TESLA_500_TESLA_230,0.0174,840
166,TESLA_500_TRACY_500,0.05719,2450
167,TESLA_500_VACA_DIX_500,0.010989011,2450
168,TRACY_500_TRACYPMP_230,0.0174,99999
169,VACA_DIX_500_TABLE_MT_500,0.01229,2667
170,VACA_DIX_500_VACA_DIX_230,0.0125,1120
171,VALLEY_500_SERRANO_500,0.0093,3600
172,VICTORVL_500_VICTORVL_287,0.02338,99999
173,VINCENT_500_VINCENT_230,0.01149,11210
174,BELLOTA_230_BRIGHTON_230,0.02886,888
175,BELLOTA_230_RNCHSECO_230,0.09268,99999
176,BELLOTA_230_TESLA_230,0.02886,888
177,BRIGHTON_230_RIO_OSO_230,0.02886,888
178,COLGATE_230_PALERMO_230,0.02886,888
179,COLGATE_230_RIO_OSO_230,0.02886,888
180,GOLDHILL_230_RIO_OSO_230,0.02886,99999
181,GOLDHILL_230_RNCHSECO_230,0.09268,99999
182,GOLDHILL_230_TESLA_230,0.02886,888
183,PALERMO_230_TABLE_MT_230,0.02886,888
184,RIO_OSO_230_RIO_OSO_115,0.0299,99999
185,RIO_OSO_230_TABLE_MT_230,0.02886,888
186,SUMMIT_115_RIO_OSO_115,0.02886,99999
187,SUMMIT_115_SUMITSPP_115,0.0299,99999
188,SUMMIT_115_SUMMIT_20,0.0005,99999
189,WILSON_230_BELLOTA_230,0.02886,888
