MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro,SUMMIT_20_hydro,CANAD_G1_20_hydro,COULEE_20_hydro,DALLES21_20_hydro,HANFORD_20_hydro,JOHN_DAY_20_hydro,MALIN_20_hydro,NORTH_G3_20_hydro,WCASCADE_20_hydro
268,22,1061.581766,701,3215.5,314,138,51,5009.159436,3724.486911,1020.608271,1735.590647,2092.4,753.2,2059.6,269.3007242
268,22,1263.181766,701,2929.161105,314,138,51,5285.005894,4702.005268,728.4082707,2304.390647,1725.2,655.4,2421.4,212.3007242
268,22,1464.781766,701,2761.898298,314,138,51,6165.205894,5998.005268,1020.608271,2873.190647,1570.418247,557.6,2783.2,214.2960632
268,22,1666.381766,701,2852.351619,314,138,51,6388.310655,7294.005268,728.4082707,3441.990647,1203.218247,459.8,3145,157.2960632
268,22,1753.9,701,2841.555587,314,138,51,6651.78999,7878.745303,600.1006498,4010.790647,836.0182471,362,3145,214.2960632
268,22,1753.9,701,2774.507838,314,138,51,6687.369122,7131.076841,892.3006498,4579.590647,866.3142893,458.695825,3145,271.2960632
268,22,1753.9,701,2540.031338,314,138,51,6608.692696,5835.076841,1184.50065,4953,1233.514289,556.495825,2975.305304,328.2960632
268,22,1753.9,701,2798.451712,432.6851924,138,51,6347.139344,4798,1476.70065,4953,1600.714289,585.4527501,2613.505304,385.2960632
268,22,1753.9,701,3168.051712,589.8851924,145.4625,51,5466.939344,6094,1184.50065,4384.2,1499.802391,587.2,2251.705304,343
401.8,32.8,1753.9,915.5333333,2798.451712,747.0851924,214.4625,76.8,4586.739344,7390,1383.662363,3815.4,1835.6,489.4,1889.905304,286
535.6,43.6,1753.9,1265.933333,2428.851712,904.2851924,283.4625,102.6,5466.939344,8686,1091.462363,4384.2,1468.4,391.6,2064.979295,229
669.4,54.4,1753.9,1616.333333,2360.305212,1061.485192,352.4625,128.4,6347.139344,9982,864.5480278,4953,1101.2,293.8,2426.779295,172
803.2,65.2,1753.9,1966.733333,2185.506422,1218.685192,421.4625,154.2,5466.939344,11278,584,4953,734,196,2064.979295,115
937,76,1753.9,2317.133333,2010.408436,1368,490.4625,180,5467.960614,9982,584,4880.573094,734,196,2421.4,115
880.6625,78.3875,1753.9,2667.533333,1890.107916,1234.428461,421.4625,169.28905,5815.620487,8686,584,4311.773094,734,196,2783.2,115
746.8625,67.5875,1753.9,2317.133333,1950.912876,1077.228461,352.4625,143.48905,5678.375696,7390,584,3742.973094,1101.2,293.8,3145,172
613.0625,56.7875,1753.9,1966.733333,2320.512876,920.0284614,283.4625,117.68905,4798.175696,6094,876.2,3174.173094,1468.4,391.6,2783.2,229
479.2625,45.9875,1753.9,1616.333333,2690.112876,762.8284614,214.4625,91.88905,3917.975696,4798,740.497369,2605.373094,1835.6,489.4,2421.4,286
345.4625,35.1875,1552.3,1265.933333,3059.712876,605.6284614,145.4625,66.08905,3355.996191,3502,1032.697369,2036.573094,2202.8,587.2,2099.578532,343
268,24.3875,1350.7,915.5333333,3215.5,448.4284614,138,51,3558.681834,2593,1324.897369,1467.773094,2570,685,2019.469776,400
268,22,1149.1,701,3215.5,314,138,51,3613.689944,2593,1617.097369,1139,2937.2,782.8,1657.669776,457
268,22,947.5,701,3215.5,314,138,51,3566.891599,2593,1909.297369,1139,3194,851,1323.990395,400.525
268,22,745.9,701,3215.5,314,138,51,3955.723864,2593,2201.497369,1139,3194,851,1685.790395,343.525
268,22,544.3,701,3215.5,314,138,51,4835.923864,2862.015255,1909.297369,1707.8,2968.319327,851,2047.590395,286.525
268,22,745.9,701,2845.9,314,138,51,4160.207895,4158.015255,1617.097369,2276.6,2601.119327,753.2,2409.390395,229.525
301.1982143,27.31071429,947.5,706.2795907,2476.3,471.2,138,51,5040.407895,5454.015255,1324.897369,2845.4,2283.980789,732.681475,2771.190395,172.525
434.9982143,38.11071429,1149.1,1056.679591,2280.257996,628.4,207,76.8,5527.347867,6750.015255,1032.697369,3414.2,1916.780789,634.881475,3132.990395,115.525
568.7982143,48.91071429,1350.7,1407.079591,2080.494813,785.6,276,102.6,5113.776775,8046.015255,740.497369,3983,1549.580789,537.081475,3145,115
702.5982143,59.71071429,1552.3,1757.479591,2266.241886,942.8,345,102.6,4233.576775,9339.15764,584,4551.8,1182.380789,439.281475,2783.2,115
568.7982143,48.91071429,1753.9,1407.079591,2589.177422,866.012929,276,76.8,4463.548778,8811.423599,584,4953,915.034352,489.4,2988.261895,115
434.9982143,38.11071429,1624.129283,1056.679591,2625.996734,708.812929,207,51,5343.748778,7515.423599,584,4953,1282.234352,587.2,3145,115
301.1982143,27.31071429,1425.735358,706.2795907,2995.596734,551.612929,138,51,6223.948778,6219.423599,584,4953,1649.434352,489.4,3145,115
268,22,1224.135358,837.0376199,3113.82144,394.412929,138,54.89343,6187.244099,7390,718.4625102,4384.2,1282.234352,391.6,2783.2,115
268,22,1350.7,1187.43762,2744.22144,551.612929,154.790625,80.69343,5624.470649,8686,584,3815.4,915.034352,293.8,2421.4,115
