MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,FULTON_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro
535.6,54.4,1386.93934,15,2102.6,3215.5,942.8,345
669.4,65.2,1588.53934,17.35123589,2453,2845.9,785.6,414
803.2,76,1753.9,14.35123589,2800.888038,2561.873808,942.8,345
920.0370952,86.8,1753.9,14.1037547,3049.4,2424.3028,1100,414
1001.899917,85.2,1753.9,11.1037547,3049.4,2221.676528,1248.189554,483
868.099917,74.4,1753.9,14.1037547,3049.4,2123.875625,1368,552
747.2602792,63.6,1753.9,17.1037547,3049.4,1951.157625,1368,571.25
613.4602792,52.8,1753.9,20.1037547,3049.4,2103.066187,1240.554751,502.25
747.2602792,63.6,1753.9,17.1037547,3049.4,2472.666187,1083.354751,433.25
881.0602792,74.4,1745.53483,15,2699,2842.266187,926.1547506,364.25
1014.860279,85.2,1753.9,18,3049.4,3211.866187,918.5785017,433.25
1148.660279,96,1753.9,15,2845.371336,3100.283441,761.3785017,364.25
1014.860279,94.1319697,1753.9,18,3049.4,2730.683441,604.1785017,295.25
881.0602792,83.3319697,1641.182282,15,2961.673065,2361.083441,754.7144464,345
747.2602792,72.5319697,1439.582282,12,2611.273065,1991.483441,789.5227297,276
613.4602792,61.7319697,1237.982282,9,2260.873065,1621.883441,632.3227297,207
479.6602792,50.9319697,1036.382282,6,1910.473065,1252.283441,475.1227297,138
345.8602792,40.1319697,834.7822821,6,1560.073065,962.088842,317.9227297,138
268,29.3319697,633.1822821,9,1209.673065,1057.217554,314,138
268,22,431.5822821,6,859.2730645,1084.832143,314,138
297.5913887,22,403.2,6,701,1327.997448,314,138
431.3913887,22,403.2,6.6,701,1697.597448,314,138
565.1913887,32.8,604.8,9.6,1051.4,2067.197448,471.2,207
698.9913887,43.6,806.4,12.6,1401.8,2436.797448,628.4,276
832.7913887,54.4,1008,15.6,1752.2,2806.397448,785.6,345
966.5913887,65.2,1209.6,18.6,2102.6,2529.518527,942.8,414
1100.391389,76,1175.933122,21.6,2453,2159.918527,1100,483
1165.8,70.57868687,974.3331219,18.6,2803.4,1790.318527,1257.2,552
1165.8,59.77868687,772.7331219,15.6,3049.4,1420.718527,1303.242715,587.25
1165.8,70.57868687,571.1331219,12.6,2930.598333,1124.948329,1146.042715,518.25
1165.8,63.6,604.8,15.6,2580.198333,755.3483287,988.8427147,449.25
1165.8,52.8,403.2,12.6,2229.798333,1124.948329,831.6427147,380.25
1165.8,63.6,501.7841332,15.6,2079.47057,1494.548329,944.5021372,392
1165.8,74.4,703.3841332,18.6,2429.87057,1864.148329,1101.702137,461
1165.8,85.2,904.9841332,21.6,2780.27057,2233.748329,1258.902137,530
1165.8,96,1106.584133,24.6,2989.029016,2218.557603,1368,599
1165.8,96,904.9841332,21.6,2638.629016,2208.992274,1210.8,530
1165.8,85.2,1008,18.6,2288.229016,1839.392274,1053.6,461
1165.8,74.4,806.4,15.6,1937.829016,1469.792274,896.4,392
1032,63.6,604.8,12.6,1587.429016,1100.192274,739.2,323
898.2,52.8,403.2,9.6,1237.029016,1469.792274,582,254
764.4,42,403.2,12,886.6290162,1580.616274,424.8,185
