Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
6560,314.202456,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.025565661801,0.0,0.0,167.939505606275,1591.9848683100001,2028.5012852974799,166.71414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6561,314.202456,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.025565661801,0.0,0.0,167.939505606275,1591.9848683100001,2028.5012852974799,166.71414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6562,314.202456,405.333331312,446.2642228677001,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.025565661801,0.0,0.0,208.402005606275,1591.9848683100001,2028.5012852974799,166.71414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6563,314.202456,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.025565661801,0.0,0.0,208.402005606275,1591.9848683100001,1792.5612852974798,166.71414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6564,314.202456,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.025565661801,0.0,0.0,181.427005606275,1591.9848683100001,1792.5612852974798,166.71414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6565,293.82509754,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.025565661801,0.0,0.0,154.452005606275,1591.9848683100001,1792.5612852974798,166.71414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6566,293.82509754,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.696153900901,0.0,0.0,113.989505606275,1591.9848683100001,1792.5612852974798,166.71414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6567,158.82509754,405.333331312,397.86716388930006,3192.519738759451,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.296153900901,0.0,0.0,113.989505606275,1591.9848683100001,1792.5612852974798,206.45414633274004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6568,293.82509754,405.333331312,397.86716388930006,3192.519738759451,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.296153900901,0.0,0.0,113.989505606275,1591.9848683100001,1748.0400745358,186.58414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6569,320.82509754,405.333331312,397.86716388930006,3192.519738759451,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.296153900901,0.0,0.0,113.989505606275,1591.9848683100001,1748.0400745358,166.71414633274003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6570,345.02321074500003,405.333331312,397.86716388930006,3192.519738759451,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.296153900901,0.0,0.0,113.989505606275,1591.9848683100001,1748.0400745358,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6571,345.02321074500003,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.296153900901,0.0,0.0,140.964505606275,1591.9848683100001,1748.0400745358,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6572,210.02321074499997,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,85.275806462925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.296153900901,0.0,0.0,140.964505606275,1619.598504735,1748.0400745358,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6573,210.02321074499997,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,806.0,85.275806462925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833.996153900901,0.0,0.0,140.964505606275,1619.598504735,1836.2575311413398,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6574,210.02321074499997,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,1455.7095378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.296153900901,0.0,0.0,113.989505606275,1591.9848683100001,1836.2575311413398,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6575,184.34386296,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,1455.7095378025201,806.0,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.5961539009008,0.0,0.0,140.964505606275,1591.9848683100001,1836.2575311413398,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6576,319.34386296,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,1014.89824579,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.5961539009008,0.0,0.0,140.964505606275,1591.9848683100001,1836.2575311413398,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6577,319.34386296,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,1014.89824579,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.5961539009008,0.0,0.0,140.964505606275,1591.9848683100001,1600.3175311413397,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
6578,319.34386296,405.333331312,397.86716388930006,2908.1702546349907,271.02111111830004,829.3695378025201,1014.89824579,80.92500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.5961539009008,0.0,0.0,140.964505606275,1591.9848683100001,1836.2575311413398,146.84414633274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90878664399995
