,AZPS,AVA,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
64,289.0,1.0,23.0,1.0,,2022.0,,33.0,,64.0,35.0,337.0,287.0,0.0,258.0,26.0,,32.0,19.0,,,237.0,19.0,,,7.0,,
65,125.0,0.0,12.0,0.0,,202.0,,0.0,,7.0,0.0,38.0,115.0,0.0,5.0,6.0,,0.0,0.0,,,15.0,0.0,,,0.0,,
66,108.0,0.0,1.0,0.0,,202.0,,0.0,,0.0,0.0,3.0,97.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
67,29.0,0.0,1.0,0.0,,57.0,,0.0,,0.0,0.0,3.0,97.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
68,1.0,0.0,1.0,0.0,,45.0,,0.0,,0.0,0.0,3.0,97.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
69,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
70,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
71,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
72,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
73,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
74,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
75,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
76,5.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
77,8.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
78,8.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
79,11.0,0.0,1.0,0.0,,150.0,,12.0,,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,7.0,8.0,,,4.0,23.0,,,0.0,,
80,97.0,0.0,2.0,0.0,,3590.0,,59.0,,31.0,7.0,114.0,91.0,0.0,172.0,3.0,,98.0,131.0,,,195.0,124.0,,,18.0,,
81,211.0,0.0,20.0,0.0,,7158.0,,75.0,,93.0,65.0,519.0,311.0,2.0,620.0,15.0,,161.0,205.0,,,455.0,158.0,,,35.0,,
82,331.0,1.0,64.0,1.0,,7879.0,,76.0,,117.0,95.0,798.0,377.0,6.0,689.0,42.0,,168.0,205.0,,,556.0,155.0,,,37.0,,
83,377.0,5.0,87.0,1.0,,7831.0,,76.0,,118.0,95.0,851.0,379.0,7.0,622.0,55.0,,164.0,212.0,,,554.0,148.0,,,34.0,,
84,373.0,7.0,86.0,1.0,,7773.0,,75.0,,119.0,84.0,854.0,371.0,6.0,578.0,65.0,,163.0,205.0,,,543.0,151.0,,,34.0,,
85,376.0,8.0,90.0,1.0,,7910.0,,79.0,,117.0,88.0,839.0,373.0,6.0,600.0,73.0,,168.0,209.0,,,553.0,155.0,,,38.0,,
86,387.0,5.0,100.0,1.0,,7783.0,,89.0,,117.0,86.0,802.0,401.0,6.0,659.0,64.0,,165.0,218.0,,,555.0,157.0,,,41.0,,
87,379.0,0.0,93.0,0.0,,6362.0,,82.0,,108.0,63.0,677.0,399.0,3.0,615.0,37.0,,129.0,153.0,,,470.0,124.0,,,35.0,,
88,289.0,4.0,70.0,0.0,,2023.0,,34.0,,62.0,34.0,343.0,244.0,0.0,274.0,25.0,,34.0,20.0,,,238.0,23.0,,,7.0,,
89,131.0,0.0,7.0,0.0,,0.0,,1.0,,9.0,2.0,40.0,84.0,0.0,2.0,6.0,,0.0,0.0,,,15.0,0.0,,,0.0,,
90,99.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,2.0,79.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
91,64.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,78.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
92,10.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,80.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
93,10.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,79.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
